"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"SL06CR",2023-07-22,1,2,3,"  Ich wollte ins Fitnessstudio. Als ich angekommen bin, musste ich mir eine neue mitgliederkarte besorgen. 2 Bekannte von mir waren auch da und haben schon gewartet. Sie waren etwas genervt davon, wie lange ich brauchte. Es gab dann noch kostenlos wegen der Wartezeit Sportsets, aber meins war aus flauschigen Stoff und sowohl die Hose als auch das Oberteil waren lang. Plötzlich war ich in meiner Wohnung und habe meine alte Fitnessstudio Karte an den Kühlschrank gehangen. Meine Mitbewohnerin meinte, es sei noch zu kalt zu gehen und ich sagte, dann gehe ich schonmal vor. Sie meinte dann, das geht gar nicht, weil der Bus aus ihrel Zimmer fährt. ",1690008000,1,1,3,5,2,1,1,1,1,2,0,0,0,1,0,0,0,0,3,0,0,108,21.6,1.66666666666667,3,2
"SL06CR",2023-07-23,1,2,4,"Ich habe ein Praktikum in der Flugsicherheitsabteilung von einem Krankenhaus gemacht. Ich habe keine Ahnubg, warum ein Krankenhaus auch Flugzeuge und Piloten hat. Auf dem Weg zu meinem ersten Tag, ist mir mein Bruder begegnet. Wir konnten nur knapp hallo sagen, weil gerade auch eine Gruppe Pilotinnen kam, die ich nach dem Weg fragte. Als ich dann am richtigen Ort war, sollte ich mir Arbeitskleidung anziehen, aber es gab keine Hose in meiner Größe und außer den normalen Kasaks sollte ich auch einen Blazer tragen.    Zweiter Traum: Ich habe verzweifelt versucht ein Outfit für einen Film zusammenzustellen, aber es gab nichts in meiner Größe und farblich passte nichts.",1690101120,2,2,3,5,2,2,0,0,2,1,1,0,0,0,1,0,0,0,1,2,0,110,22,1.66666666666667,1.5,1
"SL06CR",2023-07-24,1,2,2,"Ich war in einem Schwimmbad und es gab einen Sprungturm. In der Schlange wurde ich häufiger von dem Typen vor mir (ein alter Schulkamerad) geboxt, weil ich nett zu seinem Erzfeind war. Ich habe ihm angeboten, denn Erzfeind auch zu hassen, aber er meinte, das müsste ja von mir selbst kommen. Als ich mit springen dran war, haben mir danach alle gesagt, ich hätte etwas falsch gemacht. Danach habe ich mich sehr unwohl gefühlt.   Ich war dann in meinem Zimmer und habe gehört, wie die ganzen Leute hoch gekommen sind. Dann habe ich erst versucht, ein Versteck zu finden.    Anderer Traum  Dann war ich in einer Jugendherbergenanlage und habe versucht, meine Tür abzuschließen, aber dabei ist der Schlüssel kaputt gegangen.",1690180620,3,2,4,8,5,4,1,1,4,2,0,0,3,0,0,0,3,0,2,0,6,120,15,2,2,3
"SL06CR",2023-07-25,2,-77,-77,"-66",1690265160,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SL06CR",2023-07-26,1,2,2,"Sie Mauern meiner Stadt sind kaputt gegangen und wir waren alle auf der Flucht, aber es war sehr absurd . Wir haben zu 20. auf einem Sofa geschlafen und hatten Unsichtbarkeitsdecken, aber ich weiß nicht, wovor wir überhaupt weggelaufen sind.",1690350600,5,1,2,2,2,2,2,0,0,0,0,0,2,0,0,0,2,0,0,0,4,40,20,1,2,2
"SL06CR",2023-07-27,2,-77,-77,"-66",1690444320,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SL06CR",2023-07-28,1,2,3,"Ich war bei Lidl mit meiner Mutter und meinem Bruder und wir waren an dem Kassenband. Wir haben Zwiebeln, Pilze, vegane Schnitzel, Kohlrabi und einen Wischmob gekauft. Ich dachte, wir dürfen auf keinen Fall den Bon vergessen, damit mein Bruder und ich meiner Mutter das richtige Geld überweisen.  Dann war ich in einem Zug. Ich wollte in den Barbie Film und hatte deshalb eine blaue Hose mit Wolken an, die eigentlich eher zu Simpsons gepasst hätte. Ich bin dann auf das Dach vom Zug geklettert wo ich Streit mit 3 mir unbekannten Leuten angefangen habe. Kurz bevor der Zug gehalten ist, habe ich mich wieder in das Abteil gesetzt und meine Hose gewechselt. Einer von den dreien vom Dach kam nach unten und suchte nach mir, aber er achtete nur auf unbesetzte Plätze und übersah mich. Als der Zug hielt, waren wir ziemlich weit entfernt von dem eigentlichen Ziel. Ich glaube dann wollte ich schon nicht mehr ins Kino, sondern in die Uni. Es waren noch 10 Minuten bis zum Veranstaltungsbeginn. Ich war mit 5 weiteren Freunden im Zug, von denen ich nur zwei in Realität kenne. Wir gingen aufs Gleis und bemerkten, dass wir in Münster waren, aber nach Düsseldorf wollten. Also gingen wir ein Stück nach vorne und setzten uns in den anderen Zugwaggon. Auf dem Gleis kamen mit die drei vom Dach wieder entgegen und einer trug meine Wolkenhose. Der Zug fuhr uns innerhalb von 10 Minuten problemlos nach Düsseldorf, aber wir hatten den anderen Menschen am Gleis nicht bescheid gesagt. Deshalb war es relativ leer. Der Zug ähnelte jetzt eher einem Bus. Wir unterhielten uns über ein Buch, das ich nicht kannte.",1690522440,7,2,3,12,7,5,4,0,1,2,0,3,0,3,0,3,0,0,5,6,0,278,23.1666666666667,4,1.5,3
"SL06CR",2023-07-29,1,2,2,"Ich war auf einer Feier, es war auch eine Krankenschwester aus meiner ehemaligen Ausbildung eingeladen. Sie war damals schon sehr schlimm mir und war auch auf dieser Feier extrem abgehoben. Anders als während der Ausbildung, habe ich mich aber weniger von ihr einschüchtern lassen. Trotzdem wollte ich weg von der Feier.",1690614300,8,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,51,51,1,1,1
"SL06CR",2023-07-30,1,2,2,"Ich war in irgendeiner Situation, in der man eine bestimmte Aufgabe bestehen musste. Sie bestand daraus, dass ein Teilnehmer mit Luft aufgeblasen wurde und auf die andere Seite einer Mauer musste. Danach musste man über die Mauer zurück, solange man noch Luft gefüllt war. Danach gab es einen Stoff, mit dem man fliegen konnte. Ich schlug vor es in einer anderen Reihenfolge zu machen. Ein Teilnehmer meldete sich für den Versuch, aber statt auf die andere Seite der Mauer zurückzukommen, nutzte er seine neu erworbene Flugfähigkeit, um uns alle zu jagen und zu vernichten. Weil es meine Idee war, waren sich alle einig, dass es meine Schuld war und ich war auf mich allein gestellt. Irgendwann fand mich der Teilnehmer und ich konnte nicht entkommen. Bevor er mich erschießen konnte, wurde er aber von noch einem anderen Teilnehmer aufgehalten.    Anderer Traum:  Ich war in der Mensa aber habe meine Mensa Karte nicht gefunden. Als sie endlich da war gabs kein vegetarisches essen mehr, also musste ich hungrig bleiben. Ich war mit Freunden da, die danach noch ins Kino wollten, aber ich war für den Film schon mit meinen Eltern verabredet und bin deshalb nachdem ich kein Essen hatte einfach nach Hause.",1690720500,9,2,4,11,7,5,0,0,5,1,0,4,2,1,0,0,2,0,2,4,4,205,18.6363636363636,2.75,2,3
"SL06CR",2023-07-31,1,2,3,"Ich habe Blumenerde bei Woolworth gekauft.",1690796820,10,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,1,NA
"SL06CR",2023-08-01,2,-77,-77,"-66",1690898100,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SL06CR",2023-08-02,1,2,3,"Ich habe ein Essen vorbereitet, in das sehr viel Hackfleisch kam. Ich dachte mir, merkt ja keiner dass ich das esse und war froh, dass es immerhin keine Milchprodukte enthielt. Es hat nicht geschmeckt, aber das Hackfleisch musste ja weg. (Kontext: bin im wachen Zustand Veganerin)    Anderer Traum.    Es gab ein Autorennen zwischen zwei Leuten. Der eine war eher jung, den anderen habe ich nie gesehen und er fuhr einen weißen Transporter.  Ich habe das meiste aus der Sicht des jungen Rennfahrers gesehen. Das gesamte Rennen war unterirdisch, aber irgendwann blieb der Rennfahrer stehen, weil im 8. Untergeschoss irgendwelche komischen Lichter waren. Er ging los, um sich das alles genauer anzusehen und dann kamen aus einer Ecke zwei Männer. Der eine trug ein sehr schlechtes Spiderman Kostüm und hatte einen riesigen Po. Zum Aussehen vom anderen weiß ich nichts. Sie jagden hinter dem Rennfahrer her und dieser rettete sich in den Raum, aus dem die Lichter kamen. Bevor oder während er ihn betrat, wurde er von hinten auf den Kopf geschlagen und brach zusammen.    Ich bin jetzt wieder ich und versuche, mit dem besten Freund des Rennfahrers den Grund für sein Verschwinden aufzudecken. Auf den Aufnahmen sieht man nämlich nur, wie er einmal stehen bleibt und in Richtung der Lichter sieht.  Auf der Suche gehen wir an einem Fluss entlang, wo 3 muschelartige Behälter sind. Mein Bruder ist auch dabei und wirft einen Ninja Wurfstern auf die beiden äußeren Behälter, in denen man rote Punkte erkennen kann. Dort sind kleine Lebewesen drin, die scheinbar sehr gefährlich sind. Ich sehe, dass auch in der Mitte ein roter Punkt ist und möchte mit dem Ninjastern danach werfen. Leider kann ich nicht gut werfen und er trifft nicht und kommt auch nicht zurück zu mir. Über eine Leiter klettere ich, entgegen der Einsprüche meines Bruders, dass das sehr gefährliche Wesen sind, auf die Seite des Flusses, auf der die Muscheln stehen und hole den Wurfstern zurück. Auf dem Rückweg beginnt das Wesen sich zu bewegen und ich werfe den Wurfstern. Erneut treffe ich nicht und dieses Mal fällt er ins Wasser und ist weg.  Die kleinen Wesen schreien und aus dem Wasser bewegen sich riesige Zebras. Manche sind rot, die anderen blau. Auf diesen Zebras reiten die Wesen. Ich steige auf einen dieser langen Drachen und fliehe durch ein Einkaufszentrum. Es ist schwer, den Drachen zu kontrollieren, weil er immer nach oben fliegen will, aber da ist die Decke. Nachdem ich aus dem Einkaufszentrum gelenkt habe, fliegen wir sehr weit nach oben, wo die Zebras mich nicht mehr bekommen. Über einem Theater sehe ich, dass gerade ein Stück über Hufflepuff beworben wird. Nach einer Weile lande ich in einem Park, umgeben von vielen Bäumen. Ich weiß nicht wie ich zurückkommen soll, da ich ja keinen Besen zum fliegen habe.  ",1690957920,12,1,6,23,6,5,2,0,3,2,0,3,1,0,0,1,0,1,2,4,1,476,20.695652173913,3.83333333333333,6,3
"SL06CR",2023-08-03,2,-77,-77,"-66",1691084700,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SL06CR",2023-08-04,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SL06CR",2023-08-05,1,2,3,"Mein Toaster ist geschmolzen. Dann war ich in meinem alten Ausbildungsbetrieb und wünschte ich meinen damaligen Freunden viel Erfolg für ihre Examensprüfung. Eine antwortete  Wenn du 5 Minuten Zeit hast kann ich dir eine Glatze schneiden.  Ich lehnte ab.",1691236260,15,2,2,3,2,2,0,0,2,2,0,0,0,1,0,0,0,0,3,0,0,39,13,1.5,1,1
