"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"SL09MC",2023-07-22,1,2,3,"Ich war in meinem Traum in einem Gebäude wie dem Bundestag, aber es war nicht der Bundestag. Der Bau war riesig und sehr pompös und im Atrium traf ich auf einen jungen mir unbekannten Mann, der nicht so ganz richtig am Platz war. Wir quatschten ein wenig und gingen dann über eine riesige Treppe zu einer Rede, die damit endete, dass einer der Politiker angeschnauzt und des Raumes verwiesen wurde, was aber keine schlechte Stimmung hervorrief. Wir gingen daraufhin zurück ins Atrium und von dort in gewaltige Katakomben, die anfangs noch durch ein Glasdach erhellt wurden und später von einem grünen Licht. Wir wollten zur Bahn, aber irgendwie wurde der junge Mann langsam komisch und mir unangenehm. Er war nicht mehr ganz anwesend und blickte immer wieder nach hinten. Ich versuchte ihn mit irgendwelchem Gerede über die Katakomben, die auf einmal die der Stadt Essen waren, auf mich zu fokussieren, aber dies gelang nicht.   (Sprung)   Ich bin wieder in einem Geschoss zwischen Atrium und Katakomben und gehe in eine Vorlesungssaal, in dem eine Vorlesung über Politik stattfindet. Ich setze mich recht weit hinten zu meinen Freunden und wir fangen an zu quatschen, wie es eigentlich jeder in der Vorlesung tut. Der Dozent ermahnt und scheißt am laufenden Band Leute aus der Vorlesung. Irgendwann sind wir dran, was mich sauer macht und ich sage dem Dozent meine Meinung. Wir sind schon an der Tür als einer Freundin auffällt, dass sie ihr Tablet liegen gelassen hat. Ich gehe noch einmal nachschauen und jetzt sind im Hörsaal keine Sitzreihen mehr, sondern Gruppenarbeitstische. An den Tischen sitzen die unterschiedlichsten Gruppen und sind mit den unterschiedlichsten Dingen beschäftigt, wie zeichnen, basteln, programmieren. Ich gehe dorthin wo unsere Reihe gewesen wäre und finde das Tablet so wie ganz viel Geld. Ich drehe mich um und bin sehr erfreut, vor mir steht ein alter Schulfreund, den ich seit Jahren nicht gesehen habe. ",1690000380,1,1,5,18,12,9,5,2,6,3,3,6,2,2,1,0,1,1,5,10,3,327,18.1666666666667,3.6,5,5
"SL09MC",2023-07-23,1,2,4,"Ich war mit meinem besten Freund bei mir Zuhause und wir haben entspannt ein bisschen gequatscht. Irgendwann hat er immer wieder ein Wort benutzt, dass mir nicht geläufig war und auf meine Nachfrage hin hat er dem Wort eine Bedeutung für sich zugeordnet, die für mich zu einem ganz anderen Wort (Säkularisierung) gehörte. Ich war zunächst verwirrt und  korrigierte  ihn, aber er beharrte auf seinem Wort. Nach einigem hin und her ließ ich ab und akzeptierte für mich, dass er sich anders ausdrückt, wir konnten uns ja weiterhin verstehen, was mich glücklich stimmte.",1690082520,2,1,1,4,3,3,3,3,3,3,0,0,0,0,0,0,0,0,3,0,0,93,23.25,4,1,1
"SL09MC",2023-07-24,1,2,5,"Ich war in dem kleinen Schwimmbad meiner Grundschule, das Becken war jedoch abgedeckt und es waren Handballtore aufgebaut. Dadurch dass das Becken abgedeckt war, war der Raum verhältnismäßig niedrig für eine Raum in dem Sport getrieben wird, vielleicht 2,5 Meter Deckenhöhe. Nur das Spielfeld war durch Deckenleuchten beleuchtet, die Ränder des Raums lagen im Dunkeln. Ich war dort mit sieben Freunden von denen ich mich jetzt aber nur noch einen erinnere. Wir spielten Fußball und alles hatte etwas heimisches.",1690168680,3,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,79,79,1,1,1
"SL09MC",2023-07-25,1,2,2,"Ich war in der Wohnung in der ich als Kin gelebt habe und war an einem Regal  dran in dem Magickarten lagen. Ich fragte meine Mutter wem die Karten gehörten und sie fing an zu weinen. Das stimmt mich auch traurig.",1690257720,4,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,41,41,1,1,1
"SL09MC",2023-07-26,1,2,4,"Ich weiß, dass ich einen sehr kurzen Traum hatte, aber ich kriege diesen nicht mehr zusammen. Dort war mindestens eine weitere Person und wir waren draußen im Grünen. Ich war entspannt.",1690341600,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,31,1,1,NA
"SL09MC",2023-07-27,2,-77,-77,"-66",1690431000,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SL09MC",2023-07-28,1,2,2,"Ich war mit drei Freund*innen (zwei männlich, eine weiblich), von denen einer der männlichen und die weibliche ein Par waren, im Sommer in den Bergen. Dort gab es eine Arte Freizeitpark mit einer spannenden Hauptattraktion, für die wir uns anstellten. Ich stand mit der weiblichen Freundin in der Schlange und die beiden anderen Freunde standen vor uns. Eigentlich hatten sie schon die Chips, die für die Attraktion benötigt wurden, aber als sie an der Reihe waren kauften sie die letzten beiden Chips, sodass ich und die Freundin nicht mehr mitkonnten. Das war eigentlich aber nicht schlimm, da wir gar nicht so fan von der Hauptattraktion waren, dennoch löste diese Handlung ein mulmiges Gefühl bei mir aus. Wir gingen daraufhin zu einer anderen Attraktion, die uns mehr zusagte und waren gut gelaunt. Das Gebäude in dem die andere Attraktion sich jedoch befinden sollte, gestalte sich jedoch immer mehr zu einem Labyrinth, aus dem wir nicht herausfanden. Die gesamte Atmosphäre des zuvor noch hellen Traums schlug auch immer weiter zum Dunklen um. Wir liefen von Raum zu Raum und jeder Raum wurde finsterer und entweder der Raum selbst wollte uns etwas antun oder die Personen in den Räumen. Ich hatte dennoch keine Angst, sondern nur das mulmige Gefühl meinen männlichen Freunden gegenüber. Finale des Traums war eine Schlacht vor einer Festung, durch die wir unbeschadet hindurch gelangen mussten. Wir rannten durch kämpfende Wesen mit der stetigen Angst entdeckt zu werden, bis wir einer Gruppe von Soldaten entgegenrannten und uns auf den Boden schmeißen mussten, um uns vor diesen zu verstecken, bis diese vorbeigezogen waren. Ich lag mit dem Gesicht nach unten und wusste nicht, was um mich herum geschah. Ich hörte Geräusche und bekam Angst (aber keine reale Angst) und wurde von etwas beziehungsweise jemandem berührt. Ich stellte mich leblos, da ich nicht verstand, was dieser Jemand zu mir sagte. Ich drehte mich irgendwann dennoch um und bemerkte, dass derjenige freundlich gesinnt und ich gerettet war. Dieser Umstand erleichterte mich und eine bestehende Anspannung viel von mir ab.",1690512120,7,1,3,13,10,8,6,0,2,8,1,0,2,8,1,0,0,0,16,2,2,338,26,4.33333333333333,3,3
"SL09MC",2023-07-29,2,-77,-77,"-66",1690613700,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SL09MC",2023-07-30,2,-77,-77,"-66",1690714920,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SL09MC",2023-07-31,2,-77,-77,"-66",1690771500,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
