"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"SM06AD",2023-11-16,1,2,3,"Mein Bruder macht abends Hausaufgaben im Wohnzimmer, während der Fernseher läuft. Unsere Großeltern machen sich über ihn lustig. Plötzlicher Ortswechsel in einen Flur (mir unbekannt). Beige Wand, braune Tür, relativ schmal, 2 Personen können gerade so nebeneinander stehen. Dort schreit mich Oma an, weil sie Matheaufgaben anders löst als ich. Ich fühle mich zurückgewiesen und unfair behandelt. Opa zeigt mir seine Matheaufzeichnungen aus seiner Schulzeit. Er ist im Gegensatz zu Oma nicht agressiv. Verabschiedung von Großeltern mit Eltern, weil sie nach Hause gehen. Oma fragt noch warum ihre Narichten bei mir nicht ankommen. Ich ziehe mein Handy aus einem hellbraunen Papp-Bilderrahmen. Ortswechsel nach draußen. Ich bin allein auf dem Weg zu meinen Großeltern. Treffe Person an Wegrand. Er scheint auf einem schlammigen Feld zu leben. Präzise auf einer Matraze zwischen zwei dunkelbraunen Holzzäunen. Ich helfe ihm einen Zaun etwas von der Matraze wegzuziehen. Er sagt etwas wie  traust dich eh nicht . Erwiedere etwas. Ortswechsel zum Boxring. Jener ist ein Viereck auf einer Runden Plattform. Alles hat einen metallisch-silbernen Farbton. Die Abtrennung des Ringes sind Gelb. Es gibt eine digitale Anzeige oben in der Mitte. Ich bin plötzlich ein Krokodil-Mensch-Hybrid, also ein Krokodil mit menschlicher Anatomie. Sehe alles ab hier alles aus 3rd-person-view. Ich bestreite Boxkampf gegen den Marvel Charakter Colossus, gewinne und irgendwo ist plötzlich Alan Walker. Gewinne mehrere Kämpfe, wo ich Gegner nicht wirklich erkenne, mehr in einer Abfolge von Best of Moments. Gebe die Boxkarriere aber dierekt wieder auf.",1700110680,1,4,7,15,12,10,4,4,10,5,3,3,0,2,0,0,0,0,7,6,0,244,16.2666666666667,2.14285714285714,1.75,6
"SM06AD",2023-11-17,1,2,5,"Ich sitze im Bus, dierekt hinter der Fahrerkabine. Ein Kontrolleur steigt ein und möchte die Text-Dateien auf meinem Handy sehen, um zu überprüfen, ob sie verfassungswiedrig sind. Er findet meine Kurzgeschichte und meine Gedichte und lobt meinen Schreibstil, was mich glücklich macht. Dann bin ich plözlich im hinteren Teil des Busses und habe einen 30 cm großen Drachen. Ich will aussteigen, er nicht. Dann seh ich Szenen aus dem Madagaskar 2 und 3 Film.",1700201340,2,2,3,5,2,2,0,0,2,0,2,0,0,0,0,0,0,0,0,2,0,74,14.8,1.66666666666667,1.5,1
"SM06AD",2023-11-18,1,2,3,"Ich bin bei der Generalprobe meiner Theatergruppe. Plözlich muss ich einen Tag vor der Premiere neuen Text lernen und der zweite Akt sitzt gar nicht. Dann ist das Theater plözlich unterirdisch und wir (meine Theatergruppe) finden die Bühne nicht und irren in den Gängen umher. Zwischendurch kickt meine Arachnophbie rein. Das war umangenehm. Das in den Gängen umherirren hingegen war okay.",1700304240,3,1,2,6,1,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,63,10.5,3,2,1
"SM06AD",2023-11-19,2,-77,-77,"-66",1700391120,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SM06AD",2023-11-20,1,1,2,"Hatte Diskussion mit Leuten, die ich kannte. Diese haben plötzlich ganz andere ansichten gehabt, als sonst. wir waren nicht einer Meinung. Die Diskussion hat mich traurig gemacht.  Ortswechsel in mein Wohnzimmer, wo ich mit meiner Familie und noch 2-3 Freunden irgendeinen alten Film schaue.",1700466060,5,2,2,2,2,2,2,1,1,1,0,0,0,1,0,0,0,0,2,0,0,44,22,1,1,2
"SM06AD",2023-11-21,2,-77,-77,"-66",1700550300,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SM06AD",2023-11-22,2,-77,-77,"-66",1700632920,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SM06AD",2023-11-23,1,2,3,"Ich bin in einem Einkaufszentrum. Jenes existiert in der Realität (vermutlich) nicht, dennoch war ich schonmal hier in meinen Träumen. Ich befinde mich im untersten von drei Stockwerken mit ein paar Kommilitonen. Es tauchen Freunde von mir auf. Ortswechsel in ein dunklen fabrikraum mit alten Kinder-indoor-paradies-gerätschaften. Ein Freund ist dabei. In der Fabrik lebt ein Geist, der einen Körper bekommt und sand fühlt. Er scheint Glücklich. Ich gehe einen Raum weiter und bin plözlich bei meiner Ex, was enorm unangenehm ist.",1700716380,8,2,3,5,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,81,16.2,1.66666666666667,1.5,3
"SM06AD",2023-11-24,2,-77,-77,"-66",1700805600,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SM06AD",2023-11-25,2,-77,-77,"-66",1700894400,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SM06AD",2023-11-26,1,2,4,"Ich treffe einen freund am Hafen an einer Bank. Er ist sturzbesoffen und geht trozdem in die Bank. Nachdem er wieder rausgekommen ist, streeicheln wir einen Hund. Ortswechsel. Ich bin an der Uni. Meine Mutter ist auch da, weil sie ein Seminar über Personalmanagement hält. Wir suchen einen Raum, finden ihn auch nach einiger Zeit mithilfe eines Professors. Leider ist jener Raum verschlossen und keiner von uns hat nen schlüssel. Ich hol mein Dietrichset raus. Ortswechsel. Ich sitze im Theater vor einer der Aufführungen und unterhalte mich mit den anderen über unsere Träume aus der Nacht.",1700981580,11,3,5,7,5,4,3,1,2,4,1,0,0,1,0,0,0,0,5,1,0,98,14,1.4,1.66666666666667,5
"SM06AD",2023-11-27,2,-77,-77,"-66",1701069960,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SM06AD",2023-11-28,1,2,4,"Ich bin mit Freunden im Bus von der Uni auf dem weg zum Duisburg Hauptbahnhof. Es setzt sich eine Katze auf meinen Schoß.",1701155100,13,1,1,2,1,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,0,23,11.5,2,1,1
"SM06AD",2023-11-29,1,2,2,"Ich hab Tattos gestochen bekommen. Problem ist, ich wollte ganz andere Motive als die, die der Tattoovierer gestochen hat. ",1701241860,14,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,19,19,1,1,1
