"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"SR10DA",2023-10-26,1,2,2,"Ich war im Flugzeug und wollte auf die Toilette. Auf dem Weg habe ich gesehen, dass ein gefährlicher Hund frei rumläuft. Ich lief zu einem not Knopf und betätigte ihn. Kurz darauf rannte ich zu meinem platz zurück und schaute meine Freundin an während das Flugzeug eine Notlandung auf einem Fluss versuchte. Während der Aktion versuchte ich sie zu beruhigen indem ich die Situation banalisierte und Witze machte damit sie lacht und keine Angst verspürt. Um mich herum schrien die Menschen und ich hörte Sirenen und Durchsagen von dem Piloten. Wir stiegen nach der Notlandung aus dem Flugzeug aus und machten uns Gedanken ob der Krieg zwischen Israel und Palästina irgendetwas mit dem ganzen zu tun hat. Danach ging ich mit meiner Freundin spazieren und erzählte ihr Dinge um sie zu beruhigen (während der ganzen Zeit hat sie nicht geweint oder geschrien aber ich hatte das Gefühl dass sie unruhig war.). Ich hatte die sorge dass sie oder vielleicht auch ich in Zukunft zu viel Angst habe nocheinmal in ein Flugzeug zu steigen (sehr prominente sorge im Traum). Was mir besonders im Kopf geblieben ist war, dass ich gesagt habe „Selbst wenn ich jetzt gestorben wäre dann wäre ich glücklich gestorben.“ und danach fragte ich mich ob ich nicht vielleicht sogar schon tot bin. Daraufhin bin ich aufgewacht. Über den gesamten Traum fühlte ich keine große Angst sondern eher Unbehagen und Sorge um meine Freundin.",1698298440,1,1,2,8,3,3,3,3,3,3,0,0,0,0,0,0,0,0,3,0,0,237,29.625,4,2,1
"SR10DA",2023-10-27,1,2,2,"Ich hab auf die Bahn gewartet aber sie kam nicht also bin ich solange zu einem Kiosk gelaufen um Zigaretten zu holen.  Als ich rein gehe sehe ich meinen Bruder wie er dem Besitzer erklärt wie gestern jemand versucht hat Geld aus seiner Kasse zu klauen.  Ich gehe nach vorne zu der Verkäuferin und sage ihr ich möchte Malboro Silver, worauf sie antwortet: „Die haben wir nicht gibt es die überhaupt?“ und „Rauchst du überhaupt?“. Das macht mich sauer weil sie mich nicht ernst nimmt und nach einem hin und her kriege ich meine Zigaretten während ein junge im alter von meinem Bruder auch im Kiosk ist und mich nervt (er fragt mich nach einem Feuerzeug) danach schlägt er aus Spaß meinem bruder gegen den Arm und ich sage ihm dass er das nicht vor mir machen soll. Mein bruder versucht mich zu beruhigen, sagt das wäre nur Spaß von seinem Freund und ich widme mich wieder der Kassiererin bestelle noch ein Feuerzeug und bezahle. Danach wache ich auf. Ich war die ganze Zeit über leicht reizbar als ob ich wirklich meine Zigaretten brauchte. Wichtig ist es auch zu sagen dass ich überhaupt nicht rauche im echten Leben.",1698386580,2,1,2,11,7,7,3,3,7,4,3,3,0,0,0,0,0,0,4,6,0,207,18.8181818181818,5.5,2,1
"SR10DA",2023-10-28,1,2,4,"Die Erinnerungen sind nur sehr schwach. Ich war bei uns im Wohnzimmer und wir hatten besuch von der Familie meiner Freundin. Wir haben zusammen gegessen mit meiner Mutter, meinem Bruder, meine Freundin, ihr cousin, seine Söhne, seine Frau, und ein alter Mann mit dem ich mich viel unterhalten habe. Danach habe ich mit den Kindern gespielt um sie zu beschäftigen damit ich gut bei ihrem Cousin ankomme.",1698474120,3,1,1,3,3,3,3,2,2,1,0,1,0,1,0,0,0,0,2,1,0,69,23,3,1,1
"SR10DA",2023-10-29,2,-77,-77,"-66",1698564300,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SR10DA",2023-10-30,1,2,4,"Ich war in einem Videospiel welches in einem Eisgebiet statt gefunden hat. Es ging darum Dinosaurier zu Jagen und zu Überleben, also nicht zu erfrieren. Danach sind wir ins Hauptquartier zurück und ich habe mich dort auf die nächste Jagd vorbereitet indem ich mir Rüstung ausgesucht habe. Während der ganzen Zeit lief Musik im Hintergrund.    Danach habe ich geträumt, dass ich aufgestanden bin und meinen Arzttermin verpasst habe den ich heute tatsächlich hatte.    In meinem dritten Traum kam ich gerade von einer Party und wollte nachhause fahren. Mein Auto war aber nicht mehr da, weil ein Kollege von mir damit nachhause gefahren ist. Deshalb hab ich ihn angerufen um ihm (natürlich aus Spaß) zu sagen „Ich laufe jetzt zu dir und auf dem Weg trinke ich ne Cola und wenn du mir dann nicht den Schlüssel gibst pinkel ich dir süße Pisse in den Hausflur.“",1698651780,5,3,4,7,2,2,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,147,21,1.75,1.33333333333333,2
"SR10DA",2023-10-31,1,1,5,"Das neue Iphone kam raus und ich habe mich sehr darüber gefreut wie gut es war. Die hälfte der Rückseite bestand aus vielen Kameras hinter einer verdunkelten Scheibe. Der Sound klang wie aus einer richtigen kino Anlage. Ich war so euphorisch, dass ich fast geweint habe.",1698739860,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,46,1,1,NA
"SR10DA",2023-11-01,2,-77,-77,"-66",1698829680,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SR10DA",2023-11-02,1,2,3,"Es gab einen Krieg in dem eine sehr Große Armee gegen eine sehr kleine Armee auf einem berg gekämpft hat. Die große Armee verschanzte sich auf dem hang und die kleine versuchte von unten nach oben anzugreifen dabei besitzen sie nur einfache gewehre und einige auf drei Beinen stehende Raketenwerfer. Die kleinere Armee kämpfte so gut dass die größere probleme bekam. Ich sah selber den Krieg aus verschiedenen Perspektiven beginnend mit der Sicht eines Soldaten aus der Größeren Armee. Die Verzweiflung die sich ausbreitete nachdem erkannt wurde, dass wir gerade von einer so kleinen Armee besiegt werden machte sich auch bei dem Offizieren bemerkbar welche in Sicherheit aus der Distanz zuguckten (auch aus ihrer Sicht konnte ich kurz den Kampf beobachten). Ich wechselte in die Sicht einer Soldatin aus der kleinen Armee.  Sie rannte den Berg hoch in einen Bunker indem das Dach aufgesprengt wurde und sah wie jemand der vor ihr hergelaufen war getötet wird sie läuft trotzdem den gleichen Weg entlang da sie das Gefühl hat es sei trotzdem der beste Laufweg. Sie rennt hinter eine Säule um sich zu verstecken da einige gegnerische Soldaten reingelaufen kommen und jemanden erschießen. Sie schmeißt sich einfach neben die Leiche und schmiert sich mit dem Blut ein um sich tot zu stellen. Bis hierhin war es eine relativ normale Szene die auch aus dem zweiten Weltkrieg sein könnte (auch was die Kleidung und Ausrüstung angeht), jedoch taucht aufeinmal ein Yeti auf welches die gegnerischen Soldaten kommandiert und riecht dass etwas nicht stimmt. Er schickt einen Falken um die Leichen zu kontrollieren, dieser merkt auch dass die Soldatin noch lebt lenkt aber aus mitleid den Yeti ab um sie am Leben zu lassen. Ich höre die ganze zeit über Kriegsgeräusche und Sirenen. Der Berg ist komplett mit Schnee bedeckt und man sieht einige Tannen zwischen den grauen beton bunkern. Die Soldatin hat Blaue Augen und Blonde Haare der Soldat vom Anfang hat Braune Haare und Braune Augen und der Offizier hat einen Schnurrbart eine Halbglatze und ist dick. Bei der Soldatin habe ich gemerkt, dass sie den Krieg entscheidend verändern wird aber danach bin ich aufgewacht.",1698918480,8,1,4,14,7,1,0,0,1,0,0,7,0,0,0,5,0,0,0,12,0,356,25.4285714285714,3.5,4,3
"SR10DA",2023-11-03,2,-77,-77,"-66",1699003380,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SR10DA",2023-11-04,1,2,2,"Ich wusste, dass ein Freund von mir geheiratet hat aber er hat es mir nicht erzählt. Dann hat sich ein anderer Freund verplappert und derjenige der geheiratet hat hat es versucht zu vertuschen. Ich war traurig, dass er das vor mir geheim halten wollte.",1699092180,10,1,1,2,2,2,1,1,2,2,0,0,0,0,0,0,0,0,2,0,0,46,23,2,1,1
