"id","date","dream","nightmare","mood","content","datetime","dayCounter","n_epi","n_eve","n_sit","dreamSocSit","dreamSocInt","multi","realMulti","inter","nAva2sin","nAva3sin","nAva4sin","nAva5sin","nAva2gro","nAva3gro","nAva4gro","nAva5gro","nAvaUns","famAva","unfAva","unsAva","wordcount","wordPerSit","sitPerEve","evePerEpi","n_socEve"
"TN10HL",2023-07-19,1,2,2,"Ich sitze in einem Raum, der alle paar Minuten die Stimmung wechselt. Das Konzept dieses Ladens ist praktisch zu wechseln und alle Menschen machen mit.  Zum Beispiel ist der Raum in dem ich sitze für 2 Minuten eine Sauna, dann ein Musikzimmer und dann haben alle „Freizeit“ und tanzen. Meine Freunde waren eigentlich mit mir hier, sind aber alle gegangen. Ich fühle mich unwohl und sitze auf einer Art Tribüne, um auf die anderen Leute zu schauen. Ich bin die einzige Person auf der Tribüne. Während der „Sauna“-Phase rufe ich meinen Partner an und er erzählt mir, dass ein Freund von ihm plötzlich 6000€ Bargeld hatte und in einer Fernsehshow mitgemacht hat, bei der seine Kriminalität von anderen geschätzt wird. Dabei kam raus, dass er nur Gras geraucht hat und deshalb 18 Monate (oder 8 Jahre, bin mir nicht mehr sicher) ins Gefängnis muss. Ich schaue auf mein Handy und sehe, dass eine ehemalige Freundin von mir in einer WhatsApp Gruppe gefragt hat, wo sie hinkommen soll. Jemand Fremdes antwortet darauf sowas wie „Ihr bekommt echt nix auf die Reihe oder?“",1689740640,1,1,4,7,4,3,3,2,2,2,0,1,2,0,0,0,0,2,2,1,2,185,26.4285714285714,1.75,4,3
"TN10HL",2023-07-20,1,2,3,"Ich kann mich nur an einen ganz kleinen Teil erinnern. Ich habe auf Eventim nach neuen Veranstaltungen geschaut und mit meiner Schwester darüber geredet. Meine Mutter hat 30. Juli vorgeschlagen.",1689823860,2,1,1,2,2,2,1,1,2,2,0,0,0,0,0,0,0,0,2,0,0,30,15,2,1,1
"TN10HL",2023-07-21,2,-77,-77,"-66",1689913140,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TN10HL",2023-07-22,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TN10HL",2023-07-23,1,1,2,"Ich habe geträumt, dass eine Fliege ihre Eier auf meiner Haut abgelegt hat und Maden geschlüpft sind, die meine Haut gegessen haben. ",1690143240,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,2,1,NA
"TN10HL",2023-07-24,2,-77,-77,"-66",1690209960,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TN10HL",2023-07-25,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TN10HL",2023-07-26,1,2,3,"Meine Stiefmutter war Türsteherin bei einem Festival. Ich und mein Freund wollten auf das Festival gehen und sie hat ihn abgetastet. Dabei war sie davon überzeugt, dass er „Medis“ dabei hatte. Damit meinte Sie Drogen. Er hatte aber keine dabei. Sie ist dann im Vertrauen zu mir gekommen und hat gesagt „Er hat was dabei, weil du’s bist lass ich ihn trotzdem rein. Wir reden aber nochmal darüber“. Dann haben wir uns aufgeregt, dass sie so tut, als wäre sie nett, obwohl er keine Drogen dabei hatte. Ein Jahr später habe ich dieses Vorkommnis auf Social Media geteilt und es ist viral gegangen. Dann hat sie ein „Es tut mir leid“- Video gepostet, in dem sie meinen kleinen Bruder gezeigt hat und erzählt hat, dass er auch ständig „Medis“ nimmt und sie überhaupt nicht von Drogen geredet hätte. ",1690404240,8,1,4,6,4,4,1,1,4,4,0,0,0,0,0,0,0,0,4,0,0,138,23,1.5,4,3
"TN10HL",2023-07-27,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TN10HL",2023-07-28,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TN10HL",2023-07-29,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TN10HL",2023-07-30,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TN10HL",2023-07-31,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TN10HL",2023-08-01,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TN10HL",2023-08-02,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TN10HL",2023-08-03,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TN10HL",2023-08-04,1,2,4,"Nachtrag von gestern: Ich sitze in der Bahn und neben mir und an der Tür steht ein Mann. Der Mann an der Tür erzählt mir was über die Kirche und von Gott und der Mann neben mir erzählt etwas von Liebe und seiner Freundin. Seine Freundin ist auch da und ist unglaublich nett.",1691186399,17,1,1,2,2,2,0,0,2,0,0,2,0,0,0,1,0,0,0,3,0,53,26.5,2,1,1
"TN10HL",2023-08-05,1,2,2.5,"Ich laufe zum Auto. In dem Auto sitzt mein Stiefvater, eine ehemalige Schulfreundin und ihre Mutter (die ich eigentlich nicht kenne). Ich laufe erstmal zum falschen Auto, finde aber doch das richtige. Ich muss ihnen erzählen, dass ich mich mit meinem Partner gestritten habe und der Meinung war, dass es besser wäre auszuziehen (wir wohnen zusammen). Er hat mich gefragt, ob es ernst gemeint ist und weil ich stur bin habe ich ja gesagt. Mein Freund hat mich dann aus dem Mietvertrag nehmen lassen und ich musste ausziehen. Dann habe ich nach einem neuen Ort zum Wohnen gesucht und bin mit dem YouTuber Hugo in eine WG gezogen.  Das Harry Styles Konzert in Italien war doch nicht der Abschluss der Tour. Auf das neue ist mein Partner mit mir gegangen. Harry wollte ein Feuerwerk zünden und es hat nicht funktioniert. Wir sind dann in den Raum gelaufen, in dem das Feuerwerk gezündet werden soll. Das wurde dann nochmal gezündet und zwei Mädchen sind nicht aus dem Raum gekommen. Mein Freund hat die beiden dann gerettet und sie haben gesagt, dass sie beim Bäcker Ticketd für die Deutsche Bahn kaufen wollten. Wir haben die beiden dann ausgelacht, weil sie Tickets beim Bäcker kaufen wollten. Dann hat es angefangen zu regnen und das Feuerwerk hat wieder nicht funktioniert. Er hat mir leid getan, weil er kein Feuerwerk bei seiner allerletzten Show haben konnte",NA,18,1,2,5,3,2,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,108,21.6,2.5,2,2
"TN10HL",2023-08-05,1,2,2.5,"Ich laufe zum Auto. In dem Auto sitzt mein Stiefvater, eine ehemalige Schulfreundin und ihre Mutter (die ich eigentlich nicht kenne). Ich laufe erstmal zum falschen Auto, finde aber doch das richtige. Ich muss ihnen erzählen, dass ich mich mit meinem Partner gestritten habe und der Meinung war, dass es besser wäre auszuziehen (wir wohnen zusammen). Er hat mich gefragt, ob es ernst gemeint ist und weil ich stur bin habe ich ja gesagt. Mein Freund hat mich dann aus dem Mietvertrag nehmen lassen und ich musste ausziehen. Dann habe ich nach einem neuen Ort zum Wohnen gesucht und bin mit dem YouTuber Hugo in eine WG gezogen.  Das Harry Styles Konzert in Italien war doch nicht der Abschluss der Tour. Auf das neue ist mein Partner mit mir gegangen. Harry wollte ein Feuerwerk zünden und es hat nicht funktioniert. Wir sind dann in den Raum gelaufen, in dem das Feuerwerk gezündet werden soll. Das wurde dann nochmal gezündet und zwei Mädchen sind nicht aus dem Raum gekommen. Mein Freund hat die beiden dann gerettet und sie haben gesagt, dass sie beim Bäcker Ticketd für die Deutsche Bahn kaufen wollten. Wir haben die beiden dann ausgelacht, weil sie Tickets beim Bäcker kaufen wollten. Dann hat es angefangen zu regnen und das Feuerwerk hat wieder nicht funktioniert. Er hat mir leid getan, weil er kein Feuerwerk bei seiner allerletzten Show haben konnte",NA,18,1,4,8,6,4,3,1,2,3,1,3,0,1,0,3,0,0,4,7,0,125,15.625,2,4,3
"TN10HL",2023-08-06,1,2,2,"Ich habe geträumt, dass ich in einen Massentierhaltungsbetrieb einbreche und dort menschengroße Schnecken gehalten werden, die bitterlich weinen. An mehr kann ich mich nicht erinnern.     Vielleicht ist dazu relevant, dass ich sehr empfindlich bezogen auf schlechte Tierhaltung reagiere (ich lebe vegan) und gestern ein Video über Massentierhaltung bei Schnecken gesehen habe.",1691354520,19,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,17.6666666666667,3,1,NA
