"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"AD09JN","IN",2023-08-13 08:27:00,1,1,1,"Ich habe getrÃ¤umt, dass ich mitten in der Nacht aufgestanden bin, um auf Toilette zu gehen",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"AD09JN","IN",2023-08-13 08:27:00,1,1,2,"und dann im Spiegel gesehen habe, dass ich ganz viele komische Pickel habe,",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"AD09JN","IN",2023-08-13 08:27:00,1,1,3,"die ich dann ausgedrÃ¼ckt habe.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"AD09JN","IN",2023-08-17 08:33:46,1,1,1,"Eine Freundin hat eine Party gefeiert und hat mich angerufen, damit ich ihr beim aufrÃ¤umen helfen kann.",1,231,1,2,1,1,NA,3,16,231,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"AD09JN","IN",2023-08-17 08:33:46,1,1,2,"Wir haben eine Putzparty gestartet.",1,1,1,NA,231,1,2,4,4,1,1,2,231,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"AD09JN","IN",2023-08-19 07:43:39,1,1,1,"Ich habe getrÃ¤umt, dass in meiner Siedlung ganz viele Leute als Clown verkleidet stehen. Wenn man also sein Haus verlassen hat, musste man innerhalb von 10 Sekunden ins Auto oder Co. Steigen um nicht mit Wasser von ihnen nassgespritzt zu werden.",1,4,2,4,1,1,NA,3,4,4,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
"AD09JN","IN",2023-08-22 20:13:25,1,1,1,"Ich habe getrÃ¤umt, dass ich am Strand liege und die ganze Zeit neu von einer MÃ¼cke gestochen werde und die Stiche jucken hÃ¶llisch",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"AD09JN","IN",2023-08-26 09:25:25,1,1,1,"Ich habe getrÃ¤umt, dass ich mit meinen Eltern zusammen Urlaub mache. Wir haben die ganze Insel Usedom bereist und an jedem Seebad Halt gemacht.",1,1,1,NA,211,2,3,4,4,1,1,2,211,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"AD09JN","IN",2023-08-26 09:25:25,1,1,2,"Jedoch gab es dort jeweils unterschiedliche MÃ¼ckenarten, die uns zerstochen haben,",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"AD09JN","IN",2023-08-26 09:25:25,1,1,3,"sodass wir uns immer neue Gegenmittel kaufen mussten, weil sie nie allgemein wirksam waren.",1,1,1,NA,211,2,3,4,4,1,1,2,211,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"AD09JN","IN",2023-08-27 06:20:51,1,1,1,"Ich habe getrÃ¤umt, dass ich schwanger bin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
