"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"AD12HU","IN",2023-11-06 18:56:08,1,1,1,"Ich befand mich mit verschiedenen Personen in einem Raum, der mit unbekannt war. Die Personen erinnere ich nicht genau, weiß aber, dass sie mir bekannt vorkamen.",1,5,2,4,"1","1",NA,1,NA,5,2,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
"AD12HU","IN",2023-11-06 18:56:08,1,1,2,"In diesem Traum unterhielt ich mich mit den Personen über verschiedene Dinge (Freizeit und Diskussion). Die Stimmung war eher positiv und ich fühlte mich wohl.",1,5,2,4,"1","1",NA,5,31,5,2,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"AD12HU","IN",2023-11-06 18:56:08,1,2,1,"Nach einer Zeit standen wir auf und liefen los, plötzlich änderte sich das Settig zu einem Weg.",1,5,2,4,"1","1",NA,4,4,5,2,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"AD12HU","IN",2023-11-06 18:56:08,1,2,999,"Dann wachte ich auf, weil mein Wecker klingelte.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"AD12HU","IN",2023-11-07 17:57:01,1,1,1,"Ich bin durch einen Wald gerannt. Ob ich wovor weggerannt bin, weiß ich nicht. Ich bin zu einem Haus gerannt.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"AD12HU","IN",2023-11-07 17:57:01,1,1,2,"Zischen durch gab es Passagen in denen ich tief gefallen bin,",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"AD12HU","IN",2023-11-07 17:57:01,1,1,3,"plötzlich wieder Waldboden da war und ich weiter laufen konnte.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"AD12HU","IN",2023-11-07 17:57:01,1,1,4,"Ich glaube ich wollte zu dem Haus, weil dort meine Freunde und Familie waren.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"AD12HU","IN",2023-11-09 22:03:42,1,1,1,"Ich wache an einem unbekannten Ort auf, der Weser bedrohlich noch neutral erscheint und bin dort ziemlich alleine.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"AD12HU","IN",2023-11-09 22:03:42,1,1,2,"Nach kurzer Zeit realisiere ich, dass der Raum leer ist,",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"AD12HU","IN",2023-11-09 22:03:42,1,1,3,"und versuche diesen zu verlassen, weil ich mich unwohl fühle. Gleichzeitig höre ich dauerhaft ein Ticken, wie ich Metronom. Dieses Ticken stresst mich,",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"AD12HU","IN",2023-11-09 22:03:42,1,1,4,"bis ich anfangen etwas zu diesem Ticken zu komponieren und so diese Musik singe. Das entspannt mich in ermöglicht es mir mich in dem Raum wohl zu fühlen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
"AD12HU","IN",2023-11-09 22:03:42,1,2,1,"Ziemlich schnell komme ich in den nächsten Raum, in dem erneut ein anderes Ticken auftaucht",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"AD12HU","IN",2023-11-09 22:03:42,1,2,2,"und plötzlich gruselige Dinge auf mich zu laufen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"AD12HU","IN",2023-11-09 22:03:42,1,2,3,"Ich fange an zu komponieren und die Situation entspannt sich.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"AD12HU","IN",2023-11-09 22:03:42,1,2,4,"Diese Situation wiederholt sich mehrfach.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
