"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"AE03TO","LN",2023-08-23 14:11:38,1,1,0,"1. Traum: Ich wollte mit ein paar Leuten auf ein Konzert gehen.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"AE03TO","LN",2023-08-23 14:11:38,1,1,1,"Ich habe mich dann mit einigen meiner guten Freunde schon vorher getroffen, insgesamt waren wir zu viert, unter anderem war meine beste Freundin mit dabei. Wir wollten noch zusammen in die Innenstadt gehen, um etwas einkaufen zu gehen. Die Gegend kam mir bekannt vor.",1,"231",2,3,"1","1",NA,4,4,231,2,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44
"AE03TO","LN",2023-08-23 14:11:38,1,2,0,"Der Einkaufsladen war recht ausgefallen, sie hatten viele Sachen da.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"AE03TO","LN",2023-08-23 14:11:38,1,2,1,"Eine Freundin von mir hat sich dort heimlich ein StÃ¼ck von einer riesigen, also wirklich gigantischen, Thunfisch Sushi Rolle abgeschnitten …",1,"231",1,2,"1","1",NA,1,NA,231,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"AE03TO","LN",2023-08-23 14:11:38,1,2,2,"...und im Laden ohne zu bezahlen gegessen.",1,"231",1,2,"1","1",NA,1,NA,231,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"AE03TO","LN",2023-08-23 14:11:38,1,2,3,"Ich habe einen winzigen Salzstreuer, wo auch Salz drin war, in meine Seitentasche gepackt und wollte den mitgehen lassen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"AE03TO","LN",2023-08-23 14:11:38,1,3,1,"An der Kasse wurde ich dann allerdings aufgehalten. Man musste durch Check-Ups, die nach Diebesgut gescannt haben.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"AE03TO","LN",2023-08-23 14:11:38,1,3,2,"Obwohl ich das wusste, dachte ich, dass der Salzstreuer nicht auffÃ¤llt. Daraufhin kam ein Sicherheitsmann, der das abgecheckt hat …",1,"3",1,1,"1","1",NA,3,4,3,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"AE03TO","LN",2023-08-23 14:11:38,1,3,3,"… und den Salzstreuer gefunden hat.",1,"3",1,1,"1","1",NA,3,4,3,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"AE03TO","LN",2023-08-23 14:11:38,1,3,4,"Ich habe mich versucht zu erklÃ¤ren, der Mann ist dann auch ein bisschen weicher geworden.",1,"3",1,1,"1","1",NA,5,31,3,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
