"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"AG12SE","IN",2023-08-13 06:08:49,1,1,1,"Traum 1:  Es ist mein letzter Arbeitstag, ich verabschiede mich von meiner Chefin, die ich sehr mag.",1,"1","1",NA,"232","1","2",3,15,1,1,3,232,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"AG12SE","IN",2023-08-13 06:08:49,1,2,1,"Danach bin ich bei mir zu Hause in meiner KÃ¼che, sie sieht genauso aus wie in Wirklichkeit. Mein Hund ist auch da.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"AG12SE","IN",2023-08-13 06:08:49,1,2,2,"Ich denke an die Zeit vor 4 Jahren zurÃ¼ck, als ich gerade neu mit meiner Arbeit begonnen habe, alles neu war und ich mit Vorfreude auf die Tage geblickt habe, die ich in dem warmen, hellen BÃ¼ro verbingen wÃ¼rde (das Bild eines warmen, hellen BÃ¼ros steht mir im Traum klar vor Augen, es handelt sich aber um ein mir in Wirklichkeit unbekanntes BÃ¼ro). Ich fÃ¼hle mich einsam, auch gut, aber unsicher, wie es jetzt weitergeht. Der Traum ist sehr realistisch.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
"AG12SE","IN",2023-08-13 06:08:49,2,1,1,"Traum 2:    Ich fahre auf der Autobahn und hÃ¶re Verkehrsfunk. Dabei kommen immer wieder Jingles wie  Die besten Hits der 90er . Wir fahren durch einen Tunnel.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"AG12SE","IN",2023-08-13 06:08:49,3,1,0,"Traum 3:    Dieser Traum Teil eines lÃ¤ngeren Traums. Ich kann mich an die meisten anderen Dinge nicht mehr erinnern, auÃŸer dass er hauptsÃ¤chlich in einem groÃŸen HÃ¶rsaal spielt, der Bruder meiner Mitbewohnerin, M., und ein Kollege von mir, J. L, anwesend sind. AuÃŸerdem gibt es eine sehr seltsame weiÃŸe Statue in Form eines Schwans. Auch dies steht im Kontext meines Abschieds von meiner Arbeit, z. B. Ã¼berreicht mir J. ein Abschiedsgeschenk. Der Teil des Traums, an den ich mich gut erinnere, lÃ¤uft so ab:  Setting: Vor und in einem WG-Zimmer, das ich gerade neu beziehe. Es hat keine Fenster, aber zwei TÃ¼ren. Die WÃ¤nde sind gerade frisch gestrichen (durch mich). Im Raum stehen zwei Doppekstockbetten und weitere Betten. Die TÃ¼ren und Betten sind aus altem, dunklem Holz.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127
"AG12SE","IN",2023-08-13 06:08:49,3,1,1,"Zu Beginn stehe ich mit einer Freundin vor der einen TÃ¼r des Zimmers. Die Freundin ist eine Mischung aus zwei tatsÃ¤chlichen Freundinnen: P., eine ehemalige Arbeitskollegin, und R., eine Freundin aus dem Studium, zu der ich aber gerade keinen Kontakt mehr habe. Mit uns sind zwei Hunde: Mein Hund Juri und ein anderer Hund, der im Traum auch mir gehÃ¶rt. Er hat keinen Namen und sieht fats genauso aus wie Juri.",1,"1","1",NA,"231","1","2",4,4,1,1,3,231,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71
"AG12SE","IN",2023-08-13 06:08:49,3,1,2,"Ich fÃ¼hre die Hunde gerade erst zusammen, sie kennen sich noch nicht. Als wir das Zimmer betreten, treffen sie das erste Mal aufeinander. Es bahnt sich schon ein Konflikt zwischen ihnen an,",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
"AG12SE","IN",2023-08-13 06:08:49,3,1,3,"aber ich kann intervenieren und den Konflikt verhindern.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"AG12SE","IN",2023-08-13 06:08:49,3,1,4,"Sie springen daraufhin beide auf eines der beiden Stockbetten (auf das obere Bett) und spielen von da an keine Rolle mehr im Traum.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"AG12SE","IN",2023-08-13 06:08:49,3,2,1,"Ich ziehe in das Zimmer auÃŸerdem mit meinen 4 Kindern (in Wirklichkeit habe ich keine) und einer Studienfreundin, C.. Die Freundin, mit der ich am Anfang vor der TÃ¼r gestanden habe (P./R.) - sie wohnt gleich um die Ecke - kommt nun auch ins Zimmer",1,"1","1",NA,"231, 213","1, 2","2, 4",4,4,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
