"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"AJ10TO","LN","2023-10-31 08:40:43",1,1,1,"Am Ende einer Klassenfahrt auf der auch mein Freund war …",1,1,1,NA,"22, 3","1, 2","1, 4",4,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"AJ10TO","LN","2023-10-31 08:40:43",1,2,1,"… ist in dem Reisebus plötzlich ein Wolf aufgetaucht der alle angegriffen hat.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"AJ10TO","LN","2023-10-31 08:40:43",1,2,2,"Ich weiß noch dass ein paar Jungs versucht haben gegen ihn zu kämpfen und ich hatte fürchterliche Angst und so Sorge um den Wolf weil es mir leid tat, sodass ich mir gewünscht habe dass er im nächsten Leben ein gemochteres Tier werden kann.",1,3,2,1,"1","1",NA,1,NA,3,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44
"AJ10TO","LN","2023-10-31 08:40:43",1,3,1,"Komischerweise waren wir genau dann an dem Ziel was wieder Zuhause sein sollte angekommen. Tatsächlich habe ich den Ort der wie ein altes Betriebsgelände aussah aber noch nie gesehen.",1,1,1,NA,"22, 3","1, 2","1, 4",4,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"AJ10TO","LN","2023-10-31 08:40:43",1,3,2,"Sobald ich meinen Koffer hatte und draußen stand waren aber aufeinmal alle weg und ich war alleine.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"AJ10TO","LN","2023-10-31 08:40:43",1,3,3,"Alle meine tatsächlich alten Schulfreundinnen wurden abgeholt und obwohl wir in der Nähe wohnen wollte keiner mich mitnehmen oder sich ein Taxi teilen.",1,232,2,2,"1","1",NA,3,26,232,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"AJ10TO","LN","2023-10-31 08:40:43",1,3,4,"Die Bahnen fuhren auch nicht.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"AJ10TO","LN","2023-10-31 08:40:43",1,3,5,"Dann habe ich ein Taxi gebucht …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"AJ10TO","LN","2023-10-31 08:40:43",1,3,6,"… und während des Wartens ein anderes Mädchen getroffen.",1,1,1,NA,"4","1","2",3,4,1,1,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"AJ10TO","LN","2023-10-31 08:40:43",1,3,7,"Ihr Taxi kam zuerst und ich war wieder alleine.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"AJ10TO","LN","2023-10-31 08:40:43",1,3,8,"Dann kam mein Taxi was aber eher wie eine Art Baugerät als wie ein Taxi aussah. Ich fand das sehr gruselig, …",1,4,1,1,"1","1",NA,2,32,4,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"AJ10TO","LN","2023-10-31 08:40:43",1,3,9,"…  habe mich versteckt und bin nicht eingestiegen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"AJ10TO","LN","2023-10-31 08:40:43",1,4,1,"Dann kamen doch zwei Mädchen die ich keiner echten Person zuordnen kann.",1,4,2,2,"1","1",NA,3,4,4,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"AJ10TO","LN","2023-10-31 08:40:43",1,4,2,"Wir sind dann mit unseren Koffern losgegangen Richtung Stadt. Der Weg war total ländlich und verlassen.",1,1,1,NA,"4","2","2",4,4,1,1,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"AJ10TO","LN","2023-10-31 08:40:43",1,4,3,"Plötzlich haben wir wieder den Typen gesehen mit dem komischen Gerät der eigentlich mein Taxi sein sollte. Er war auch auf dem Weg weiter vor uns und kam zurück und hat und Belästigt. Wir hatten total Angst  …",1,4,1,1,"1, 4","1, 2","2",3,21,4,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
"AJ10TO","LN","2023-10-31 08:40:43",1,4,5,"… und eine von den anderen Mädchen ist einen Bach entlang weggelaufen.",1,4,1,2,"1","1",NA,1,NA,4,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
