"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"AN03OT","LN","2023-11-17 22:40:42",1,1,0,"Ich war irgendwie auf ner Tagung (von meinem Stipendium evtl? nicht sicher), es gab versch. Podiusmdiskussionen, Räume mit Stühlen, Videoübertragung in andere Räume, viele menschen, …",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
"AN03OT","LN","2023-11-17 22:40:42",1,1,1,"… ich war mit Freunden zusammen rumgelaufen",1,"1",1,NA,"231","2",4,4,4,1,1,2,231,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"AN03OT","LN","2023-11-17 22:40:42",1,1,2,"dann in nem großen Hörsaal oder so, und da lief dann eine Verfilmung einer echten Geschichte, vlt war es auch nur eine Präsentation bzw. ein format was es nur im Traum gibt.. es hatte was mit Brettspielen zu tun, iwas mit Markenrechten - die sollten von nem großen Konzern  gekillt  werden?  ich habe viele braune unförmige Blobs gesehen, aus der Vogelperspektive, als sehe ich den ganzen Vortrag/.. auf einmal, einfach wild verteilt vor mir, und die braunen Blobs hatten Bedeutung",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
"AN03OT","LN","2023-11-17 22:40:42",1,1,3,"es wurde angesagt dass man nicht lachen soll über die Leute die vorkommen (die aber lustige Namen, lustiges Aussehen hatten), nachdem der vorne aber Beispiele genannt hat, hat er selbst gelacht, das fand ich scheinheilig …",1,"4",1,"1","1","1",NA,3,4,4,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
"AN03OT","LN","2023-11-17 22:40:42",1,1,4,"… und hab dann zu den Leuten um mich herum gesagt dass er ja selbst lacht - darauf hin haben die mich encouraged das auch laut zu sagen -",1,"1",1,NA,"5","3",4,5,4,1,1,2,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"AN03OT","LN","2023-11-17 22:40:42",1,1,5,"ijmd hat für Ruhe gesorgt?",1,"4",1,"1","1","1",NA,3,4,4,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"AN03OT","LN","2023-11-17 22:40:42",1,1,6,"ich hab dann das vor allen Leuten nochmal laut gesagt, weiß nicht mehr genau die Formulierung aber es wurde geklatscht und ich war stolz auf mich",1,"1",1,NA,"5","3",4,3,31,1,1,2,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
"AN03OT","LN","2023-11-17 22:40:42",2,1,1,"später (?) war ich wo ganz anders und musste komische miniTiere (Ungeziefer?, Insekt, dunkelbraun/schwarz, in der Mitte rötlich) mit den Fingern zerquetschen um ein anderes Tier/einen Gegenstand zu beschützen - das alles war in einer Box und ich normal groß bzw. zumindest waren die Viecher sehr klein - war sehr stressig",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51
"AN03OT","LN","2023-11-17 22:40:42",2,1,2,"dann war ich plötzlich sehr klein, hatte Pfeil und Bogen und hab sie abgeschossen, wovon sie auch sehr stark weg/zur Seite geflogen sind (nicht wie es aufgrund von echter Physik wäre),",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
"AN03OT","LN","2023-11-17 22:40:42",2,1,3,"es gab dann viel mehr von diesen Viechern, zu viele ich musste dringend weg, bin zum rand der Fläche",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"AN03OT","LN","2023-11-17 22:40:42",2,1,4,"und da war ein Wasserfall, auch von der anderen Seite (so wie ganz hinten im Eck bei den Victoriafällen sah es ca aus nur kleiner? um die Beschreibung mal abzukürzen),",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
