"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"AN10JR","IN",2023-07-24 17:28:39,1,1,1,"Habe in einem groÃŸen Stadion vor tausenden von menschen den wichtigen Elfmeter rein gemacht und so das spiel entschiede.",1,1,1,NA,5,2,4,2,31,1,1,1,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"AN10JR","IN",2023-07-24 17:28:39,1,1,2,"Danach wurde ich von dem ganzen. Land gefeiert und ich habe mich wie ein Held gefÃ¼hlt.",1,5,2,4,1,1,NA,3,15,5,2,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"AN10JR","IN",2023-07-29 08:31:23,1,1,0,"diese Nacht habe ich davon getrÃ¤umt eine eigenes Unternehmen aufzubauen, welches sehr erfolgreich wird.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"AN10JR","IN",2023-07-29 08:31:23,1,1,1,"Durch den Erfolg kann ich meine Eltern in den Ruhestand schicken und so meine Eltern stolz machen. AuÃŸerdem bin ich sehr stolz auf mich und ich fÃ¼hle mich erfÃ¼llt.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"AN10JR","IN",2023-08-08 07:32:39,1,1,1,"Ich kann mich leider lediglich daran erinnern, wie ich bei einer LÃ¶segeldÃ¼bergabe dabei war und gesehen habe , wie der TÃ¤ter flÃ¼chtet.",1,4,1,1,1,1,NA,1,NA,4,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"AN10JR","IN",2023-08-12 08:30:28,1,1,0,"Heute nacht habe ich von einer Verfolgungsjagd als Detektiv getrÃ¤umt. Es fÃ¼hlte sich brisant, riskant und extrem spannend an.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"AN10JR","IN",2023-08-12 08:30:28,1,1,1,"Am ende konnten wir den TÃ¤ter aber fassen, nachdem ich ohne RÃ¼cksicht hat auf Verluste durch die GebÃ¼sche in einem Wald gerannt bin.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"AN10JR","IN",2023-08-12 08:30:28,1,1,2,"Daher hatte ich auch einige Wunden, welche aber nicht schwer gewichteten, da die Freude Ã¼ber den Fang des TÃ¤ters Ã¼berwiegte",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"AN10JR","IN",2023-08-14 07:39:33,1,1,0,"Diese Nacht habe ich von Erfahrungen und Erlebnissen von einer Jugendfreizeit, welche ich vor 3 Jahren in Norwegen erlebt habe , getrÃ¤umt.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"AN10JR","IN",2023-08-14 07:39:33,1,1,1,"Allerdings habe ich auf der Wanderung Â´, die wir auch wirklich bestritten haben, LÃ¶wen getroffen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"AN10JR","IN",2023-08-14 07:39:33,1,1,2,"Zuerst hatte ich Angst und machte mich Kampfbereit,",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"AN10JR","IN",2023-08-14 07:39:33,1,1,3,"bis ich sah, dass dies nur eine Mutter war, die ihre zwei Kinder beschÃ¼tzen wollte.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
