"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"AT04IA","LN",2023-07-24 13:18:33,1,1,1,"Ich befand mich auf einer Geburtstagsparty, jedoch wusste ich nicht genau wessen Party das ist. Ich dachte zu Beginn, dass ich ganz allein sei, ohne mir bekannte Freunde.",1,"5",3,4,"1",1,NA,1,NA,5,3,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
"AT04IA","LN",2023-07-24 13:18:33,1,1,2,"Beim laufen durch den Raum, indem die Party stattfand, sah ich dann einen Freund von mir, den ich sehr attraktiv finde.",1,"231",1,1,"1",1,NA,1,NA,231,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"AT04IA","LN",2023-07-24 13:18:33,1,1,3,"Obwohl mir bewusst war im Traum, dass ich vergeben bin, bin ich dennoch sehr zielsicher auf ihn zugelaufen",1,"1",1,NA,"231",1,1,3,15,1,1,2,231,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"AT04IA","LN",2023-07-24 13:18:33,1,1,4,"und habe ihn gekÃ¼sst",1,"1",1,NA,"231",1,1,3,13,1,1,2,231,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"AT04IA","LN",2023-07-24 13:18:33,1,1,5,"und gebeten mit mir die Party zu verlassen.",1,"1",1,NA,"231",1,1,3,15,1,1,2,231,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"AT04IA","LN",2023-07-25 08:57:12,1,1,1,"Ich erinnere mich daran, dass ich an der UniversitÃ¤t war um dort zu meinem Seminar zu gehen mit Freunden.",1,"1",1,NA,"231",2,4,4,4,1,1,2,231,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"AT04IA","LN",2023-07-25 08:57:12,1,1,2,"Ich habe sehr intensiven Augenkontakt gepflegt mit meinem Dozenten und merkte, dass keiner von uns beiden weg gucken wollte. Ich hab mich sehr geschmeichelt gefÃ¼hlt.",1,"1",1,NA,"232",1,1,5,4,1,1,2,232,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"AT04IA","LN",2023-07-25 08:57:12,1,1,3,"Ich erinnere ich an nichts was in dem Kurz besprochen wurde, aber als das Seminar zu Ende war, war ich sehr traurig und habe das verlassen des Raumes lange hinaus gezÃ¶gert,",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
"AT04IA","LN",2023-07-25 08:57:12,1,1,4,"bis der Dozent meinen Nachnamen gerufen hat und meinte, dass ich noch eben warten soll, weil er mit mir reden wollte. Ich habe dann glÃ¼cklich darÃ¼ber, dass ich mehr Zeit mit ihm habe,",1,"232",1,1,"1",1,NA,3,15,232,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
"AT04IA","LN",2023-07-25 08:57:12,1,1,5,"meine Freunde raus geschickt.",1,"1",1,NA,"231",2,4,3,25,1,1,2,231,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
