"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"BO08FA","LN",2023-07-24 05:16:39,1,1,0,"Ich weiÃŸ nur vage, dass es irgendwie mit dem Film Oppenheimer zu tun hatte, den ich gestern Abend angeschaut habe.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"BO08FA","LN",2023-07-26 06:00:54,1,1,0,"1..Traum: Setting war entweder Thailand oder Ã¤hnlich, es ging um Muay Thai Training. Die Stimmung war gut, mehr weiÃŸ ich nicht mehr.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"BO08FA","LN",2023-07-26 06:00:54,1,1,1,"Ich habe selbst trainiert.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"BO08FA","LN",2023-07-26 06:00:54,2,1,0,"2. Traum; Setting war mein Arbeitsplatz, eine Schule. Ihc habe getrÃ¤umt, was heute passieren kÃ¶nnte, denn ich habe heute eine 10. Klasse mit einem sehr nervigen SchÃ¼ler.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"BO08FA","LN",2023-07-26 06:00:54,2,1,1,"Dieser ist im Traum dann auch eskaliert, hat sich sein t Shirt ausgezogen, mit dem Handy telefoniert etc. Ich war sauer.",1,232,1,1,1,1,NA,2,32,232,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"BO08FA","LN",2023-07-26 06:00:54,2,1,2,"Habe ihm dafÃ¼r einen Verweis ausgestellt und das Handy abgenommen.",1,1,1,NA,232,1,1,3,22,1,1,2,232,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"BO08FA","LN",2023-07-26 06:00:54,2,1,3,"Daraufhin wollte er Gnade, hat mich mit dem Vornamen angesprochen. Die Stimmung insgesamt war eher negativ.",1,232,1,1,1,1,NA,3,15,232,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"BO08FA","LN",2023-07-26 06:00:54,3,1,1,"3. Traum: ich war Motorradfahren,",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"BO08FA","LN",2023-07-26 06:00:54,3,1,2,"und irgendjemand (Mechaniker?) hat gesagt, mein Ritzel muss erneuert werden.",1,3,1,1,1,1,NA,3,14,3,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"BO08FA","LN",2023-07-26 06:00:54,3,1,3,"Daraufhin hab ich mir einen neuen auspuff gekauft, aber dann nur das Ritzel getauscht. Sehr unlogisch.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"BO08FA","LN",2023-07-26 06:00:54,3,1,4,"Dann ist beim Fahren plÃ¶tzlich die Luft am Vorderreifen immer weniger geworden,",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"BO08FA","LN",2023-07-26 06:00:54,3,1,5,"ich habe das Motorrad dann noch zum Parkplatz der Schule gelenkt.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"BO08FA","LN",2023-07-26 06:00:54,3,1,6,"Ich habe den Hausmeister angerufen, damit er mir hilft.",1,1,1,NA,3,1,1,3,16,1,1,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
