"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"CA06FI","IN",2023-08-01 10:43:37,1,1,1,"Ich hatte einen Traum, in dem ich an einem Rennspiel beteiligt war. Ich erinnere mich an keine Details.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"CA06FI","IN",2023-08-01 10:43:37,2,1,1,"Nachdem ich aufgewacht bin habe ich im Halbschlaf noch etwas getrÃ¤umt. Dort wurde ein Junger Mann, der Mountainbike fuhr, Interviewt. Ich sah parallel wie er auf einem Mountainbike einen Hang herunterfuhr und wie er befragt wurde. Ich kann mich nicht an GefÃ¼hle im Traum erinnern.",1,"4","1","1","5",3,"4",5,4,4,1,1,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
"CA06FI","IN",2023-08-02 16:41:12,1,1,0,"ZunÃ¤chst hatte ich heute Nacht mehrere kleine TrÃ¤ume, von welchen ich mich nur an den letzten erinnern kann. In diesem war ich in einer Videospielumgebung und habe einen Charakter aus der dritten Person Ansicht wie auch im Spiel normal gesehen. Naraka:Bladepoint ist der Name des Spiels und der Traum fand auf der Karte Holoroth, nÃ¶rdlich des Gebiets Mehtaab, in etwa bei der Moonbeam Gorge statt. Die Umgebung dort ist eine leicht rÃ¶tliche WÃ¼ste mit steilen AbhÃ¤ngen und manchen natÃ¼rlichen Balken, die Wege zwischen den Klippen bilden. In der NÃ¤he ist auÃŸerdem eine tÃ¶dliche groÃŸe Holzwalze mit Stacheln.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,97
"CA06FI","IN",2023-08-02 16:41:12,1,1,1,"Ich hab mir lediglich die Umgebung im Traum angeschaut.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"CA06FI","IN",2023-08-02 16:41:12,1,1,999,"Ich kann mich nicht daran erinnern, Gegner gesehen zu haben oder mit irgendwas interagiert zu haben. Der Traum war sehr neutral und mein Spielercharakter war alleine.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
"CA06FI","IN",2023-08-02 16:41:12,2,1,0,"Dann habe ich spÃ¤ter noch einmal geschlafen und hatte einen sehr langen, anstrengenden und verstÃ¶renden Traum.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"CA06FI","IN",2023-08-02 16:41:12,2,1,1,"In diesem hat mir meine Schwester, welche einige Jahre Ã¤lter als ich ist und bereits zwei eigene Kinder hat, drei Jugendliche vorgestellt (ca. 15), ein MÃ¤dchen und zwei Jungen.",1,"212","1","2","1",1,NA,5,4,212,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"CA06FI","IN",2023-08-02 16:41:12,2,1,2,"SpÃ¤ter habe ich gesehen wie sie mehrere Videos in ihren WhatsApp Status gestellt hat.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"CA06FI","IN",2023-08-02 16:41:12,2,1,3,"In diesen Videos haben die Jugendlichen zu dritt miteinander verkehrt. Dies war sehr untypisch und hat mich extremst verwirrt.",1,"4","2","3","1",1,NA,2,32,4,2,3,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"CA06FI","IN",2023-08-02 16:41:12,2,1,4,"AuÃŸerdem hÃ¶chst illegal und ich wollte meine Schwester und die Jugendlichen dazu konfrontieren.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
