"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"CR10TO","IN",2023-07-26 06:31:48,1,1,1,"In meinem Traum habe ich Ã¼ber meinen Opa einen Kredit fÃ¼r 1.3 Millionen aufgenommen",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"CR10TO","IN",2023-07-26 06:31:48,1,1,2,"und ein Haus in der Essener Innenstadt bauen lassen. Dieses Haus war sehr groÃŸ und schnell gebaut. Es hatte 4 Stockwerke. Ãœber eine App konnte ich die Lichtschalter steuern.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"CR10TO","IN",2023-07-26 06:31:48,1,2,1,"Eine Klausur stand an, was mich stresste.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"CR10TO","IN",2023-07-26 06:31:48,1,1,1,"Um den Kredit zurÃ¼ckzuzahlen wollte ich Kommilitonen bei mir einziehen lassen, aber diese wollten nicht. Ich wurde nervÃ¶s und fÃ¼hlte mich abgelehnt.",1,"232",2,4,"1",1,NA,5,26,232,2,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"CR10TO","IN",2023-07-26 06:31:48,1,1,2,"Als ich meiner Partnerin das Haus zeigte fand sie es toll, war aber nicht begeistert, was bei dem imposanten modernen Bau total angebracht wÃ¤re.",1,"1",1,NA,"22",1,2,3,32,1,1,1,22,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"CR10TO","IN",2023-07-26 06:31:48,1,1,3,"AuÃŸerdem hatte mein Opa beim Bau gespart und so waren teils im Treppenhaus die WÃ¤nde nach auÃŸen offen, was ich isolationstechnisch schlimm fande. Ich hatte auf den Bau keinen Einfluss und keine Mitsprache gehabt.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
"CR10TO","IN",2023-07-26 06:31:48,1,1,4,"Das Haus war sehr modern und schÃ¶n aber es schien mir dann doch zu groÃŸ und eigentlich wollte ich in Essen nicht fÃ¼r immer leben. Ich nahm das Haus als Belastung war. Im Verlauf des Traumes wurde er zunehmend unangenehm.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
"CR10TO","IN",2023-07-26 06:31:48,2,1,1,"Am Ende traf ich Barack Obama und andere PrÃ¤sidenten, die verglichen wann sie in der Regel aufstehen. Der Vergleich war aber kein Wettbewerb, sondern die PrÃ¤sidenten stimmten sich gegeneitig bei den Uhrzeiten zu und fanden, dass es fÃ¼r genau diesen PrÃ¤sident so auch Sinn macht.",1,"3",1,1,"3",1,2,5,4,3,1,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
"CR10TO","IN",2023-07-27 06:04:02,1,1,0,"Ich war irgendwie in einem Stripclub gelandet und verlieÃŸ ihn, da ich vergeben bin und sexuellen Kontakt mit mir fremden Frauen sowieso eher als eklig erlebe, gerade in so einem Setting, wo die Frauen an meinem Geld interessiert sind, statt an mir. Jemanden anzuturnen oder auch Sex zu haben, um ihn danach abzukassieren empfinde ich als hinterlistig.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57
"CR10TO","IN",2023-07-27 06:04:02,1,1,1,"Als ich am Ausgang auf zwei sehr attraktive Stripperinnen traf rÃ¤chte ich mich in gewisser Weise an ihnen. Ich tÃ¤uschte ihnen Interesse vor, sodass sie sich ins Zeug legten mich ganz zu verfÃ¼hren.",1,"1",1,NA,"3",2,2,5,13,1,1,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
"CR10TO","IN",2023-07-27 06:04:02,1,1,2,"Das erregte mich im Traum dann doch und gefiehl mir. FÃ¼r einen Moment vergas ich, dass ich so eine Situation in der RealitÃ¤t eigentlich total peinlich und unangenehm finden wÃ¼rde.",1,"1",1,NA,"3",2,2,5,13,1,1,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
"CR10TO","IN",2023-07-27 06:04:02,1,1,3,"Nachdem ich den Stripperinnen falsche Hoffnungen gemacht hatte, verlies ich dann endgÃ¼ltig das Stripclub gelÃ¤nde.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"CR10TO","IN",2023-07-28 06:04:08,1,1,1,"Ich war in Essen, wollte aber in meine Heimat zurÃ¼ck. Ich hatte die Nacht durchgemacht und war totmÃ¼de. Mein Plan war es, lÃ¤nger wach zu bleiben um in einem langen Schlaf Abends dann im normalen Aufsteh-Rythmus zu bleiben.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
"CR10TO","IN",2023-07-28 06:04:08,1,2,1,"Die Mutter eines Freundes traf ich an der UniversitÃ¤t und sie hatte vor auch von Essen in meine Heimat zu fahren.",1,"1",1,NA,"232",1,2,3,4,1,1,1,232,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"CR10TO","IN",2023-07-28 06:04:08,1,2,2,"Aber schon in einer Stunde was fÃ¼r mich zu knapp war und sie lies nicht mit sich diskutieren. Das war sehr Ã¤rgerlich, da die Fahrt mit ihr sehr angenehm und gÃ¼nstig wÃ¤re und ich derweilen hÃ¤tte schlafen kÃ¶nnen.",1,"1",1,NA,"232",1,2,5,32,1,1,1,232,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
"CR10TO","IN",2023-07-28 06:04:08,1,3,1,"Beim Blick auf meinen Kalender wurde mir klar, dass ich innerhalb von 1,5 Wochen nun 2 Klausuren und 2 VortrÃ¤ge vorbereiten muss. Ich fÃ¼hlte mich schrecklich Ã¼berfordert und wusste nicht, wie ich das schaffen sollte.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
"CR10TO","IN",2023-07-29 06:03:09,1,1,1,"Ein gruseliger Freund mit dem ich letztens die Freundschaft beendet habe stand vor mir und redete monton aber friedlich mit mir. Das beruhigte mich, da er zu Aggressionen neigt, ich war mir aber nicht sicher, wie echt sein Verhalten war und ob er nicht gleich wieder seine  bÃ¶se  Seite zeigen wÃ¼rde.",1,"1",1,NA,"231",1,1,3,31,1,1,1,231,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51
"CR10TO","IN",2023-07-29 06:03:09,2,1,1,"Danach fand ein Kindheitsfreund von mir ein dreckiges Glas auf der StraÃŸe in dem eine flÃ¼ssige Droge drinnen war.",1,"231",1,1,"1",1,NA,1,NA,231,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"CR10TO","IN",2023-07-29 06:03:09,2,1,2,"Obwohl ich ihm stark davon abriet trank er einen kleinen Schluck davon, da er sehr neugierig war.",1,"1",1,NA,"231",1,1,5,4,1,1,1,231,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"CR10TO","IN",2023-07-29 06:03:09,2,1,3,"Mir fiehl auf, dass er schon davor auch sehr blass und krÃ¤nklich im Gesicht aussah.",1,"231",1,1,"1",1,NA,1,NA,231,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"CR10TO","IN",2023-07-29 06:03:09,3,1,0,"In einem spÃ¤teren Traum musste ich einen Flug erwischen, war aber erstmal in einem KFC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"CR10TO","IN",2023-07-29 06:03:09,3,1,1,"Der KFC war nicht als solcher ausgeschildert sondern verkaufte unter einem anderen Namen. Ich dachte darÃ¼ber nach, wie dumm und verwirrend es ist, dass KFC als einzige Fastfoodkette unter verschwiedenen Namen ihre Ware verkauft. Bei McDonalds und Co. sei das nicht so.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"CR10TO","IN",2023-07-31 06:24:56,1,1,0,"Ich war mit einer grÃ¶ÃŸeren Gruppe in irgendeiner Stadt und wollte ein Bild von einer alten Schulkameradin machen, die auch dabei war. Sie stand nÃ¤mlich vor einer Wand, die bund war und aus vielen Plastik RÃ¶hren bestand und derweilen ging hinter ihr die Sonne unter.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
"CR10TO","IN",2023-07-31 06:24:56,1,1,1,"Egal wie ich sie anwies, wie sie stehen soll, ich schaffte es nicht, dass BIld richtig aufzunehmen. Sie waren unscharf oder falsch belichtet. So war ich stÃ¤ndig genervt und wollte es trotzdem schaffen.",1,"1",1,NA,"232",1,2,5,32,1,1,1,232,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
"CR10TO","IN",2023-07-31 06:24:56,2,1,1,"SpÃ¤ter war ich in der Stadt mit meinem besten Freund unterwegs, als mir klar wurde, dass wir in Gefahr sind.",1,"1",1,NA,"231",1,1,4,4,1,1,1,231,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"CR10TO","IN",2023-07-31 06:24:56,2,1,2,"Ich sah einen arabischen Mann und dachte von ihm geht wohl die Gefahr aus",1,"4",1,1,"1",1,NA,2,32,4,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"CR10TO","IN",2023-07-31 06:24:56,2,1,3,"und so rannenten wir in seine Richtung, aber nicht den Weg entlang auf dem er stand sondern den nebendran.",1,"1",1,NA,"231",1,1,4,4,1,1,1,231,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"CR10TO","IN",2023-07-31 06:24:56,2,2,1,"Da war ich genervt, denn so waren wir der wahren Gefahr in die HÃ¤nde gelaufen: Einer Bande schwerbewaffneter RÃ¤uber.",1,"4",2,4,"1",1,NA,2,32,4,2,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"CR10TO","IN",2023-07-31 06:24:56,2,2,2,"Sie nutzten uns als Geiseln, wÃ¤hrend sie sich ein Feuergefecht mit den Polizei lieferten und dabei hinter Autos in Deckung gingen. Eigentlich eine schlimme Szene aber ich fÃ¼hlte mich nur genervt, dass gerade der Weg, den ich gegangen war, der dÃ¼mmste und falscheste gewesen war. Irgendwie war mir bewusst, dass ich nicht wirklich in Lebensgefahr war.",1,"4",2,4,"1",1,NA,3,21,4,2,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56
