"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"DN09BR","LN","2023-11-24 08:52:49",1,1,0,"Der Traum wiederholte sich ca 3 mal (3 Mal kurzes Aufwachen und wieder einschlafen) mit nur minimalen Veränderungen, die ich nicht beschreiben könnte.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"DN09BR","LN","2023-11-24 08:52:49",1,1,1,"Ich befinde mich auf der Straßenseite des Ikeas in Essen. Gegenüber ist das Gebäude A-A in der Altendorfer Str.. Ich nehme den Traum aus meiner Sicht war, ich sehe mich selbst nicht. Das Setting ist mir bekannt, in dem selben Gebäude habe ich ein Seminar bei dem Prof, der mein Prüfer ist, obwohl er nichts mit dem Kurs der Prüfung zu tun hat. (Notiz: Ich bin im echten Leben vor einer Woche mit einer Kommilitonin auf der Suche nach dem Raum gewesen, in der die Prüfung stattfinden sollte, da ich Angst hatte, ihn am Prüfungstag nicht zu finden und die Prüfung nicht wahrnehmen zu können. Ich sah mir den Raum auch im echten Leben genau an; die Stühle fielen mir auf, weil sie so alt aussahen - das Braun ist dunkler als bei anderen Stühlen in der Uni. Ich habe mich sogar kurz vor den Tisch gestellt, von dem ich träumte und an dem ich die Prüfung traumhaft absolvieren würde (das war der Sitzplatz ganz vorne links)).",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167
"DN09BR","LN","2023-11-24 08:52:49",1,2,1,"Ich bin dann vor der Tür, hinter der sich der Raum für meine, im echten Leben stattfindende, Klausur (Prüfung heute am 24.11.2023) befindet. Ich sehe die braunen Stühle und alle Farben kommen mir warm vor.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
"DN09BR","LN","2023-11-24 08:52:49",1,3,1,"Dann sitze ich in der vordersten Reihe ganz links. Wenn man durch die Tür geht, bin ich die erste Person, die man sieht. Die Tür ist weiß und hat ein quadratisches Fenster, sodass man durch sie hindurchsehen kann (genau wie in der Realität). Ich bin keine einzige Sekunde aufgeregt, ich bin ganz ruhig, was für mich mehr als untypisch ist im wahren Leben.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63
"DN09BR","LN","2023-11-24 08:52:49",1,3,2,"Der Prüfer am Pult ist mein Prof aus einem von meiner Klausur unabhängigen Kurs. Er sieht auf die Zettel und ich sehe sein Gesicht nie, da er die ganze Zeit auf sie herunter schaut. Seine Brille fällt mir auf, er trägt sie nicht auf der Nase, sondern auf dem Kopf, also quasi in der Position eines Haarreifens, obwohl er eine Glatze hat.",1,"232","1","1","1","1",NA,1,NA,232,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62
"DN09BR","LN","2023-11-24 08:52:49",1,3,3,"Ich habe viele Lücken freigelassen, mein Blatt sieht leer und fehlerhaft aus und ich gehe davon aus, dass ich nicht bestehe (ich empfinde Schuldgefühle im Traum, weil ich im realen Leben und dementsprechend vermutlich auch im Traum, nicht für die Prüfung gelernt habe. Die Schuldgefühle hatte ich auch noch kurz vor dem Einschlafen.)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53
"DN09BR","LN","2023-11-24 08:52:49",1,3,4,"Ich gebe meine Zettel ab und will den Raum verlassen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"DN09BR","LN","2023-11-24 08:52:49",2,1,999,"Bevor ich zum 3. Mal den selben Traum träume (mit minimalen Ã„nderungen; ich weiß leider nicht genau welche) nehme ich mir im echten Leben vor, nicht an der Klausur teilzunehmen und nicht zu erscheinen.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
"DN09BR","LN","2023-11-24 08:52:49",3,1,1,"Ich träume zum 3. Mal den Traum, aber die vorhin erwähnten Schuldgefühle fühlen sich sehr viel stärker an.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"DN09BR","LN","2023-11-24 08:52:49",3,1,999,"Es ist genau genommen kein Albtraum, aber es ist ein relativ unangenehmer Traum, der sich vom 1. bis zum 3. Mal unangenehmer anfühlt.  Ich bin tatsächlich nicht zu der Prüfung erschienen, weil ich Angst hatte wegen meines Nicht-Lernens durchzufallen.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
"DN09BR","LN","2023-11-26 16:00:49",1,1,0,"Der Traum beginnt in einer mir unbekannten Umgebung. Ich befinde mich in einer Art Wintergarten, es gibt einen langen hellbraunen Tisch direkt in der Mitte des Raumes. Der große Teppich hat orientalische Ornamente/ Musterungen und ist weiß, rosa, hellblau und beige. Es gibt noch zwei altmodische Sessel, die Rosenmuster haben und sie sind auch sehr hell gehalten. Ich fühle mich nicht unwohl, aber auch nicht wohl in diesem Raum.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69
"DN09BR","LN","2023-11-26 16:00:49",1,1,1,"Meine Oma ist da und noch ein paar fremde ältere Damen (ü60). Die Damen sprechen mit mir und ich weiß aber leider nicht mehr worüber.",1,"1","1",NA,"214, 4","1, 2","2",5,4,1,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"DN09BR","LN","2023-11-26 16:00:49",1,1,2,"Meine Oma spricht mit mir über meine rosanen Fingernägel und dass sie ihr nicht gefallen.",1,"1","1",NA,"214","1","2",5,22,1,1,2,214,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"DN09BR","LN","2023-11-26 16:00:49",1,1,3,"Meine Mutter ist plötzlich auch da und sagt mir, dass sie es schön findet, so wie es ist. Meine Oma findet lange knallig pinke Nägel gut …",1,"211","1","2","1","1",NA,3,12,211,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"DN09BR","LN","2023-11-26 16:00:49",1,2,1,"…  und dann bin plötzlich mit meiner Mutter bei einer Tankstelle. Für 3€ kaufen wir mir knallig pinke Fingernägel zum Aufkleben.",1,"1","1",NA,"211","1","2",4,4,1,1,2,211,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"DN09BR","LN","2023-11-26 16:00:49",1,3,1,"Zum Schluss habe ich einen pinken Donut mit bunten Streuseln gegessen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"DN09BR","LN","2023-11-26 16:00:49",1,3,999,"Der Traum war nicht unangenehm, sondern eher ""leicht"" also quasi ein Traum, an den ich mich vermutlich morgen nicht mehr erinnern könnte.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"DN09BR","LN","2023-11-27 13:56:30",1,1,0,"Ich habe drei Träume in der letzten Nacht geträumt, kann mich aber nur an zwei erinnern.   Der erste Traum ist mir leider entfallen.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"DN09BR","LN","2023-11-27 13:56:30",2,1,1,"Beim zweiten Traum war ich die Protagonistin. Ich befinde mich in meinem alten Kinderzimmer und ich erinnere mich an alle Möbel und wo sie platziert waren, an die rote Tapete mit den schwarz-weiß-grauen Blumenmustern, an den KrimsKrams, der in meinen Regalen war. Ich würde behaupten ich erinnere mich an jedes kleine Detail meines Zimmers im Traum, obwohl es schon 7 Jahre her ist, als ich zuletzt dort war. Ich stehe vor dem großen braunen Regal, in dem sich Bücher, Schmuck, Fotos, ein CD-Player und Staub befinden. Ich sehe mich aus der Vogelperspektive. Ich stehe dort so, wie ich damals dort stand, wie an dem Tag nach dem 1. Date mit meinem 1. Freund als ich auf eine WhatsApp Nachricht von ihm gewartet habe. Ich denke, meine Erinnerungen und mein Traum haben sich dort vermischt?) Ich fühle mich aber im Traum anders als damals im realen Leben, denn mir geht es gut und ich betrachte gespannt den Inhalt meines Regals. Meine Zimmertür ist nur einen Spalt geöffnet.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166
"DN09BR","LN","2023-11-27 13:56:30",2,1,2,"Dann kommt mein Stiefvater in mein Zimmer herein und stellt sich vor mich mit den Händen auf den Hüften. (Mein Verhältnis zu meinem Stiefvater im echten Leben war nicht gut. Seit 16 Jahren ist er schon mein Stiefvater, er hat mich aufwachsen sehen. Wir hatten ein sehr schlechtes Verhältnis, er hat sich kaum für die Kinder seiner Frau, also meiner Mutter, interessiert und war sehr autoritär und kühl.) Wie ich mich da gefühlt habe, als er vor mir stand im Traum, weiß ich nicht mehr.",1,"211","1","1","1","1",NA,3,32,211,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85
"DN09BR","LN","2023-11-27 13:56:30",2,1,3,"Ich weiß den Zusammenhang nicht mehr, aber ich wollte das englische Wort ""use"" auf der Tastatur meines Handys schreiben, schrieb aber ""ose"" und wunderte mich darüber, wieso ich es falsch geschrieben hatte, da ich im echten Leben sehr gute Englischkenntnisse habe. Aus ""ose"" wurde ""nose"". Dort endet der Traum.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
"DN09BR","LN","2023-11-27 13:56:30",3,1,1,"In meinem letzten Traum befinde ich mich in der Zuschauerperspektive. Ich bin an meiner alten Grundschule auf dem Pausenhof. Auf dem kleinen Hügel ist die silberne Rutsche und ich kann hinter der Rutsche durch die kindlich bemalten Fenster der Schule sehen. Ein kleiner Junge, ca 5 Jahre alt, sitzt auf dem Rasen vor der Rutsche im Schneidersitz. Ich kenne den Jungen nicht im echten Leben. Er ist Franzose, hat braune Haare und einen ""Topfschnitt"", eine kleine Nase und trägt einen dunkelgrauen Pullover und eine dunkle Hose. Irgendwas hat er noch gemacht oder gesagt, aber ich kann mich nicht mehr daran erinnern.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101
"DN09BR","LN","2023-11-27 13:56:30",3,2,1,"Später findet der Junge einen ca mitte 40 jährigen Mann etwas weiter weg auf dem Schulhof in der Nähe einer Wippe. Der Mann hat eine Verletzung am Kopf und er blutet. Der Junge findet ihn …",1,"4","1","1","4","1","1",3,14,4,1,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
"DN09BR","LN","2023-11-27 13:56:30",3,2,2,"… und ruft sofort den Notarzt an. Der Notarzt glaubt ihm nicht, weil der Junge noch zu jung ist, …",1,"4","1","1","4","1","1",5,4,4,1,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"DN09BR","LN","2023-11-27 13:56:30",3,2,3,"… also sagt er seiner Mutter bescheid und sie rief dann den Arzt.",1,"4","1","1","4","1","2",3,16,4,1,1,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"DN09BR","LN","2023-11-27 13:56:30",3,3,1,"Als der Notarzt ankam, haben sich einige Leute um den Verletzten herum versammelt und glauben dem Jungen nicht, dass er den Notarzt angerufen hat.",1,"4","2","4","4","1","1",3,4,4,2,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"DN09BR","LN","2023-11-27 13:56:30",3,3,2,"Seine Mutter ist blond und etwa mitte 50 Jahre alt, sie trägt beige Kleidung und ein Halstuch. Sie verteidigt ihren Jungen und ist von ihm begeistert. Sie sieht in ihm einen tollen Menschen und sagt, dass er eine Schauspielkarriere anfangen könnte, so toll ist er.",1,"4","1","2","4","2","4",3,4,4,1,2,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
"DN09BR","LN","2023-11-27 13:56:30",3,3,3,"Sein Vater hat graue Haare und er lobt seinen Sohn in den Himmel und sagt, jeder der jemanden wie seinen Sohn im Leben hat, dürfte ihn niemals loslassen und solle immer an ihm festhalten.",1,"4","1","1","4","1","1",3,21,4,1,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
