"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"DN12TO","IN",2023-07-15 07:34:00,1,1,0,"Ich war in Spanien am Meer an einer Strandpromenade. Aus dem echten Leben ist mir der Ort nicht bekannt, jedoch im Traum war er mir bekannt.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
"DN12TO","IN",2023-07-15 07:34:00,1,1,1,"Ich habe das Meeresrauschen gehÃ¶rt und andere Leute spazieren und Fahrrad fahren sehen.",1,"4","2","4","1",1,NA,1,NA,4,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"DN12TO","IN",2023-07-15 07:34:00,1,2,1,"Ich war mit Freunden verabredet zum Joggen, da wir fÃ¼r einen Laufwettkampf trainiert haben.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"DN12TO","IN",2023-07-16 08:06:00,1,1,1,"Meine ganze Familie war da bei meinen Eltern zuhause, wie immer an Heiligabend, jedoch waren im Traum noch viel mehr als sonst auch Bekannte. Wir saÃŸen im Wohnzimmer am Holztisch. Es gab keinen Weihnachtsbaum.",1,"21, 232","2","4","1",1,NA,1,NA,NA,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
"DN12TO","IN",2023-07-16 08:06:00,1,1,2,"Das Essen hat sehr lange gedauert, weil jeder in die KÃ¼che wollte",1,"21, 232","2","4","1",1,NA,1,NA,NA,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"DN12TO","IN",2023-07-16 08:06:00,1,1,3,"und manche haben ohne Topf gekocht.",1,"21, 232","2","4","1",1,NA,1,NA,NA,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"DN12TO","IN",2023-07-16 08:06:00,1,1,4,"Wir haben alle entspannt geredet und auf das Essen gewartet.",1,"21, 232","2","4","1",1,NA,5,31,NA,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"DN12TO","IN",2023-07-16 08:06:00,1,1,5,"Komisch war jedoch, dass Weihnachten irgendwie â€žzu frÃ¼hâ€œ war, niemand hatte etwas vorbereitet oder sich schÃ¶ne Kleidung mitgenommen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"DN12TO","IN",2023-07-16 08:06:00,1,1,6,"Auf einmal war Weihnachten da und alle waren etwas Ã¼berrascht.",1,"21, 232","2","4","1",1,NA,1,NA,NA,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"DN12TO","IN",2023-07-18 06:54:00,1,1,1,"Zuerst war ich auf einem Sportfest und sollte ein paar organisatorische Dinge erledigen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"DN12TO","IN",2023-07-18 06:54:00,1,1,2,"Ein Bekannter von mir hat mir aber extra falsche Anweisungen gegeben, damit ich kleine Fehler mache und er sich Ã¼ber mich aufregen kann.",1,"232","1","1","1",1,NA,3,32,232,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"DN12TO","IN",2023-07-18 06:54:00,1,1,3,"Ich hab ihm dann meine Meinung gesagt",1,"1","1",NA,"232",1,"1",3,32,1,1,2,232,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
