"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"DR07EA","LN",2023-08-03 14:34:29,1,1,0,"Ich war mit einigen Freunden in einem Wald, ich weiÃŸ nicht mehr wer sie waren, nur, dass ich sie kannte.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"DR07EA","LN",2023-08-03 14:34:29,1,1,1,"Wir sind eine Weile lang durch den Wald gelaufen und gejoggt.",1,231,2,4,1,1,NA,4,4,231,2,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"DR07EA","LN",2023-08-03 14:34:29,2,1,1,"Danach war ich in einer Stadt, jetzt aber alleine.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"DR07EA","LN",2023-08-03 14:34:29,3,1,1,"Das nÃ¤chste, und letzte, woran ich mich erinnern kann ist, dass ich in einem Raumschiff mit 2 oder 3 AuÃŸerirdischen war, die alle anders aussahen.",1,4,1,1,1,1,NA,1,NA,4,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"DR07EA","LN",2023-08-05 04:48:22,1,1,1,"Es war ein kurzer Traum.   Ein Mann ist einen Turm hintergerannt.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"DR07EA","LN",2023-08-05 04:48:22,1,1,2,"Als er im Erdgeschoss angelangt ist, ist er sis dem Fenster gesprungen",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"DR07EA","LN",2023-08-05 04:48:22,1,1,3,"und der Turm ist hinter ihm explodiert.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"DR07EA","LN",2023-07-26 05:47:10,1,1,1,"Ich war auf einer Autobahn und hatte es eilig.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"DR07EA","LN",2023-07-26 05:47:10,1,1,2,"Ich habe auf dem Weg mehrere Autos Ã¼berholt.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"DR07EA","LN",2023-07-26 05:47:10,1,2,1,"Danach hab ich einen Film mit einem Freund geguckt. Ich weiÃŸ nicht welcher Film es war aber ich ihn vorher schon geguckt und ich war aufgeregt ihn meinem Freund zu zeigen.",1,231,1,1,1,1,NA,4,4,231,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
"DR07EA","LN",2023-07-30 08:04:37,1,1,1,"Ich war der Trainer eines FuÃŸballteams. Ich musste mich entscheiden wer in die Startaufstellung kommt.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"DR07EA","LN",2023-07-30 08:04:37,1,1,2,"Die Entscheidung fiel auf eine Person, die ich nicht kannte anstatt auf einen Freund, da die andere Person bessere Ergebnisse erzielt.  Es war mir unangenehm diese Entscheidung zu treffen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
