"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"DR10AD","IN",2023-08-01 08:27:23,1,1,0,"Wir waren zum Essen in der Mensa verabredet.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"DR10AD","IN",2023-08-01 08:27:23,1,1,1,"Als ich zu zwei Uni Freundinnen dazu kam, war die eine schon fast fertig mit dem Essen, die andere wartete noch auf ihren Flammkuchen, der noch frisch gemacht wurde und deswegen immer so lange braucht.",1,"231",1,2,"1","1",NA,1,NA,231,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
"DR10AD","IN",2023-08-01 08:27:23,1,1,2,"Ich stellte mich in die Nudelschlange, bekam relativ schnell mein Essen",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"DR10AD","IN",2023-08-01 08:27:23,1,1,3,"und setzte mich wieder zurÃ¼ck an den Tisch.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"DR10AD","IN",2023-08-01 08:27:23,1,1,4,"In der zwischenzeit hatte sich noch eine alte MitschÃ¼lerin an den Tisch gesetzt",1,"232",1,2,"1","1",NA,1,NA,232,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"DR10AD","IN",2023-08-01 08:27:23,1,1,5,"und ihre Brotdose rausegeholt und erzÃ¤hlte von ihrer letzten Reise nach Tokio. Es klang total spannenend und wir haben alle Ã¼ber unsere ReiseplÃ¤ne geredet.",1,"232",1,2,"1, 231","1","2",5,4,232,1,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"DR10AD","IN",2023-08-01 08:27:23,1,2,1,"Zm schluss kam noch eine Freundin aus Barcelona dazu, erzÃ¤hlte, wie genervt sie von der letzten Vorlesung sei und warum es in der Mensa im Moment immer so komische Essenskombinationen gab. Wer wÃ¤re denn auf die Idee gekommen Nudeln mit Donuts zu servieren.",1,"231",1,2,"1, 231, 232","1","2",3,4,231,1,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
"DR10AD","IN",2023-08-01 08:27:23,1,2,2,"Erst da ist mir aufgefallen, was ich die ganze Zeit esse. Aber immerhin hatte ich gegessen, da der Flammkuchen der einen Unifreundin immer noch nicht fertig war.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"DR10AD","IN",2023-08-01 08:27:23,1,2,3,"Ich unterhielt mich mit der Freundin aus Barcelona auf Spanisch aber wir wurden regelmÃ¤ÃŸig von durchsagen unterbrochen, welches Gericht jetzt fertig wÃ¤re und zum abhohlen bereit stÃ¤nde.",1,"231",1,2,"1","1",NA,5,4,231,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"DR10AD","IN",2023-08-01 08:27:23,1,2,4,"Gerade als die Uni Freundin ihrern Flammkuchen abhohlen konnte, mussten wir los zum nÃ¤chsten Seminar",1,"231",1,2,"1","1",NA,1,NA,231,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"DR10AD","IN",2023-08-01 08:27:23,1,2,5,"und wir liefen in verschiedene RIchtungen davon",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"DR10AD","IN",2023-08-02 09:05:22,1,1,0,"Es war kurz vor Weihnachten oder vielleicht sogar an Weihnachten. Auf jeden Fall war es weihnachtlich geschmÃ¼ckt und es war dunkel und kalt drauÃŸen.  Wir hatten ein Familienfest, dabei waren meine beiden Onkels mit jeweils ihren Frauen (also meine Tanten), meine Eltern, meine Oma und meine beiden Cousins. Wir waren in einer kleinen Wohnung in einem Hochhaus, die ich jedoch nicht erkannt habe, es war stickig und etwas Ã¼berheitzt.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69
"DR10AD","IN",2023-08-02 09:05:22,1,1,1,"Vor dem Weihnachtsessen haben wir Geschenke verteilt und alle bekamen etwas. Meine Geschenke waren ganz ok, wie sie halt bei so Familienfeiern sind, abgesehen von dem Geschenk meiner einen Tante, die auch meine Patentante ist. Ich kann nicht mehr genau sagen, was ich Geschenkt bekommen habe, nur das ich mich gar nicht gefreut habe und es ein echt weiredes Genschenk war.",1,"21",2,4,"1","1",NA,5,4,21,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
"DR10AD","IN",2023-08-02 09:05:22,1,1,2,"Trotzdem habe ich versucht so zu tun also ob es mit wirklich gefallen wÃ¼rde, habe mich Ã¼berschwÃ¤nglich bedankt und dabei die ganze Zeit gelÃ¤chelt. Oma und Mama haben gemerkt, dass es mir nicht gefallen hat, haben aber mitgespielt und mich bei meinem Theater unterstÃ¼tzt. Meiner Tante ist es nicht aufgefallen.",1,"1",1,NA,"21","2","4",3,15,1,1,2,21,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"DR10AD","IN",2023-08-02 09:05:22,1,2,1,"Das Wohnzimmer wird leere, anscheinend sind die meisten zu einem Spaziergang aufgebrochen. Nur noch Mama, meine Tante und ich stehen im Wohnzimmer.",1,"211, 214",1,2,"1","1",NA,1,NA,NA,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"DR10AD","IN",2023-08-02 09:05:22,1,2,2,"Meine Tante Ã¶ffnet einen alten Holzschrank, sieht darin verschiedene PorzelanfigÃ¼rchen und Ã¼berlegt ob sie mir davon noch eine schenken soll.",1,"214",1,2,"1","1",NA,3,15,214,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"DR10AD","IN",2023-08-02 09:05:22,1,2,3,"Dann fÃ¤llt ihr aber ein, dass das gar nicht ihre Wohnung ist und die Figuren eh viel zu teuer zum verschenken. Mir war es egal und hoffte, dass die anderen schnell zurÃ¼ckkommen wÃ¼rden.",1,"214",1,2,"1","1",NA,1,NA,214,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
"DR10AD","IN",2023-08-02 09:05:22,1,2,4,"WÃ¤hrend ich wartete kraulte ich einen viel zu groÃŸen Hund mit lahmender Pfote",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"DR10AD","IN",2023-08-02 09:05:22,1,3,1,"Als das passierte, erzÃ¤hlte mein Ã¤lterer Cousin, wie toll er den Spanziergang meisterte",1,"214",1,1,"1","1",NA,3,4,214,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"DR10AD","IN",2023-08-02 09:05:22,1,3,2,"und wir gingen zum Abendessentisch.",1,"214",1,1,"1","1",NA,1,NA,214,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"DR10AD","IN",2023-08-02 09:05:22,1,3,3,"Dort verkÃ¼ndete mein anderer Onkel, das er seine Partnerin jetzt heiraten wolle.",1,"214",1,1,"1, 21","1, 2","4",3,32,214,1,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"DR10AD","IN",2023-08-02 09:05:22,1,3,4,"Meine Cousins (seine SÃ¶hne) waren mittelmÃ¤ÃŸig begeistert und ich ging mit dem jÃ¼ngeren der beiden mit WeiÃŸweinflaschen auf den Balkon um uns zu besaufen. Es war echt kalt drauÃŸen.",1,"1",1,NA,"214","1","1",4,4,1,1,2,214,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"DR10AD","IN",2023-08-03 09:03:37,1,1,1,"Ich war Campen auf einer Lichtung mitten im Wald. Es war regnerisch aber nicht wirklich kalt. Ich hatte so ein ovales Wurfzelt in grÃ¼n, meinen Schlafsack und einen Rucksack mit allen anderen Dingen die ich noch so gebraucht habe.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
"DR10AD","IN",2023-08-03 09:03:37,1,1,2,"Leider hatte ich meinen Campingkocher vergessen und musste stattdessen Feuer zum kochen und trocknen meiner Sachen machen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"DR10AD","IN",2023-08-03 09:03:37,1,1,3,"Keine Ahnung, wie ich das Feuer anbekommen habe aber auf einmal hatte ich ein schÃ¶nes Lagerfeuer, mit Steinen umgrenzt damit es nicht grÃ¶ÃŸer wurde und ein Gestell aus StÃ¶cken gebastelt, an das ich meinen Topf hÃ¤ngen konnte.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
"DR10AD","IN",2023-08-03 09:03:37,1,1,4,"Dort habe ich dann einen Eintopf erwÃ¤rmt",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"DR10AD","IN",2023-08-03 09:03:37,1,1,5,"und den Abend unter den Sternen gegessen.  Es war entspannend und ich wurde richtig MÃ¼de",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"DR10AD","IN",2023-08-03 09:03:37,1,1,6,"bis ich leicht frierend in meinem Schlafsack geklettert bin",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"DR10AD","IN",2023-08-05 11:53:40,1,1,1,"Ich habe einen Urlaub in Den Haag gebucht und ein Airbnb direkt am Strand gefunden.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"DR10AD","IN",2023-08-05 11:53:40,1,2,1,"Auf der Hinreise stande ich etwas im Stau und es war echt viel Verkehr auf der Autobahn.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"DR10AD","IN",2023-08-05 11:53:40,1,2,2,"Ich brauchte auch ein bisschen bis ich die Adresse gefunden hatte, es war eine versteckte Wohnung im Erdgeschoss und die EingangstÃ¼r war um eine Ecke herum.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
"DR10AD","IN",2023-08-05 11:53:40,1,2,3,"Beim Ausladen der Koffer und meines Fahhrrades fing es an zu Regen und das richtig stark. Ich beeilte mich richtig,",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
