"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"EA03AE","IN",2023-07-18 06:56:00,1,1,0,"1. Traum ich war wieder mit Papa einkaufen und dort ist eigentlich nichts spannendes passiert.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"EA03AE","IN",2023-07-18 06:56:00,1,1,1,"Ich hab GemÃ¼se gesucht. Mein Papa ebenfalls.",1,211,1,1,"1","1",NA,1,NA,211,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"EA03AE","IN",2023-07-18 06:56:00,1,1,2,"Wir haben mit den VerkÃ¤uferinnen gequatscht Ã¼ber unwichtige Dinge …",1,1.211,1.1,1,"3","2",2,5,4,1,1,2,3,2,2,211,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"EA03AE","IN",2023-07-18 06:56:00,1,1,3,"… und sind irgendwann gefahren.",1,1,1,NA,"211","1",1,4,4,1,1,2,211,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"EA03AE","IN",2023-07-18 06:56:00,2,1,0,"2. Traum ich war in einem Wald und dort war ein Haus.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"EA03AE","IN",2023-07-18 06:56:00,2,1,1,"Zu Beginn war ich erwachsen und war beruflich dort. Ich wollte dort irgendwas erforschen. Dieses Haus war leerstehend und sehr abgelegen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"EA03AE","IN",2023-07-18 06:56:00,2,1,2,"In dem Haus und auch in dem Wald ist mir ein Symbol aufgefallen, was sich immer wieder wiederholt hat. Es waren schwarze Punkt in einer gewissen Anordnung. Auf der einen Seite 8 in der Mitte einer und dann auf der anderen Seite 5.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
"EA03AE","IN",2023-07-18 06:56:00,2,2,1,"ich Ã¼bernachtete auch in dem Wald ohne Probleme.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"EA03AE","IN",2023-07-18 06:56:00,2,3,1,"Irgendwann war ich dann ein Kind mit seinem Papa (es war nicht mein Papa aus dem echten Leben).",1,211,1,1,"1","1",NA,1,NA,211,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"EA03AE","IN",2023-07-18 06:56:00,2,3,2,"Uns viel auf dass dort auch noch andere Menschen sind.",1,5,2,4,"1.2110000000000001","1.1000000000000001",1,1,NA,5,2,4,1,1,2,NA,NA,NA,2.11e+15,1e+15,1,NA,NA,NA,NA,NA,NA,NA,10
"EA03AE","IN",2023-07-18 06:56:00,2,4,1,"Irgendwann traf ich auf andere Kinder und Jugendliche, die in dem Wald arbeiteten. Sie sprachen eine andere Sprache, …",1,1,1,NA,"4","2",4,3,4,1,1,2,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"EA03AE","IN",2023-07-18 06:56:00,2,4,2,"… aber irgendwann verstand ich, dass sie Symbole von ihnen waren und dass es fÃ¼r Papier und MÃ¼ll stand. Sie hatten so zwei Haufen und diese standen fÃ¼r Papier und MÃ¼ll. Sie waren aber nicht aus dem Material.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
"EA03AE","IN",2023-07-18 06:56:00,2,4,3,"Sie waren zu Beginn recht nett zu mir doch im laufe des GesprÃ¤chs kam heraus dass sie gegen â€žkalkleistenâ€œ sind, also rassistisch gegenÃ¼ber weiÃŸen Menschen sind. Sie selbst waren aber teilweise weiÃŸ.",1,4,2,4,"1","1",NA,5,4,4,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
"EA03AE","IN",2023-07-18 06:56:00,2,4,4,"Als ich versuchte zu erklÃ¤ren, dass sowas total dumm ist, fiel ihnen erstmal auf dass ich ja auch weiÃŸ bin …",1,1,1,NA,"4","2",4,1,NA,1,1,2,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"EA03AE","IN",2023-07-18 06:56:00,2,4,5,"… und nahmen mich mit.",1,4,2,4,"1","1",NA,3,23,4,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"EA03AE","IN",2023-07-18 06:56:00,2,4,6,"Sie sperrten mich in dieses leere haus. Dort war eine KÃ¼che und eine steile Treppe, fast wie eine Leiter, ging nach oben zu dem Dachboden, wo ich mich befand.",1,4,2,4,"1","1",NA,3,23,4,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"EA03AE","IN",2023-07-18 06:56:00,2,5,1,"Irgendwann fand der Vater von dem Kind, was ich quasi war, den Ort und somit auch mich …",1,211,1,1,"1","1",NA,3,4,211,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"EA03AE","IN",2023-07-18 06:56:00,2,5,2,"… und wir waren dort zusammen. Wir waren nun nicht mehr so richtig gefangen, sondern versteckten uns mehr.",1,1,1,NA,"211","1",1,4,25,1,1,2,211,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"EA03AE","IN",2023-07-18 06:56:00,2,6,1,"Einmal klingelte es und ich hÃ¶rte eine fremde Stimme. Ich wollte fliehen …",1,4,2,4,"1","1",NA,1,NA,4,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
