"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"EI11CR","IN",2023-07-20 11:05:00,1,1,0,"Im Traum war ich drauÃŸen und da war eine Leiter deren Ende ich nicht erkennen konnte. Es war nachts oder spÃ¤t abends und es muss vor kurzer Zeit geregnet haben, die Sprossen sahen glÃ¤nzend aus.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
"EI11CR","IN",2023-07-20 11:05:00,1,1,1,"Ich war in einer Gruppe von mehreren Personen, wir kletterten die Sprossen hoch und sind alle an einer bestimmten Stelle stehen geblieben. Dort waren die AbstÃ¤nde der Sprossen anders angeordnet, ein grÃ¶ÃŸerer und darauf folgend ein kleinerer. Die eng aufeinanderfolgenden Sprossen waren aus dunklem, glÃ¤nzendem Holz, eine Sprosse davon wirkte wacklig.",1,1,1,NA,"5","2","4",4,4,1,1,2,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51
"EI11CR","IN",2023-07-20 11:05:00,1,1,2,"Beobachter unterhielten sich hÃ¶rbar darÃ¼ber warum jetzt alle stehen bleiben und Ã¼berlegten ob es an den verÃ¤nderten AbstÃ¤nden der Leitersprossen liegen kÃ¶nnte, dass das ungewohnt auf uns (die die Sprossen hochklettern) wirken kÃ¶nnte.",1,4,2,4,"1","1",NA,1,NA,4,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
"EI11CR","IN",2023-07-20 11:05:00,1,2,0,"Dann wechselte die ich-Person im Traum und ich war eine mir bekannte Person, welche im realen Leben Sportlehrerin ist.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"EI11CR","IN",2023-07-20 11:05:00,1,2,1,"Beim weiter klettern wurden mir zwei Aufgaben gestellt: eine zum Nachdenken, die etwas mit meinen FamilienverhÃ¤ltnissen zu tun hatte; die andere war mir einen Zopf zu binden.",1,5,3,4,"1","1",NA,3,4,5,3,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"EI11CR","IN",2023-07-20 11:05:00,1,2,2,"Ich habe angefangen mir einen Zopf zu binden, hatte aber kein Haargummi und musste deshalb den Zopf festhalten. Das war aber unpraktisch beim Leiter hochklettern.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"EI11CR","IN",2023-07-20 11:05:00,1,2,3,"Ich beschloss die Aufgabe fertigzustellen wenn ich oben angekommen bin.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"EI11CR","IN",2023-07-20 11:05:00,1,2,4,"Oben war es jedoch auch sehr wackelig. Am Endpunkt der Leiter befand sich eine Art Bank, die sich wie eine Schaukel bewegte, allerdings konnte sie sich um die eigene Achse drehen und es war fÃ¼r mich schwierig drauf zu klettern. Ich fÃ¼hlte mich sehr unsicher und mir war bewusst, dass ich sterben wÃ¼rde, wenn ich runterfalle. Die Stimmung im Traum war eher gedrÃ¼ckt, fast dÃ¼ster.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65
"EI11CR","IN",2023-07-21 10:08:00,1,1,0,"Zu Anfang des Traums war es Tag.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"EI11CR","IN",2023-07-21 10:08:00,1,1,1,"Ich bin mit meiner Familie Ã¼ber den Flohmarkt gegangen.",1,1,1,NA,"21","2","4",4,4,1,1,2,21,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"EI11CR","IN",2023-07-21 10:08:00,1,1,2,"Ein Mitglied aus unserer Gruppe interessierte sich fÃ¼r ein Frisbee.",1,21,1,4,"1","1",NA,1,NA,21,1,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"EI11CR","IN",2023-07-21 10:08:00,1,1,3,"Kurze Zeit spÃ¤ter sind wir in der Gruppe Serpentinen runtergegangen. Das Wetter/Stimmung wechselte von sonnig zu bewÃ¶lkt.",1,1,1,NA,"21","2","4",4,4,1,1,2,21,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"EI11CR","IN",2023-07-21 10:08:00,1,1,4,"Uns kam eine Gruppe VÃ¤ter entgegen, die nach einem Song(Text) fragten der etwas mit Erziehung zu tun hat.",1,4,2,1,"1.21","1.2","4",3,4,4,2,1,1,1,2,NA,NA,NA,21,2,4,NA,NA,NA,NA,NA,NA,NA,18
