"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"FH01FO","IN",2023-08-11 20:29:05,1,1,0,"Ich erinnere mich nur an Bruchstücke: Zunächst war ich mit einer Freundin von mir auf einer Art Parade, ich weiß aber nicht zu welchem Anlass und wo genau das war.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
"FH01FO","IN",2023-08-11 20:29:05,1,1,1,"Es waren viele Menschen um uns herum, die Stimmung war gut.",1,"5",3,4,1,1,NA,2,31,5,3,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"FH01FO","IN",2023-08-11 20:29:05,1,1,999,"Ich weiß nicht, was zwischen diesem und dem nächsten Teil passierte ..",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"FH01FO","IN",2023-08-11 20:29:05,2,1,1,"denn dann saß ich mit anderen Freunden von mir in einem Restaurant und wir alle bestellten Pizza.",1,"1",1,NA,231,2,4,4,4,1,1,2,231,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"FH01FO","IN",2023-08-11 20:29:05,2,1,2,"Dabei haben wir auf die Speisekarte geguckt",1,"1",1,NA,231,2,4,4,4,1,1,2,231,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"FH01FO","IN",2023-08-11 20:29:05,2,1,3,"und entschieden uns dafür, dass wir alle mal was neues probieren sollten.",1,"1",1,NA,231,2,4,5,4,1,1,2,231,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"FH01FO","IN",2023-08-11 20:29:05,2,1,999,"Auch hier war die Stimmung von jedem gut, das Wetter schien auch schön sonnig gewesen zu sein.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"FH01FO","IN",2023-08-11 20:29:05,3,1,0,"In einem anderem Traum war ich mit meiner Familie unterwegs, wir befanden uns in einem unbekannten Haus, in welchem wir Urlaub machen wollten. Das Haus hatte große Zimmer, welche jeweils mit Doppelbetten ausgestattet waren.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
"FH01FO","IN",2023-08-11 20:29:05,3,1,1,"Bei der Zimmeraufteilung waren meine große Schwester und ich beide von einem Zimmer begeistert, aber soweit ich mich erinnere, kam es nicht zum Streit zwischen uns..",1,"212",1,2,1,1,NA,5,4,212,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
"FH01FO","IN",2023-08-11 20:29:05,3,1,999,"leider erinnere ich mich auch nicht mehr, wer von uns dann das Zimmer bekam. In diesem Traum war die Stimmung bei allen neutral.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
