"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"FT05SY","LN","2023-10-23 07:38:09",1,1,0,"Ich hatte ihn heute nacht. Ich war mit meinen 2 Freundinnen im Urlaub. Wir waren in einer stadt …",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"FT05SY","LN","2023-10-23 07:38:09",1,1,1,"… und haben uns plötzlich dazu entschieden von da aus für ein tag in eine andere stadt zu gehen um ski zu fahren.",1,"1","1",NA,"231",2,2,5,4,1,1,2,231,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"FT05SY","LN","2023-10-23 07:38:09",1,2,1,"Die Autofahrt war sehr lange in meinem kopf ging ganze zeit nur rum dass ich zu wenig eingepackt habe. Ich hatte kaum was dabei nicht mal unterhosen und was für den nächsten tag. Ich hab mir vorwürfe gemacht und wusste nicht was ich machen sollte da es zu spöt war zurück zu fahren.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53
"FT05SY","LN","2023-10-23 07:38:09",1,3,1,"Als wir angekommen sind. Hat es stark geregnet und ich hatte nichts dabei was mich warm halten würde. Ich war komplett ahnungslos",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"FT05SY","LN","2023-10-24 07:43:48",1,1,0,"Ich habe geträumt dass ich mit meinen freunden nach movie park gegangen bin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"FT05SY","LN","2023-10-24 07:43:48",1,1,1,"Ich und meine Freundin haben verschlafen …",1,"1","1",NA,"231",1,2,4,4,1,1,2,231,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"FT05SY","LN","2023-10-24 07:43:48",1,1,3,"… und sind später los als wir wollten.",1,"1","1",NA,"231",1,2,4,4,1,1,2,231,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"FT05SY","LN","2023-10-24 07:43:48",1,1,2,"Ich brauchte auch nochmal lange um mich fertig zu machen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"FT05SY","LN","2023-10-24 07:43:48",1,2,1,"Als wir ankamen meinten 2 von meinen anderen Freundinnen dass sie doch nicht mit wollen. Wir haben versucht sie zu überreden und ich habe frustation gespürt dass meine geplqnten dinge nicht aufgehen.",1,"231","2","2","1",1,NA,3,26,231,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
"FT05SY","LN","2023-10-24 07:43:48",1,2,2,"Letztendlich sidn wir doch reingegangen weil die schlange nicht so voll war.",1,"1","1",NA,"231",2,2,4,4,1,1,2,231,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"FT05SY","LN","2023-10-24 07:43:48",2,1,1,"Ausserdem was etwas im traum mit einem schaden den ich in der mensa vorzeigen musste. Allerdings musste die mensa mir das geld überweisen, da etwas von mir beschödigt wurde.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"FT05SY","LN","2023-10-24 07:43:48",2,1,2,"Und eine frau hat mich ganze zeit darum gebeten irgendeine nummer zu sagen die echt schwer war in meinen emails zu finden.",1,"4","1","2","1",1,NA,3,4,4,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"FT05SY","LN","2023-10-24 07:43:48",2,1,3,"Die frau hat auch immer drüber geguckt ob ich für einen mensa besuch freigeschalten war um allgemein dort essen zu dürfen.",1,"4","1","2","1",1,NA,3,4,4,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"FT05SY","LN","2023-10-24 07:43:48",2,1,999,"Ich empfand faulheit und hatte nie lust mich um den schaden zu kümmern weil das raussuchen der nummer so lange dauert",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"FT05SY","LN","2023-10-26 07:49:30",1,1,1,"Ich habe geträumt dass ich mit einem Jungen aus meiner alten Freundesgruppe was habe …",1,"1","1",NA,"232",1,1,5,13,1,1,2,232,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"FT05SY","LN","2023-10-26 07:49:30",1,1,2,"… und ich mich aber schäme dass ich ihn direkt geküsst habe anstatt dass er mich auf ein date ruft oder miche rst mal noch besser kennenlernen will. Ich mache mir vorwürfe dass ich es zugelassen habe.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
"FT05SY","LN","2023-10-26 07:49:30",1,2,1,"Er war bei mir Zuhause und wir haben ein Film geguckt …",1,"1","1",NA,"232",1,1,4,4,1,1,2,232,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"FT05SY","LN","2023-10-26 07:49:30",1,2,2,"... er hat sich auch gut mkt meiner mutter und schwester verstanden.",1,"232","1","1","211, 212",1,2,5,15,232,1,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"FT05SY","LN","2023-10-26 07:49:30",1,3,1,"Als ich ihn tschüss sagen wollte. Sagte ich zu ihm. Jetzt haben wir uns ja schon geküsst ohne ein richtiges date gehabt zu haben oder irgendwie sowas. Er hat gemerkt dass ich mich schäme und versucht mich zu umarmen und beruhigen ich wusste aber dass es nur show ist und er mich garnicht so kennenlernen möchte also dachte ich. Und mich nur wollte um eben zu küssen etc. als ich ihm tschüss gesagt habe hab ich mir gewünscht es rückgängig zu machen da man mich nicht so einfach küssen können sollte.",1,"1","1",NA,"232",1,1,5,32,1,1,2,232,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91
"FT05SY","LN","2023-10-28 07:13:03",1,1,0,"In diesem Traum ging es wieder um Scham. Ich habe geträumt dass ich mich mit meinem Ex freund getroffen habe, den ich eigentlich abstoßend finde.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"FT05SY","LN","2023-10-28 07:13:03",1,1,1,"Irgendwie ist es dazu gekommen dass wir uns geküsst haben.",1,"1","1",NA,"22X",1,1,5,13,1,1,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"FT05SY","LN","2023-10-28 07:13:03",1,1,2,"Und er irgebdwas gepostet hat was das andeutet dass wir uns geküsst haben. Ich weiss allerdings nicht mehr genau was. Ich erinnere mich an mein gefühl ich hatte angst dass die anderen das verstehen und wissen und mcih verurteilen ausserdem habe ich mich geschämt.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44
"FT05SY","LN","2023-10-28 07:13:03",2,1,1,"Ausserdem war später Halloween meine schwester hat geburtstag und ich musste ihre Freunde schminken gleichzeitig musste ich es aber hinbekommen meine freunde zu dchminken und mich selber.",1,"1","1",NA,"232",2,4,3,4,1,1,2,232,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"FT05SY","LN","2023-10-28 07:13:03",2,1,2,"Wir haben abgesprochen dass meine freunde und ich ein kleid anzeihen werden für ein kostüm …",1,"1","1",NA,"232",2,4,4,4,1,1,2,232,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"FT05SY","LN","2023-10-28 07:13:03",2,2,1,"… und plötzlich stand ich alleine mit einem kleid und war irgendwie aufgebracht.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"FT05SY","LN","2023-10-28 07:13:03",2,3,1,"Und danach gibg es darum dass meine freundin eine ausbildung bei irgendeiner firma machen will.",1,"231","1","2","1",1,NA,1,NA,231,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"FT05SY","LN","2023-10-30 07:52:10",1,1,1,"Keine genaue erinnerung nur dass ich zu spät zur uni gegangen bin weil ich zu lange geschlafen habe und meine gruppe mit der ich an einem projekt sitze ohne mich angefangen haben",1,"232","2","4","1",1,NA,1,NA,232,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
"FT05SY","LN","2023-11-02 07:14:31",1,1,1,"Meine freundin haz eine andere wohnung und machh eine hausparty mit fremden leuten die man mal so gesehen hat.",1,"231, 5","1, 2","2, 4","1",1,NA,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"FT05SY","LN","2023-11-02 07:14:31",1,1,2,"Der ex meiner freundin redet mit ihr und lebt noch da und hat uns tacos gemacrt. Mit anderen dort habe ich nichz dp wirklich geredet",1,"232","1","1","1",1,NA,1,NA,232,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
