"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"GL09IM","LN","2023-10-17 06:00:52",1,1,1,"Ich lief in Berlin auf der Baerwaldstr. Ecke Gneisenaustr. am Abend als es schon dunkel war.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"GL09IM","LN","2023-10-17 06:00:52",1,1,2,"Vor mir lief eine junge Frau, die langsamer als ich lief und deshalb bald von mir überholt wurde.",1,"4",1,2,1,1,NA,1,NA,4,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"GL09IM","LN","2023-10-17 06:00:52",1,1,3,"Sie zeigte sich unsicher in der Dunkelheit, also kündigte ich an, dass ich sie gleich überholen würde.",1,"1",1,NA,4,1,2,3,15,1,1,1,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"GL09IM","LN","2023-10-17 06:00:52",1,1,4,"Sie begrüßte das Verhalten und lächelte, während ich sie überholte.",1,"4",1,2,1,1,NA,3,15,4,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"GL09IM","LN","2023-10-17 06:00:52",1,2,1,"Kurz darauf warteten wir beide an einer roten Ampel auf das Grünwerden. Währenddessen kamen wir in ein kurzes Gespräch. Vermutlich handelte es sich um etwas Oberflächliches. An den Inhalt kann ich mich nicht mehr erinnnern.",1,"1",1,NA,4,1,2,5,4,1,1,1,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
"GL09IM","LN","2023-10-18 04:46:46",1,1,0,"Im letzten Traum war ich bemüht, eine gebuchte Unterkunft für einen Urlaub über Booking.com zu stornieren, da sich das Antreten der Reise aus zeitlichen Gründen als unmöglich herausgestellt hat.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"GL09IM","LN","2023-10-18 04:46:46",1,1,1,"Für die Stornierung rief ich bei der entsprechenden Stelle von Booking.com an, doch es folgte kein Telefonat, sondern ein persönliches Gespräch mit einem älteren Herrn, der einen schwarzen Anzug mit weißem Hemd trug. Er erklärte mir, dass die von mir gebuchte Unterkunft resp. Option, eine unentgeltliche Stornierung nicht zulasse. Die Unterkunft kostete 28€. Unklar ist, um wie viele Nächte es sich handelte; vermutlich eine.",1,"1",1,NA,3,1,1,5,4,1,1,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64
"GL09IM","LN","2023-10-18 04:46:46",1,1,999,"Anmerkung: Real ist keine Reise geplant und dementsprechend keine Unterkunft gebucht.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"GL09IM","LN","2023-10-21 07:08:22",1,1,0,"An den Traum aus der letzten Nacht erinnere ich mich kaum bis gar nicht. In der Nacht bin ich aufgewacht, nachdem ich die im Traum vorgenommene Handlung auch im Bett umgesetzt habe:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
"GL09IM","LN","2023-10-21 07:08:22",1,1,1,"Im Traum wurde ich von einer - vermutlich - männlichen Person mehrfach so gereizt, was in mir das Bedürfnis weckte, einen Hieb mit dem Ellenbogen auszuführen.",1,"4",1,1,1,1,NA,3,22,4,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
"GL09IM","LN","2023-10-21 07:08:22",1,1,999,"Verärgert und ein wenig verwirrt, wachte ich auf und konnte den Grund für dieses Verhalten nicht mehr rekonstruieren.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"GL09IM","LN","2023-10-23 19:00:43",1,1,1,"Eine mir unbekannte Person erzählte an einem rechteckigen Tisch, an dem im Freien mit mehreren Personen gegessen werden sollte, von meinem Forschungsinteresse und verpackte den Inhalt des Erzählten so, als würde es das eigene Forschungsinteresse sein.",1,"4",1,1,4,2,4,3,4,4,1,1,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
"GL09IM","LN","2023-10-23 19:00:43",1,1,2,"Die Mutter meiner nicht türkisch sprechenden Freundin - mir noch unbekannt - saß auch am Tisch und teilte mit, sie spreche auch (meint mich als mind. eine Person, die das auch tun kann) Türkisch.",1,"232",1,2,1,1,NA,3,4,232,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
"GL09IM","LN","2023-10-23 19:00:43",1,1,3,"Sodann fingen wir an auf Türkisch zu sprechen, und ich war der Meinung in Antalya und nicht in Essen zu studieren.",1,"1",1,NA,232,1,2,5,4,1,1,1,232,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"GL09IM","LN","2023-10-24 07:38:46",1,1,1,"Ich bin in einem Freibad gewesen, habe junge Frauen gesehen, die kunstvoll ins Wasser gesprungen sind …",1,"4",2,2,1,1,NA,1,NA,4,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"GL09IM","LN","2023-10-24 07:38:46",1,1,2,"… und habe mich dann dazu entschlossen, Bahnen zu schwimmen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"GL09IM","LN","2023-10-24 07:38:46",1,1,3,"Das wandelte sich dann in ein Bahnentauchen, wobei ich bemerkte, dass nach 25m (eine Bahn) eine zweite noch realistisch scheint.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"GL09IM","LN","2023-10-24 07:38:46",1,1,4,"Auch nach der zweiten bemerkte ich die noch vorhandene Kapazität.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"GL09IM","LN","2023-10-24 07:38:46",1,1,5,"Dieses Schema zog sich bis zum Absolvieren der 8. Bahn durch.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"GL09IM","LN","2023-10-24 07:38:46",1,2,1,"Während meines Bahnenziehens hielt ein ca. 11-jähriger Junge einen Vortrag über Bildungsungerechtigkeit im deutschen Schulsystem aus eigener Perspektive und sprach in ein verkabeltes Mikrofon.",1,"4",1,1,1,1,NA,1,NA,4,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"GL09IM","LN","2023-10-24 07:38:46",1,3,1,"Mitten im Traum musste ein ca. 40-jähriger Mann an den Sicherungskasten des inzwischen zum Hallenbad gewordenen Schwimmbads, der unter Wasser angebracht war.",1,"4",1,1,1,1,NA,1,NA,4,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"GL09IM","LN","2023-10-24 07:38:46",1,3,999,"Ob auch der den Vortrag haltende Junge unter Wasser war, erinnere ich nicht mehr. Zwischenzeitlich befanden sich auch andere Menschen im Becken, die ich immer wieder durch das unter sie hinweg Tauchen überholte.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
"GL09IM","LN","2023-10-26 09:07:00",1,1,1,"In der letzten Nacht habe ich davon geträumt, in meinem früheren Bett in Berlin zu sitzen. Dabei habe ich Schnecken im Bett herumkriechen sehen. Verwundet über die Anwesenheit der Schnecken, habe ich mich gefragt, wie und warum sie in meinem Bett sind. Den Fall ungeklärt, bin ich aufgewacht.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
"GL09IM","LN","2023-10-27 19:19:08",1,1,0,"im Traum der letzten Nacht habe ich geträumt, mit meiner Partnerin eine gemeinsame Dissertation bei einer ehemaligen Professorin anzumelden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"GL09IM","LN","2023-10-27 19:19:08",1,1,1,"Wir wurden in einem Hotelzimmer empfangen, durften auf dem Boden sitzen und unterhielten uns zunächst über das Vorhaben und wesentliche inhaltliche Aspekte. Zwischen uns stand ein Gläserner Tisch mit schwarzem Metallrahmen …",1,"1, 22",1,2,232,1,2,5,4,NA,1,2,232,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
"GL09IM","LN","2023-10-27 19:19:08",1,1,2,"… und das Gespräch verlagerte sich durch ein Missverständnis thematisch hin zur Akzeptanz von Migranten in der Gesellschaft.",1,"1, 22",1,2,232,1,2,5,4,NA,1,2,232,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
