"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"HI01IG","LN","2023-10-20 06:38:24",1,1,1,"Traum 1:  Ein Student hat in einer Sitzung (er saß mir im Kreis gegenüber, zwischen uns Tische, Umgebung war mir bekannt) gefragt, ob wer die Internetseite zu möglichen Studien pflegt.",1,"5","1",1,1,1,NA,1,NA,5,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
"HI01IG","LN","2023-10-20 06:38:24",1,1,2,"Dann fragte er, ob er das übernehmen darf und wurde anschließend von anderen Anwesenden (vorher nur bewusst wahrgenommen) bestätigt. Ich war nur Zuschauer in diesem Kreis.",1,"5","1",1,5,2,4,5,4,5,1,1,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
"HI01IG","LN","2023-10-20 06:38:24",1,1,999,"Der Traum war neutral und daher angenehm. Mir war bewusst, dass ich träume und bin dadurch wach geworden um es aufzuschreiben.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"HI01IG","LN","2023-10-20 06:38:24",2,1,0,"2. Traum:   Auch bei diesem Traum war mir bewusst, dass ich träume und habe ihm Traum geträumt wie ich es formuliere in meinen Notizen. Dann ich doch noch aufgewacht um es aufzuschreiben.   Der Traum war angenehm fast witzig.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
"HI01IG","LN","2023-10-20 06:38:24",2,1,1,"Mein Vater saß auf dem Beifahrersitz von einem mir unbekannten Mann den ich aber als Influencer wahrgenommen habe. Die beiden fahren mit dem Auto langsam an mir vorbei.",1,"211, 3","1",1,1,1,NA,1,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
"HI01IG","LN","2023-10-20 06:38:24",2,1,2,"Ich parke mein Auto wie immer auf parallel zum Bürgersteig vor unserer Haustür.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"HI01IG","LN","2023-10-20 06:38:24",2,1,3,"Ich schaue zu Papa der die Geste Finger aufs Handgelenk tippen macht. Mir ist klar, dass er damit andeuten will das wir Essen wollen/müssen.",1,"211","1",1,1,1,NA,3,4,211,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"HI01IG","LN","2023-10-20 06:38:24",2,1,4,"Der mir unbekannte Mann lacht bzw. Versucht das Lachen zu unterdrücken und macht daher Größe Augen und kneift seine Lippen zusammen.",1,"3","1",1,1,1,NA,1,NA,3,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"HI01IG","LN","2023-10-20 06:38:24",2,1,5,"Nachdem ich Papa antworte: ""Gutes Auge""",1,"1","1",NA,211,1,1,3,4,1,1,2,211,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"HI01IG","LN","2023-10-20 06:38:24",3,1,1,"Traum 3:   Ich war mit meinen Eltern auf einem Konzert in meiner alten Schule in der Aula, der Künstler war mir bekannt aber den habe ich bisher nie live gesehen. Meine Eltern hören nicht regelmäßig diese Musik. Das Bühnenbild und Tänzer war etwas wie ein Wohnzimmer aufgebaut, ...",1,"1","1",NA,211,2,3,4,4,1,1,2,211,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48
"HI01IG","LN","2023-10-20 06:38:24",3,1,2,"… sowohl die Tänzer als auch die Zuschauer sind immer weniger geworden bis wir nur noch ca. 3 Leute waren.",1,"4","2",4,1,1,NA,1,NA,4,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"HI01IG","LN","2023-10-20 06:38:24",3,1,3,"Während des Konzerts habe ich immer wieder mit einem Füller mitschreiben wollen. Die Tinte ist leer geworden und der Füller hat seine Feder verloren.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"HI01IG","LN","2023-10-20 06:38:24",3,1,4,"Beim aufsammeln hat der Sänger Tinte an seine Hand bekommen und die graue fleece Decke aus unserem Wohnzimmer auch.",1,"3","1",1,1,1,NA,1,NA,3,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"HI01IG","LN","2023-10-20 06:38:24",3,1,5,"Die 2 Lieder die gespielt wurden waren durch die Bühnenshow witzig, durchs Publikum von ca 50 Menschen mit einem Bollerwagen gefahren,",1,"4","2",4,1,1,NA,1,NA,4,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"HI01IG","LN","2023-10-20 06:38:24",3,1,6,"Silbermond Sängerin hat auch gesungen,",1,"3","1",2,1,1,NA,1,NA,3,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"HI01IG","LN","2023-10-20 06:38:24",3,1,7,"eine blonde Moderatorin hat über ihre schlechte Unterkunft und ihrem Ex Lindemann (aber der Name war nicht Till wie gedacht, es ging aber im kleinen negativen Video was dann auf der Bühne gezeigt wurde eindeutig um Till Lindemann)",1,"3","1",2,1,1,NA,1,NA,3,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
