"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"HI06CR","LN","2023-10-17 14:18:11",1,1,0,"Ich war in einer Art Flur mit Menschen in meinem Alter.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"HI06CR","LN","2023-10-17 14:18:11",1,1,1,"Dort wurde bekannt gegeben, dass auf der Reise nach Paris noch 2 freie Plätze wären.",1,"5","3","4","1, 5","1, 2",4,3,4,5,3,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"HI06CR","LN","2023-10-17 14:18:11",1,1,2,"Ein Bekannter, alter Schulkamerad und jetzt Kommilitone von mir und ich wurden dann ausgewählt. Dabei saßen wir nebeneinander auf dem Boden.",1,"5","3","4","1, 231","1",1,3,4,5,3,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"HI06CR","LN","2023-10-17 14:18:11",1,1,3,"Ich hab mir dann Sorgen gemacht, dass seine feste Freundin etwas dagegen hätte.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"HI06CR","LN","2023-10-17 14:18:11",2,1,0,"Danach war ich an einem ganz anderen Ort, nämlich Aldi. Dort war ich noch mit einer guten Freundin von mir noch ganz am Anfang von Aldi, also kurz vor der Obstabteilung.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
"HI06CR","LN","2023-10-17 14:18:11",2,1,1,"Dann waren da noch zwei fremde Frauen, die schlecht über meine ehemalige beste Freundin, mit der ich nicht mehr so viel Kontakt habe, geredet haben. So von wegen, dass wenn sie nicht mehr in die Schule gehen würde, sie deutsch verlerne und es nicht schaffen würde Lehrerin zu werden.",1,"4","1","2","4","1",2,5,4,4,1,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
"HI06CR","LN","2023-10-17 14:18:11",3,1,1,"Die Situation hat sich wieder geändert. Ich hab nichts gekauft und war in einer Art Markthalle mit der Freundin mit der ich schon im Aldi war und wollte mir unbedingt was zu essen holen, da ich die letzten beiden Tage nichts richtiges zum Abendessen hatte. Diese Freundin isst aber fast nichts, weswegen ich nichts bei den Ständen dort gegessen habe.",1,"231","1","2","1","1",NA,4,4,231,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
"HI06CR","LN","2023-10-17 14:18:11",3,1,2,"Dann haben wir über Currywurst geredet, da sie dies mag und ich das auch schon Jahre nicht mehr gegessen habe. Ende.",1,"231","1","2","1","1",NA,5,4,231,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"HI06CR","LN","2023-10-18 20:34:54",1,1,1,"Ich hatte ein FaceTime-Telefonat mit 2 mir unbekannten Frauen. Hier ging es darum, dass  ""Frau 1"" mir und ""Frau 2"" etwas gekauft hat und das Geld wiederhaben wollte. Bei mir handelte es sich um einen Lippenstift oder Lipgloss für 30€, bei Frau 2 weiß ich es nicht. Ich habe dann verdeutlicht, dass ich mir diesen niemals selbst geholt hätte und ihn nur als Geschenk angenommen habe. Ich war leicht verzweifelt deswegen, weil ich das anscheinend nicht bezahlen wollte.",1,"1","1",NA,"4","2",2,5,32,1,1,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78
"HI06CR","LN","2023-10-18 20:34:54",1,2,1,"Dann war ""Frau 2"" auf einmal real neben mir, nicht mehr per Face Time und hat erst ihre und dann, ohne mich zu fragen, meine Quittung weggeschmissen, obwohl ich diese behalten wollte, um ""die Beweise zu vernichten"".",1,"4","1","2","1","1",NA,1,NA,4,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
"HI06CR","LN","2023-10-18 20:34:54",1,2,2,"Außerdem konnte ich den Kontoauszug von Frau 1 wie auf einem einer Schriftrolle sehen, wie viel Geld sie schon ausgegeben hatte.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"HI06CR","LN","2023-10-18 20:34:54",2,1,0,"Dann hat sich mein Traum geändert und ich hatte Geburtstag.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"HI06CR","LN","2023-10-18 20:34:54",2,1,1,"Meine Familie hat eine Quizsendung im Fernsehn geguckt, die ich vom Prinzip her überhaupt nicht verstanden habe und war total darauf fokussiert, was mich traurig gemacht hat.",1,"21","2","4","1","1",NA,2,32,21,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"HI06CR","LN","2023-10-18 20:34:54",2,1,2,"Dann kamen Freunde von mir zu meiner Feier die Treppe zur Wohnung hoch und noch Bekannte von denen, die ich gar nicht da haben wollte.",1,"231, 232","2","4","1","1",NA,2,32,NA,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"HI06CR","LN","2023-10-18 20:34:54",2,1,3,"Auch meine Oma kam, sowie Freunde von meinem Vater, was mich aufgewühlt hatte, da ich nur mit meinen Freunden feiern wollte. Ende.",1,"214, 232","1, 2","2, 4","1","1",NA,2,32,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"HI06CR","LN","2023-10-19 08:00:21",1,1,1,"Ich war mit drei anderen jungen Frauen auf einer Bühne. Wir hatten alle Abendkleider an. Ich konnte mich und die anderen drei von außen, sprich aus der Sicht des Publikums betrachten. Ich erinnere mich nicht mehr worum es ging.",1,"1","1",NA,"4","2",2,4,4,1,1,2,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
"HI06CR","LN","2023-10-20 08:05:51",1,1,0,"Ich habe geträumt, dass ich ein Date hatte. Wir waren im Auto und ich saß auf der Fahrerseite, aber ich mein mich nicht daran zu erinnern, dass sich dort ein Lenkrad und alles was dazu gehört, befunden hätte.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
"HI06CR","LN","2023-10-20 08:05:51",1,1,1,"Dann hat der junge Mann mit dem ich dieses Date hatte, er hatte kein bestimmtes Gesicht, dass ich ihn z.B. in echt kenne, mir erzählt, dass er beim Frisör war. Ich hab dann innerlich meine Augen gerollt, weil ich mir dachte, dass das doch offensichtlich ist.",1,"4","1","1","1","1",NA,3,32,4,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46
"HI06CR","LN","2023-10-20 08:05:51",1,1,2,"Er wollte dann unbedingt Nachhause, weil es dort Essen gäbe, was mich auch wieder genervt hat.",1,"4","1","1","1","1",NA,3,32,4,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"HI06CR","LN","2023-10-20 08:05:51",1,1,3,"Aber er ist dann nicht gegangen, sondern wir haben weiter geredet, aber über was weiß ich nicht mehr. Ende.",1,"4","1","1","1","1",NA,5,4,4,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"HI06CR","LN","2023-10-21 14:48:43",1,1,1,"Ich habe geträumt, dass meine beste Freundin und ich im Club, in einem Aufzug waren, da wir diesen eben verlassen- und nachhause wollten. Dort waren mit uns noch zwei andere Mädels, die genau wie ich Psychologie studieren. Mit denen hab ich dann geredet und uns ausgetauscht, ob der jeweils andere schon dies und das gemacht hat.",1,"1","1",NA,"231, 4","1, 2",2,5,4,1,1,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56
"HI06CR","LN","2023-10-22 07:42:08",1,1,0,"Ich war mit meinen Eltern im Kino.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"HI06CR","LN","2023-10-22 07:42:08",1,1,1,"Wir waren erst im Flur vor den Kinosälen …",1,"1","1",NA,"211","2",3,4,4,1,1,2,211,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"HI06CR","LN","2023-10-22 07:42:08",1,1,2,"… und sind dann auch hineingegangen und haben uns gesetzt.",1,"1","1",NA,"211","2",3,4,4,1,1,2,211,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"HI06CR","LN","2023-10-22 07:42:08",1,1,3,"Vor uns waren auch Tische und es sind die ganze Zeit Leute, die dort gearbeitet haben, mit Schubkarren rumgefahren, um Essen zu verkaufen.",1,"3","2","4","1","1",NA,1,NA,3,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"HI06CR","LN","2023-10-22 07:42:08",1,1,4,"Die neben uns haben dann so einen wirklich riesigen Chipsteller geholt. So groß, wie in Amerika und ich dachte mir nur so wer kann sowas denn alles essen. Ich wollte keinen.",1,"4","2","4","1","1",NA,1,NA,4,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
