"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"HL03PT","IN",2023-08-19 07:34:15,1,1,1,"Ein Verflossener (Situationship im Jahr 2021) schrieb mir eine Nachricht per WhatsApp, wÃ¤hrend ich vor der TÃ¼r meines Elternhaus stand mit den Worten â€žich bin in deiner Gegend sollen wir uns sehen, aber falls wir uns sehen werden, sag mir frÃ¼h genug Bescheid, da ich ein Defibrillator vorher besorgen muss.â€œ",1,"232",1,1,"1",1,NA,3,15,232,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"HL03PT","IN",2023-08-19 07:34:15,1,1,2,"Auf meine Frage, was er mit meinem Defibrillator machen mÃ¶chte, schrieb er zurÃ¼ck â€žich konsumiere derzeit sehr viel, um sportlich meine hÃ¶chste Leistung zu erreichen und fÃ¼r andere AktivitÃ¤ten setzt mein Herz aus.â€œ",1,"1",1,NA,"232",1,"1",5,4,1,1,2,232,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
"HL03PT","IN",2023-08-19 07:34:15,2,1,0,"Als ich die Nachricht las, brach dieser Traum ab und ich war auf einmal auf einer Party, an einem Ort, der mich nicht bekannt war, aber mit dem Wissen von der o.g. Nachricht.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
"HL03PT","IN",2023-08-19 07:34:15,2,1,1,"Es waren permanent eine Reihe an MÃ¤nner um mich herum, die alle nach meiner Aufmerksamkeit jagten. Ich, immer auf der Suche nach der Flucht,",1,"4",1,1,"1",1,NA,3,24,4,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"HL03PT","IN",2023-08-19 07:34:15,2,1,2,"versteckte mich bei meiner Mutter.",1,"1",1,NA,"211",1,"2",3,16,1,1,2,211,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"HL03PT","IN",2023-08-19 07:34:15,2,2,1,"Auf einmal traf ich erneut einen Mann (Phi), den ich 2022 gedatet habe. Er war sehr erfreut darÃ¼ber, mich wiederzusehen. Ich hatte da noch eher gemischte GefÃ¼hle, da ich damals das Ganze beendet habe.",1,"1",1,NA,"232",1,"1",5,4,1,1,2,232,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
"HL03PT","IN",2023-08-19 07:34:15,2,2,2,"Er ging auf die Toilette",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"HL03PT","IN",2023-08-19 07:34:15,2,2,3,"und ich holte mir in der Zwischenzeit ein Eis mit allem mÃ¶glichen drauf (KaramellsoÃŸe, Karamellwaffel, Vanilleeis (was ich nicht mag) und Sahne). Als ich das Eis mit meiner Mutter holte,",1,"1",1,NA,"211",1,"2",4,4,1,1,2,211,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
"HL03PT","IN",2023-08-19 07:34:15,2,2,4,"kam der besagte Mann (Phi) wieder und versuchte ein GesprÃ¤ch mit meiner Mutter anzufangen,",1,"232",1,1,"211",1,"2",5,4,232,1,1,211,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"HL03PT","IN",2023-08-19 07:34:15,2,2,5,"ich fragte ihn wieso er so sehr danach strebt das GesprÃ¤ch aufrechtzuerhalten, geschweige wieso er mit meiner Mutter sprach, daraufhin er â€žich habe nie aufgehÃ¶rt nicht an dich zu denken und wenn das jetzt wieder mein Moment ist, um dich zu kÃ¤mpfen, dann mache ich es.â€œ Ich fÃ¼hlte mich in der Situation Ã¼berhaupt nicht wohl",1,"1",1,NA,"232",1,"1",5,32,1,1,2,232,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55
"HL03PT","IN",2023-08-19 07:34:15,2,2,6,"aber wollte auch nicht gehen, da er mir die andere MÃ¤nner vom Leib hielt, womit ich mich definitiv wohler fÃ¼hlte.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"HL03PT","IN",2023-08-20 07:37:42,1,1,1,"Ich liege im Krankenhaus und habe mein Baby auf dem Arm. Es ist ein MÃ¤dchen. Meine Mama saÃŸ neben mir. Das Krankenhaus sah aber nicht aus wie eins, alles war offen und man ging aus dem Zimmer und war direkt in einem Park.",1,"211, 213",1,2,"1",1,NA,1,NA,NA,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
"HL03PT","IN",2023-08-20 07:37:42,1,1,2,"DrauÃŸen stand eine gute Freundin mit ihrem Sohn (1 Jahr alt) und ihrem Hund und haben auf mich gewartet,",1,"231",1,2,"1",1,NA,1,NA,231,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"HL03PT","IN",2023-08-20 07:37:42,1,1,3,"bis ich mit meiner Tochter rauskam.  Ich ging raus, wir wurden herzlich begrÃ¼ÃŸt",1,"231",1,2,"1",1,NA,3,15,231,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"HL03PT","IN",2023-08-20 07:37:42,1,1,4,"und dann musste ich auch schon wieder aufs Zimmer um sie zu Stillen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"HL03PT","IN",2023-08-20 07:37:42,1,1,5,"Das mit dem Stillen funktionierte nicht wie gehofft. Ich war frustriert und wÃ¼tend auf mich.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"HL03PT","IN",2023-08-20 07:37:42,1,1,6,"Meine Mutter legte ein StillhÃ¼tchen an und half mir dabei, dass meine Tochter gestillt werden kann. Es hat funktioniert.",1,"211",1,2,"1",1,NA,3,14,211,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"HL03PT","IN",2023-08-20 07:37:42,1,1,7,"Dadurch das ich noch sehr geschwÃ¤cht von der Geburt war, schlief ich etwas",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"HL03PT","IN",2023-08-20 07:37:42,1,1,8,"und meine Mutter ging mit meiner Tochter spazieren.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"HL03PT","IN",2023-08-20 07:37:42,1,1,9,"Als sie wieder kam habe sie wieder gestillt.",1,"1",1,NA,"213",1,"2",3,14,1,1,2,213,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"HL03PT","IN",2023-08-20 07:37:42,1,1,999,"Traum zu ende.     Als Info ich bin noch keine Mutter.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
