"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"JD01HR","IN",2023-08-27 19:59:06,1,1,0,"Ich habe einen Abenteuer Trail gemacht. Dieser enthielt eine Zipline über einen Abgrund, eine Rutsche und eine lange Seilbrücke",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"JD01HR","IN",2023-08-27 19:59:06,1,1,1,"(man musste über ein dünnes Seil laufen (an einem weiteren Seil konnte man sich festhalten),",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"JD01HR","IN",2023-08-27 19:59:06,1,1,2,"ich bin mehrfach ausgerutscht und habe mich nicht sicher gefühlt,",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"JD01HR","IN",2023-08-27 19:59:06,1,1,3,"neben mir hing eine Leine mit Schiefertafeln herunter, auf der rätselhafte Hinweise standen,",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"JD01HR","IN",2023-08-27 19:59:06,1,1,4,"einen habe ich abgemacht, aber das durfte man eigentlich nicht).",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"JD01HR","IN",2023-08-27 19:59:06,1,2,1,"Ich habe den Trail mit einer Betreuerin gemacht, die ich auch kannte (eine Person aus dem echten Leben, aber ich habe vergessen, wer genau und in welcher Beziehung wir stehen).",1,"1","1",NA,"232","1",2,4,4,1,1,2,232,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
"JD01HR","IN",2023-08-27 19:59:06,1,3,1,"Der Abendteuer Trail führte durch eine breite Schlucht, unter mir war ein Bach.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"JD01HR","IN",2023-08-27 19:59:06,1,3,2,"Vor mir waren andere Menschen auf dem Trail, die ich auf der silbernen Rutsche eingeholt habe.",1,"4","2","4","1","1",NA,1,NA,4,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"JD01HR","IN",2023-08-27 19:59:06,1,3,3,"Ich war ungeduldig und wollte nicht ausgebremst werden, da ich den Trail nicht zum Spaß, sondern aufgrund einer Mission absolvierte.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"JD01HR","IN",2023-08-27 19:59:06,1,3,4,"Dennoch hat mir gerade die Zipline über den Abgrund Spaß gemacht, es hat sich wie fliegen angefühlt.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"JD01HR","IN",2023-08-28 08:01:29,1,1,0,"Erster Traum, an den ich mich erinnere: Ich war in einer Kirche mit einer hohen Decke im barocken Stil. Diese hatte einen Gang, der wie ein Kreuzgang aussah, aber keinen Hof mit Kreuz einschloss, sondern der Vorraum zu Großraumbüros war.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
"JD01HR","IN",2023-08-28 08:01:29,1,1,1,"Ich wollte von meinem Supervisor eine neue Aufgabe, habe aber zunächst keine erhalten.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"JD01HR","IN",2023-08-28 08:01:29,1,1,2,"Dann wurde mir gesagt, ich solle einen Kurs machen, der in meiner alten Schule stattfand,",1,"5","3","4","1","1",NA,3,4,5,3,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
