"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"JH12MR","LN","2023-09-07 18:01:00",1,1,0,"Ich war in einer fremden Umgebung. Ich wusste im Traum aber dass ich in Italien war. Dort war ich mit meinem Freund, der aber  real nicht existiert.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"JH12MR","LN","2023-09-07 18:01:00",1,1,1,"Er taucht plötzlich auf und schimpft, weil ich einen Gurkenbaum.sehe und einen Zweig davon abschneide. Ich möchte zuhause einen Ableger haben.",1,231,1,1,1,1,NA,3,22,231,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"JH12MR","LN","2023-09-07 18:01:00",1,1,2,"Dann fällt mit aber im Traum ein  dass es gar keine Gurkenbäume gibt und das macht mich sehr traurig.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"JH12MR","LN","2023-09-07 18:01:00",1,2,0,"Dann bin ich zuhause und der Baum ist weg.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"JH12MR","LN","2023-09-07 18:01:00",1,2,1,"Ich suche ihn überall.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"JH12MR","LN","2023-09-07 18:01:00",1,2,2,"Mein Freund lacht mich aus.",1,231,1,1,1,1,NA,3,22,231,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"JH12MR","LN","2023-09-07 18:01:00",1,2,999,"Mein Freund hat im Traum kein Gesicht",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"JH12MR","LN","2023-09-10 05:08:32",1,1,1,"Ich bin mit einer Freundin unterwegs, wir sind auf dem Weg  nach Hause. Wir stehen im Bus, obwohl wir Sitzplätze haben, die für uns reserviert sind, das ist irgendwie sehr wichtig für uns.",1,1,1,NA,231,1,2,4,4,1,1,2,231,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
"JH12MR","LN","2023-09-10 05:08:32",1,1,2,"Vorher haben wir in einem Café nichts mehr zu essen bekommen und sind beide sauer.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"JH12MR","LN","2023-09-10 05:08:32",1,1,3,"Deswegen haben wir es eilig. Der Bus fährt längst, als ich durch dienHeckscheibe meinen Vater sehe.",1,211,1,1,1,1,NA,1,NA,211,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"JH12MR","LN","2023-09-10 05:08:32",1,1,4,"Ich habe noch eine Frage an ihn und rufe ihm durch die offene Tür zu. Er antwortet mir, aber ich verstehe ihn nicht.",1,1,1,NA,211,1,1,5,4,1,1,2,211,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"JH12MR","LN","2023-09-10 05:08:32",1,1,5,"Jetzt steht auch meine Mutter neben ihm und beide rennen los und versuchen den Bus einzuholen.",1,211,2,3,1,1,NA,1,NA,211,2,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"JH12MR","LN","2023-09-10 05:08:32",1,1,6,"Ich schreie, dass es nicht so wichtig ist, ich kann sie ja noch anrufen.",1,1,1,NA,211,1,1,3,4,1,1,2,211,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"JH12MR","LN","2023-09-10 05:08:32",1,1,7,"Meine Freundin findet, wir sollen uns jetzt bitte hinsetzen.",1,231,1,2,1,1,NA,3,4,231,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"JH12MR","LN","2023-09-10 05:08:32",1,1,8,"Ich mach mir aber sorgen und schaue immer wieder nach meinen Eltern.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"JH12MR","LN","2023-09-10 05:08:32",1,1,9,"Ich sehe dass der Busfahrer meine Rltern im Rückspiegel beobachtet und ich denke er stoppt jetzt die Fahrt. Aber er hält nicht an.",1,3,1,1,1,1,NA,1,NA,3,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"JH12MR","LN","2023-09-10 05:08:32",1,1,10,"Meine Eltern liegen jetzt wie tot auf der Straße und ich habe Angst, dass sie über fahren werden.",1,211,2,3,1,1,NA,2,32,211,2,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"JH12MR","LN","2023-09-10 05:08:32",1,1,11,"Ich sage zu meiner Freundin, dass wir sofort aussteigen müssen, …",1,1,1,NA,231,1,2,3,4,1,1,2,231,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"JH12MR","LN","2023-09-10 05:08:32",1,1,12,"… aber vorher müssen wir noch unsere Sitzplätze mit einer schweren Eisenkette sichern.",1,1,1,NA,231,1,2,4,4,1,1,2,231,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"JH12MR","LN","2023-09-10 05:08:32",1,1,13,"Wir schaffen es aber nicht. Meine Freundin fängt an zu weinen und ich bin genervt, weil ich sie jetzt trösten muss obwohl meine Eltern doch wie tot auf der Straße hinter uns liegen.",1,231,1,2,1,1,NA,2,32,231,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
"JH12MR","LN","2023-09-10 05:08:32",1,2,1,"Der Bus ist jetzt eine Straßenbahn und fährt in die unterirdische Haltestelle ein.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"JH12MR","LN","2023-09-10 05:08:32",1,2,2,"Die Tür öffnet sich, aber wir sind noch mit der Kette beschäftigt und können nicht aussteigen.",1,1,1,NA,231,1,2,4,4,1,1,2,231,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"JH12MR","LN","2023-09-10 05:08:32",1,2,3,"Wir sind alleine in der Bahn und denken dass bald die Tür wieder schließt und lassen die Kette einfach fallen um auszusteigen. Ich bin sehr traurig weil ich weiß dass es zu spät ist, meine Eltern sind sicher tot.",1,1,1,NA,231,1,2,4,32,1,1,2,231,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
