"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"KR08EI","LN","2023-10-20 07:13:47",1,1,0,"Ich war am Flughafen, obwohl ich erst am nächsten Tag verreisen sollte.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"KR08EI","LN","2023-10-20 07:13:47",1,1,1,"Dort ist mir dann aufgefallen, dass ich meine Perso nicht dabei hatte. Ich wollte nach Thailand fliegen um dort eine art Mafiafilm zu drehen (ich weiß gerade nicht mehr ob als Schauspieler oder anderer Job)",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
"KR08EI","LN","2023-10-20 07:13:47",1,1,2,"Jedenfalls bin ich dann in einer riesigen Halle zu einem Info schalter gegangen, wo ich gefragt habe, ob ich auch ohne Perso verreisen könnte.  Der Mann am schalter meinte vielleicht schon, ich solle abwarten.",1,"1",1,NA,"3","1","1",5,14,1,1,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
"KR08EI","LN","2023-10-20 07:13:47",1,2,1,"Ich bin dann zurück gegangen wo ich anscheinend irgendwie geblieben bin, was die Unibibliothek war.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"KR08EI","LN","2023-10-20 07:13:47",1,2,2,"Dort bin ich meinem Bruder begegnet und Rezo, der einen schwarzen Kapuzenpulli anhatte und hinter mir in die Bibliothek ging. Ich habe mich gefragt ob ich größer bin als er und ob er mich wohl attraktiv findet.",1,"1",1,NA,"212, 3","1","1",3,4,1,1,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
"KR08EI","LN","2023-10-20 07:13:47",1,3,1,"In der Bib waren zwei Freunde von mir, …",1,"1",1,NA,"231","2","1",1,NA,1,1,2,231,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"KR08EI","LN","2023-10-20 07:13:47",1,3,2,"… mein Bruder iSt dazu gekommen, wir haben geredet. Ich weiß nicht worüber.",1,"1",1,NA,"212, 231","1, 2","1",5,4,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"KR08EI","LN","2023-10-20 07:13:47",1,4,1,"Ich bin dann nochmal zurück in die Flughafenhalle gegangen, wo nun anstatt des Infoschalters ein Tisch stand, an dem ca. 5 Frauen saáºžen und Nudeln gegessen haben, die Stimmung war fröhlich, sie haben viel   gelacht.",1,"3",2,"2","1","1",NA,1,NA,3,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
"KR08EI","LN","2023-10-20 07:13:47",1,4,2,"Ich habe dort meine Frage erneut gestellt. Unter den Frauen war auch die Pilotin, das wusste ich, ohne dass sie es gesagt hat.",1,"1",1,NA,"3","2","2",3,14,1,1,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"KR08EI","LN","2023-10-20 07:13:47",1,4,3,"Auch die netten Frauen meinten, ich solle es einfach mal versuchen. Aber der Flug war erst morgen früh um 8, ich könnte also jederzeit nochmal nach Hause fahren und ihn holen, was mir jetzt erst aufgefallen ist.",1,"3",2,"2","1","1",NA,3,16,3,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
