"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"KR09AE","IN",2023-07-22 10:37:00,1,1,0,"Erster Teil: irgendwas mit entfernter Familie",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"KR09AE","IN",2023-07-22 10:37:00,2,1,1,"Zweiter Teil: mit Leuten aus der Uni shoppen",1,"1","1",NA,"232","2",4,4,4,1,1,2,232,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"KR09AE","IN",2023-07-22 10:37:00,3,1,0,"Dritter Teil: Ich war in einer Wohnung, in der ich anscheinend gelebt habe,",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"KR09AE","IN",2023-07-22 10:37:00,3,1,1,"aber es sind zwischendurch auch Fremde da vorbeigekommen, als würde sie ihnen auch gehören.",1,"4","2",4,"1","1",NA,1,NA,4,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"KR09AE","IN",2023-07-22 10:37:00,3,1,2,"Zwischendurch war auch meine Schwester da.",1,"212","1",2,"1","1",NA,1,NA,212,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"KR09AE","IN",2023-07-22 10:37:00,3,2,1,"Es gab irgendein Problem mit etwas in der Wohnung, Kleidung war auch wichtig, keine Ahnung wieso.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"KR09AE","IN",2023-07-23 12:52:00,1,1,1,"Ich habe mit zwei anderen Menschen Kinder unterrichtet.",1,"1","1",NA,"4","2",4,4,4,1,1,2,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"KR09AE","IN",2023-07-23 12:52:00,1,1,2,"Zusätzlich waren aber auch noch zwei weitere Lehrer anwesend, die den einen Teil des Unterrichts gemacht haben, wir haben den anderen Teil gemacht.",1,"3","2",4,"1","1",NA,1,NA,3,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"KR09AE","IN",2023-07-24 19:34:00,1,1,1,"1) Eine Freundin hat mit ihrem Freund Schluss gemacht, weil sie nicht mehr genug Zeit hatten sich zu sehen",1,"231","1",2,"1","1",NA,1,NA,231,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"KR09AE","IN",2023-07-24 19:34:00,2,1,1,"2) Ich habe erfahren, dass ich einen älteren Bruder habe",1,"5","3",4,"1","1",NA,3,4,5,3,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
