"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"KT12EI","LN","2023-10-21 12:03:18",1,1,1,"Ich war mit meinem Freund draußen spazieren. Es war schönes Wetter, die Sonne hat geschienen und es war leicht winding, aber nicht zu kalt. Wir haben über Gott und die Welt geredet. Ich hatte eine blaue Jeans an und einen schwarzen Rollkragen Pullover.",1,"1",1,NA,"22","1",1,5,4,1,1,2,22,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43
"KT12EI","LN","2023-10-21 12:03:18",1,1,2,"Uns kamen Menschen mit Hunden entgegen, die ich gestreichelt habe. Der eine Hund war ein golden Retriever. Er war noch jung und sehr verspielt.",1,"4",2,4,"1","1",NA,1,NA,4,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"KT12EI","LN","2023-10-21 12:03:18",1,1,3,"Wir gingen weiter und es kamen immer mehr Hunde dazu.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"KT12EI","LN","2023-10-21 12:03:18",1,2,1,"Als wir wieder zu Hause waren, habe ich mich dazu entschlossen, in ein Tierheim zu gehen und ehrenamtlich mit den Tieren dort zu arbeiten.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"KT12EI","LN","2023-10-21 12:03:18",1,2,999,"Dann bin ich leider aufgewacht und der Traum war vorbei. Es war eine sehr positive Stimmung auf Grund der Hunde. Der Traum ist von letzter Nacht gewesen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"KT12EI","LN","2023-10-22 12:34:21",1,1,1,"Ich war mit Freunden von mir auf einer Party. Wir haben gefeiert und viel getanzt.",1,"1",1,NA,"231","2",4,5,31,1,1,2,231,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"KT12EI","LN","2023-10-22 12:34:21",1,1,2,"Dann wurden wir von dem DJ angesprochen und gefragt, ob wir nicht auf die Hauptbühne kommen wollen und tanzen wollen.",1,"3",1,1,"1, 231","1, 2",4,3,31,3,1,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"KT12EI","LN","2023-10-22 12:34:21",1,1,3,"Also gingen wir nach oben und haben getanzt und Stimmung gemacht. Wir hatten sehr viel Spaß zusammen.",1,"1",1,NA,"231","2",4,5,31,1,1,2,231,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"KT12EI","LN","2023-10-22 12:34:21",1,1,999,"Wir waren insgesamt 4 Freundinnen",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"KT12EI","LN","2023-10-23 07:32:27",1,1,1,"Der Traum war ziemlich neutral. Ich war den meisten Traum nur alleine. Ich war draußen spazieren und das Wetter war ganz gut. Die Sonne hat geschienen und ich war ganz gut drauf. Ich hatte kein Ziel wo ich hinlaufe und habe über viele Sachen nachgedacht, an dich ich mich nicht mehr erinnern kann.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53
"KT12EI","LN","2023-10-23 07:32:27",1,2,1,"Auf dem Spaziergang traf ich eine frühere Freundin. Un genau zu sein, meine frühere beste Freundin. Wir haben uns begrüßt und angefangen über unser Leben zu reden.",1,"1",1,NA,"231","1",2,5,31,1,1,2,231,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"KT12EI","LN","2023-10-23 07:32:27",1,2,2,"Wir haben uns ziemlich lange nicht mehr gesehen und deswegen sind wir dann zusammen spazieren gegangen. Es war ein schöner Spaziergang.",1,"1",1,NA,"231","1",2,5,31,1,1,2,231,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"KT12EI","LN","2023-10-23 07:32:27",1,1,999,"Irgendwann bin ich dann aufgewacht",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"KT12EI","LN","2023-10-25 06:31:54",1,1,1,"Ich war mit meinen Eltern in einer Stadt. Ich weiß nicht mehr in welcher Stadt. Dort sind wir rumgelaufen und waren in Läden drin.",1,"1",1,NA,"211","2",3,4,4,1,1,2,211,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"KT12EI","LN","2023-10-25 06:31:54",1,1,2,"Ich hatte mir neuen Schmuck (Ohrringe) in einem Schmuckladen geholt.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"KT12EI","LN","2023-10-25 06:31:54",1,2,1,"Als wir wieder draußen waren, war da auf einmal meine Tante. Sie sah einen Mann den sie von früher noch kannte. Er sah so aus, als würde er etwas suchen.",1,"4",1,1,"214","1",2,1,NA,4,1,1,214,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
"KT12EI","LN","2023-10-25 06:31:54",1,2,2,"Ich habe erfahren, dass er Schmuck von seiner Frau sucht. Das Boot von den beiden ist dort in der Nähe untergegangen weshalb er dort nach dem Schmuck sucht. Der Mann war schon etwas älter.",1,"4",1,1,"1","1",NA,1,NA,4,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
"KT12EI","LN","2023-10-25 06:31:54",1,2,3,"Auf einmal ist mir aufgefallen, dass einige Ohrringe von mir auch fehlen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
