"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"LC09FN","LN","2023-08-24 20:27:35",1,1,1,"Bin durch eine kleine Einkaufsstraße gegangen, war ganz entspannt. Sonst war niemand da.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"LC09FN","LN","2023-08-24 20:27:35",1,1,2,"Plötzlich habe ich gemerkt, dass ich eine Zigarette in meiner Hand halte und rauche (ich bin und war auch immer Nichtraucher).",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"LC09FN","LN","2023-08-24 20:27:35",1,1,3,"Sobald ich sie bemerkt hatte, habe ich den Rauch gespürt und sie weggeworfen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"LC09FN","LN","2023-08-24 20:27:35",1,1,4,"Danach ist mir eingefallen, dass ich noch dringend zu einer Apotheke muss.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"LC09FN","LN","2023-08-24 20:27:35",1,1,999,"Bevor ich dort eintraf, bin ich aufgewacht.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"LC09FN","LN","2023-08-28 20:21:36",1,1,1,"Eine Fliege kreiste die ganze Zeit über meinem Kopf, während ich versuchte, zu schlafen. Ich konnte nach ihr schlagen, doch treffen konnte ich sie nicht. Dieser Traum kam mir sehr lang vor.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
"LC09FN","LN","2023-08-31 12:08:54",1,1,1,"Ich habe Hockey gespielt und zusammen mit einer Freundin aus meiner Schulzeit das Siegtor geschossen.",1,1,1,NA,231,1,2,4,4,1,1,1,231,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"LC09FN","LN","2023-09-03 18:42:51",1,1,1,"Ich habe im Ikea Warenlager Möbelstücke eingeräumt.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"LC09FN","LN","2023-09-04 21:19:11",1,1,0,"Ich war ein König und hatte zwei Schuster, die mir perfekte Schuhe geschustert hatten.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"LC09FN","LN","2023-09-04 21:19:11",1,1,1,"Ich stand vor meinem Thron und vor mir die beiden Schuster.",1,3,2,1,1,1,NA,1,NA,3,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"LC09FN","LN","2023-09-04 21:19:11",1,1,2,"Da verlangte ich ein weiteres Paar Schuhe von ihnen, ebenso perfekt wie das erste.",1,1,1,NA,3,2,1,3,4,1,1,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"LC09FN","LN","2023-09-04 21:19:11",1,1,3,"Als ich meinen Wunsch ausgesprochen hatte, kamen zwei Lichtblitze von oben und trafen die beiden Schuster, die daraufhin vom Erdboden verschluckt waren.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"LC09FN","LN","2023-09-04 21:19:11",1,1,999,"Dann endete der Traum abrupt.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
