"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"LL08PT","LN","2023-10-23 09:38:26",1,1,1,"Mit einer Gruppe Schulfreunden in einem Sommer/Badesee Setting, ausgelassene Stimmung, alle sind mit Fahrrädern unterwegs. Auch wenn das Setting vertraut vorkam kann ich mich nicht erinnern jemals wirklich dort gewesen zu sein. Es wurde gelacht, geschrien und miteinander gesprochen aber ich weiß nicht worüber.",1,"1","1",NA,231,2,4,5,31,1,1,1,231,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44
"LL08PT","LN","2023-10-26 08:08:24",1,1,1,"Alles was ich noch sicher weiß ist, dass ich ein sixpack hatte und alle das sehr toll fanden. Mich eingeschlossen",1,"5","3","4",1,1,NA,3,12,5,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"LL08PT","LN","2023-10-27 08:12:49",1,1,0,"Humanoide Roboter mit allerlei Funktionen aber ich weiß nicht mehr was ich mit ihnen zu tun hatte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"LL08PT","LN","2023-10-28 10:35:56",1,1,1,"Ich hab Gitarren Solos auf meiner Gibson SG gespielt, anfangs noch etwas schlechter …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"LL08PT","LN","2023-10-28 10:35:56",1,1,2,"… aber gegen Ende des Traum stand ich wie Eric Clapton auf der Bühne und habe gespielt.  In der Zuschauerschaft waren verschiedene Bekannte Gesichter wie meine Mutter, Freunde und Leute die ich nicht so mag.",1,"211, 231, 232","1, 2, 2","2, 4, 4",1,1,NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
"LL08PT","LN","2023-10-30 09:43:36",1,1,1,"Es war wieder ein Mal in einem Schulszenario, aber ohne Charaktere die ich aus der Schule kenne. Stattdessen waren da verschiedene flüchtige Bekannte und andere schon eher bekannte Gesichter und es sah aus als seien wir alle zusammen auf einer Baustelle in meiner alten Schule. Ich kann mich nicht erinnern was wir gebaut haben aber da war Mörtel und Werkzeug.",1,"232","2","4",1,1,NA,4,4,232,2,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60
"LL08PT","LN","2023-10-31 13:53:54",1,1,1,"Ich musste vor einer anonymen Zuschauerschaft singen aber kannte den Text nicht und hab nur in die Menge gestarrt.",1,"5","2","4",1,1,NA,1,NA,5,2,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"LL08PT","LN","2023-10-31 13:53:54",1,1,2,"Selbst als Musik angefangen hat zu spielen habe ich nicht gesungen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"LL08PT","LN","2023-11-01 17:57:17",1,1,1,"Ich war auf dem Weg zu einer Bushaltestelle und ich hatte es sehr eilig, aber es kam kein bus …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"LL08PT","LN","2023-11-01 17:57:17",1,1,2,"… also lief ich weiter zur nächsten Haltestelle …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"LL08PT","LN","2023-11-01 17:57:17",1,1,3,"… und immer so weiter.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"LL08PT","LN","2023-11-01 17:57:17",1,1,999,"Ein Bus erschien aber nicht",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"LL08PT","LN","2023-11-02 08:56:52",1,1,1,"Ich habe Tennis mit einem ehemaligen Freund gespielt. Es schien alles in Ordnung zu sein, die Stimmung war ganz gut aber es war Nacht, bzw. der Himmel war schwarz aber es gab genug Licht damit man keinerlei Lampen brauchte. Wir spielten einige Zeit ohne uns zu unterhalten.",1,"1","1",NA,232,1,1,4,4,1,1,1,232,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47
"LL08PT","LN","2023-11-03 11:31:30",1,1,0,"Szenen und Bilder aus der Serie die ich vor dem schlafen gehen geguckt habe. Es handelt sich hierbei um einen Anime der Pluto heißt, auf Netflix verfügbar und unglaublich spannend. Vorallem spannende actionreiche Szenen habe ich im Traum wiedererkannt.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
"LL08PT","LN","2023-11-04 15:31:47",1,1,1,"Im Traum hatte ich irgendeine Art von kaputtem Roboter oder kaputter Maschine in der Hand. Ich hatte das gefühl es wurde von mir erwartet diesen wieder zu reparieren oder instand zu setzen aber wusste nicht wie. Es hat sich nicht richtig angefühlt nichts tun zu können. Außer mir waren keine weiteren Personen im Traum.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
"LL08PT","LN","2023-11-05 14:39:50",1,1,0,"Ein klassischer  ich kann Fliegen  Traum:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"LL08PT","LN","2023-11-05 14:39:50",1,1,1,"Ich bin über meiner Stadt geflogen (ohne zu erkennen dass es meine stadt war, wusste ich es einfach) …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"LL08PT","LN","2023-11-05 14:39:50",1,1,2,"… und kam sehr schnell am Meer an.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
