"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"MH03GZ","LN","2023-10-19 10:23:10",1,1,1,"Ich hatte Besuch bei mir zuhause. Auf der Couch gegenüber von mir saß ein Schauspieler und wir unterhielten uns bei einer Tasse Tee. Worum es ging, weiß ich nicht mehr.",1,1,1,NA,"3",1,"1",5,4,1,1,2,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
"MH03GZ","LN","2023-10-19 10:23:10",1,1,2,"Als er aber in Bad ging, wurde er erschossen. Den Mörder konnte ich nicht erkennen.",1,4,1,4,"3",1,"1",3,21,4,1,4,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"MH03GZ","LN","2023-10-19 10:23:10",1,1,999,"Dann bin ich aufgewacht.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"MH03GZ","LN","2023-10-21 06:09:09",1,1,1,"Ich habe keine Details mehr vor Augen. Ich habe mich aber mit einer Freundin gestritten und wir haben uns entschieden, getrennte Wege zu gehen.",1,1,1,NA,"231",1,"2",5,22,1,1,2,231,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"MH03GZ","LN","2023-10-22 10:46:19",1,1,1,"Ich war auf einer Geburtstagsfeier im Asta-Keller, auf der ich mich nicht willkommen fühlte. Mir begrüßte keine Person und keine Grüppchen ließen mich an den Konversationen teilhaben.",1,5,2,4,"1",1,NA,3,26,5,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"MH03GZ","LN","2023-10-22 10:46:19",1,2,1,"Dann bin ich nach Hause gegangen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"MH03GZ","LN","2023-10-25 08:49:54",1,2,1,"Ich bin in meinem Traum aufgewacht und hatte bemerkt, dass ich ein Seminar verpasst hatte, weil ich mir meinen Stundenplan nicht richtig gemerkt hatte. An jenem Tag waren auch meine Eltern zu Besuch und deshalb ging ich nicht in die Uni.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
"MH03GZ","LN","2023-10-25 08:49:54",1,1,1,"Am Abend davor war ich mit meinen Freunden auf einer Party …",1,1,1,NA,"231",2,"4",4,4,1,1,2,231,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"MH03GZ","LN","2023-10-25 08:49:54",1,3,1,"… und am Tag danach luden sie sich einfach selbst bei mir ein und wir aßen mit meinen Eltern gemeinsam auf ihrem Balkon Pizza. Diese hatten wir ursprünglich nur für drei Personen gemacht, aber wir teilten sie dann unter uns allen auf.",1,1,1,NA,"211, 231",2,"3, 4",4,4,1,1,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"MH03GZ","LN","2023-10-25 08:49:54",1,4,1,"Im Hintergrund lief eine Serie, in der es darum ging, dass sich zwei Freunde in ein Mädchen verliebt hatten. Sie liebte einen von ihnen zurück, aber wollte aus Rücksicht zum anderen Jungen nicht mit ihm ausgehen.",1,4,2,4,"1",1,NA,1,NA,4,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
"MH03GZ","LN","2023-10-27 09:04:33",1,1,0,"Ich weiß nur noch, dass ein Deutschrapper in meinem Traum war.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
