"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"MN06CA","LN","2023-10-21 16:52:43",1,1,1,"Mein Ex Freund und ich saßen irgendwo (Ort nicht bekannt) mit Leuten …",1,"1, 22X","1","1","5",2,4,4,4,NA,1,1,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"MN06CA","LN","2023-10-21 16:52:43",1,1,2,"… und mussten dann plötzlich weg, …",1,"1","1",NA,"22X",1,1,4,4,1,1,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"MN06CA","LN","2023-10-21 16:52:43",1,2,1,"… dann standen wir im Supermarkt und haben eine Packung Lachs und eine Packung Bacon gekauft.",1,"1","1",NA,"22X",1,1,4,4,1,1,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"MN06CA","LN","2023-10-21 16:52:43",1,3,1,"Dann waren wir plötzlich draußen und ich hatte ein Baby auf dem Arm und wir wollten zu den anderen zurück.",1,"1","1",NA,"22X",1,1,4,4,1,1,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"MN06CA","LN","2023-10-21 16:52:43",1,3,2,"Das Baby hat angefangen zu quengeln, weil es Hunger hatte und schon längst essen sollte, ich habe es ihm gesagt aber er wollte nicht hören und wieder zurück, …",1,"1","1",NA,"22X",1,1,3,4,1,1,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"MN06CA","LN","2023-10-21 16:52:43",1,3,3,"… deshalb ging wir alle zusammen zurück.",1,"1","1",NA,"22X",1,1,4,4,1,1,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"MN06CA","LN","2023-10-23 09:07:54",1,1,0,"Ich hatte diese Nacht zwei Träume.    Der erste Traum:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"MN06CA","LN","2023-10-23 09:07:54",1,1,1,"Ich liege in meinem Zimmer im Bett und wache nachts auf.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"MN06CA","LN","2023-10-23 09:07:54",1,1,2,"Ich gucke auf mein Handy, es ist 5:27/5:57 Uhr.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"MN06CA","LN","2023-10-23 09:07:54",1,1,3,"Ich öffne Instagram und gehe auf das Profil von meinem Ex Freund. Ich sehe das unter seinem Bild seine Ex Freundin vor 2 Minuten kommentiert hat und wundere mich. Ich lese ""Ich bin fertig für heute meine Kopf ist voll :("" (so ungefähr war der Satz, bin nicht mehr ganz sicher).",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51
"MN06CA","LN","2023-10-23 09:07:54",1,1,4,"Ich werde nervös und schaue nochmal plötzlich steht da ein anderer Satz, aber auch von ihr. Irgendwas banales. Ich fühle mich in dem Moment nicht gut, da ich weiß das sie eigentlich keinen Kontakt mehr haben.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
"MN06CA","LN","2023-10-23 09:07:54",1,1,5,"Ich rufe ihn an, erreiche ihn aber nicht.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"MN06CA","LN","2023-10-23 09:07:54",1,1,6,"Dann schreibt er mir und wir chatten. Wir verabreden uns für den Abend darauf.",1,"1","1",NA,"22X",1,1,5,4,1,1,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"MN06CA","LN","2023-10-23 09:07:54",1,2,1,"Ich sitze auf einmal mit zwei Freunden zusammen und erzähle es ihnen und sage das ich ihn persönlich darauf ansprechen will, damit ich seine Augen sehen kann, wenn er mir antwortet.",1,"1","1",NA,"231",2,1,5,4,1,1,2,231,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
"MN06CA","LN","2023-10-23 09:07:54",2,1,0,"Der zweite Traum:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"MN06CA","LN","2023-10-23 09:07:54",2,1,1,"Ich war mit meinem Papa in einem Haus (das Haus hatte mehrere Stockwerde und grosse Flure) an einem Ort, der mir nicht bekannt ist. Wir wohnten anscheinend für eine Zeit dort, es fühlte sich wie ein Urlaub an (die Straße am Haus sah aus wie in Spanien oder Italien).",1,"1","1",NA,"211",1,1,4,4,1,1,2,211,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
"MN06CA","LN","2023-10-23 09:07:54",2,2,1,"Dann mussten wir fliehen, die Stimmung vor Ort wurde anders.",1,"1","1",NA,"211",1,1,4,4,1,1,2,211,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"MN06CA","LN","2023-10-23 09:07:54",2,2,2,"Wir fingen an unsere Sachen zusammen zupacken und diskutierten, weil nur das nötigste mitnehmen konnten.",1,"1","1",NA,"211",1,1,5,4,1,1,2,211,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"MN06CA","LN","2023-10-23 09:07:54",2,2,3,"Ich stand vor einem Regal, in dem Sachen von mir lagen und schaute was ich mitnehmen soll, guckte mir Bücher an und Alben, packte davon welche ein. Ich packte viel zu viel ein, einen riesen Rucksack und eine Tüte.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
"MN06CA","LN","2023-10-23 09:07:54",2,2,4,"Papa meinte ich darf nicht so viel mitnehmen, aber ich brauchte die Sachen und konnte mich nicht von allem trennen.",1,"1","1",NA,"211",1,1,3,4,1,1,2,211,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"MN06CA","LN","2023-10-23 09:07:54",2,2,5,"Ich wollte, dass die Haustür zu ist und die Musik leise oder aus, damit wir nicht gehört werden, wenn sie (ich weiß nicht wer) kommen. Ich schloss die Tür ab, weil ich Angst hatte. Ich wusste aber auch, dass die Tür ganz leicht einzutreten ist.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
"MN06CA","LN","2023-10-23 09:07:54",2,2,6,"Plötzlich stand die Tür wieder offen und ich hab Papa panisch gefragt, wieso die wieder auf ist. Er wollte Durchzug haben, damit Luft rein kommt.",1,"1","1",NA,"211",1,1,5,4,1,1,2,211,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"MN06CA","LN","2023-10-23 09:07:54",2,3,1,"Dann wurden wir aufgehalten, eine Frau kam mit zwei Kindern in die Wohnung, wir sollten einen Jungen aufnehmen der Melantina heiß, er war noch sehr jung (vllt 3) und sprach Spanisch. Er kam von einer Insel und hatte wohl keinen mehr. Wir nahmen ihn auf, ...",1,"4","2","4","1, 211",1,1,5,16,4,2,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46
"MN06CA","LN","2023-10-23 09:07:54",2,3,2,"… dann ging sie mit dem Baby auf dem Arm wieder.",1,"4","2","4","1",1,NA,1,NA,4,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"MN06CA","LN","2023-10-23 09:07:54",2,3,3,"Wir gingen raus in das Dorf/Stadt (mir unbekannt), weil wir noch etwas besorgen mussten. Ich sprach mit dem Jungen.",1,"1","1",NA,"4",1,1,5,4,1,1,2,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"MN06CA","LN","2023-10-23 09:07:54",2,4,1,"Als wir zurück kamen gingen wir ins Haus einige Stockwerke hoch,…",1,"1","1",NA,"211, 4",1,1,4,4,1,1,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"MN06CA","LN","2023-10-23 09:07:54",2,4,2,"…  im Flur am Eingang oben zu den Wohnungen saß ein ältere Junge der plötzlich auch zu uns gehörte. Wir hatten Angst das was passiert ist. Ihm lief eine Träne runter und er hatte einen Kasten (wo anscheinend unser Geld drin war), dieser war offen und uns wurde anscheinend das letzte Geld genommen. Er konnte nur noch einen 100€ Schein abzwackenw. Und hielt ihn hin. Wir waren sehr aufgelöst und ängstlich.",1,"1","1",NA,"4",1,1,5,4,1,1,2,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71
"MN06CA","LN","2023-10-26 07:27:08",1,1,1,"Ich bin im Wald mit einem Mädchen spielen ein Spiel. Laufen im Kreis (dann weiß ich nicht mehr).",1,"1","1",NA,"4",1,2,4,4,1,1,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"MN06CA","LN","2023-10-26 07:27:08",2,1,0,"Plötzlich bin ich in einem Haus oder Wohnung …",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
