"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"MR06WL","IN",2023-07-18 07:49:44,1,1,1,"In meinem Traum machte ich mir große Sorgen wegen einer Prüfung, die ich schreiben musste,",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"MR06WL","IN",2023-07-18 07:49:44,1,1,2,"und ich hatte große Angst, zu spät zu kommen, deshalb hatte ich Angst, dass mein Wecker nicht klingeln würde.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"MR06WL","IN",2023-07-23 14:08:20,1,1,1,"In meinem Traum war ich im Fitnessstudio und hatte Probleme, weil ich nicht so viel Gewicht tragen konnte, wie ich wollte,",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"MR06WL","IN",2023-07-23 14:08:20,1,1,2,"und dann kam ein Mann auf mich zu, um mir zu helfen,",1,4,1,1,"1",1,NA,3,14,4,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"MR06WL","IN",2023-07-23 14:08:20,1,1,3,"und wir wurden Freunde.",1,1,1,NA,"231",1,1,5,15,1,1,2,231,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"MR06WL","IN",2023-07-24 10:41:43,1,1,1,"Ich habe geträumt, dass ich mit meinem Ex-Freund zusammen war und wir uns gestritten haben. Ich weiß nicht genau, warum, aber ich weiß, dass ich sehr aufgebracht war und er mir etwas erklärt hat, was passiert war.",1,1,1,NA,"22X",1,1,5,22,1,1,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
"MR06WL","IN",2023-07-26 20:33:46,1,1,0,"Ich hatte heute zwei Albträume, und nach beiden bin ich aufgewacht, im ersten sehr verängstigt und im zweiten mit Angst und sehr schwerem Atem.    In dem ersten gab es eine Schießerei. Der Amokläufer war ein Freund von mir, und er fing an, den Fahrer des Autos, in dem wir saßen, zu töten, und fuhr dann fort, weitere Menschen zu töten, an die ich mich nicht mehr erinnere, wer sie waren.    Im zweiten Albtraum hatte ich eine uni- Klausur, aber an meiner Schule mit meinen Mitschülern, und wir lernten Minuten vor der Klausur, bis die Glocke läutete und wir zur Klausur rennen mussten, aber ich hatte noch nicht alles fertig gelernt und war nicht vorbereitet.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114
"MR06WL","IN",2023-07-26 20:33:46,1,1,1,"In dem ersten gab es eine Schießerei.",1,5,1,4,"5",1,4,5,21,5,1,4,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"MR06WL","IN",2023-07-26 20:33:46,1,1,2,"Der Amokläufer war ein Freund von mir, und er fing an, den Fahrer des Autos, in dem wir saßen, zu töten,",1,231,1,1,"3",1,4,3,21,231,1,1,3,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"MR06WL","IN",2023-07-26 20:33:46,1,1,3,"und fuhr dann fort, weitere Menschen zu töten, an die ich mich nicht mehr erinnere, wer sie waren.",1,231,1,1,"5",2,4,3,21,231,1,1,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
