"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"MR09RB","LN","2023-10-22 16:09:58",1,1,0,"Ich hab heute Nacht bei einem Freund geschlafen und genau davon habe ich auch geträumt. In meinem Traum sind wir so aufgewacht wie wir in echt eingeschlafen waren . In seinem Zimmer er links ich rechts im Bett . In meinem Traum sah auch Zimmer etc exakt gleich aus .",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50
"MR09RB","LN","2023-10-22 16:09:58",1,1,1,"Als wir wach wurden haben wir ein bisschen geredet und haben uns auf etwas gefreut(was genau weiss ich nicht mehr) . Es war etwas neues was wir ausprobieren wollten.",1,"1",1,NA,"231","1",1,5,31,1,1,2,231,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"MR09RB","LN","2023-10-22 16:09:58",1,1,2,"Und dann ging der morgen wie gewohnt weiter wir haben darüber geredet im Bett gelegen gekuschelt es hat sich auch sehr real angefühlt.",1,"1",1,NA,"231","1",1,5,11,1,1,2,231,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"MR09RB","LN","2023-10-22 16:09:58",1,1,999,"Aber dann bin ich aufgewacht und war verwirrt. Ich musste kurz überlegen ob das wirklich passiert ist oder nicht aber wir hatten noch sehr früh und er hat tief und fest geschlafen dann habe ich gemerkt es war ein Traum . Dann war ich ein wenig traurig , da er noch am schlafen war und wir uns auf nichts gefreut haben wie ich es geträumt hatte . Alles in allem hab ich aber eher unruhig und wenig geschlafen .",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79
"MR09RB","LN","2023-10-23 18:24:42",1,1,0,"Ich habe geträumt, dass ich mit meiner besten Freundin und ihrer Mutter mach Berlin gefahren bin .",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"MR09RB","LN","2023-10-23 18:24:42",1,1,1,"Erstmal haben wir meine Sachen gepackt …",1,"1",1,NA,"231, 232","1",2,4,4,1,1,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"MR09RB","LN","2023-10-23 18:24:42",1,1,2,"… und dann bin ich auf die Idee bekommen einem Typen zu schreiben den ich vor 2 Jahren mal gut fand . Haben seid dem aber kein Kontakt mehr .",1,"1",1,NA,"232","1",1,3,4,1,1,2,232,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
"MR09RB","LN","2023-10-23 18:24:42",1,1,3,"Dann hat Er auch geantwortet …",1,"232",1,1,"1","1",NA,3,4,232,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"MR09RB","LN","2023-10-23 18:24:42",1,1,4,"… und bevor wir gefahren sind bin ich in die Stadt gegangen um mich mit ihm zu treffen. Der Ort ist mir aber unbekannt. In echt war ich da noch nie .",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
"MR09RB","LN","2023-10-23 18:24:42",1,1,5,"Wir haben uns untrhalten und er hat mit erzählt das er wieder Singel ist. Das Gespräch ging nicht soo lange, da wir los nach Berlin mussten.",1,"1",1,NA,"232","1",1,5,31,1,1,2,232,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
