"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"RG08MR","LL","2023-08-30 14:02:17",1,1,0,"Ich sitze auf der Couch in der Wohnung meiner Partnerin. Es ist hell draußen und ich fühle mich wohl. Es fühlt sich so an als würde ich bei ihr schon lange wohnen, auch wenn es in Wirklichkeit nicht so ist.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
"RG08MR","LL","2023-08-30 14:02:17",1,1,1,"Als ich den Fernseher im Wohnzimmer anschalte …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"RG08MR","LL","2023-08-30 14:02:17",1,1,2,"… fängt auf einmal aus einem anderen Zimmer ihrer Wohnung ein Baby an zu schreien.",1,"5","1","4","1","1",NA,1,NA,5,1,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"RG08MR","LL","2023-08-30 14:02:17",1,1,3,"In der Realität haben wir keine Kinder, aber im Traum fühlt es sich normal an, dass ich aufstehe um nach dem Baby im anderen Zimmer zu sehen.",1,"5","1","4","1","1",NA,3,14,5,1,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"RG08MR","LL","2023-08-30 14:02:17",1,2,1,"Als ich vom Wohnzimmer in den Flur komme erkenne ich ihre Wohnung nicht mehr wieder, da sie dort anders aussieht als in Wirklichkeit.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"RG08MR","LL","2023-08-30 14:02:17",1,2,2,"Ich irre gefühlt eine Ewigkeit umher und suche aufgewühlt nach dem Baby.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"RG08MR","LL","2023-08-30 14:02:17",1,3,1,"Nach (gefühlt) Stunden rufe ich eine. Freund an, ob er mich abholen kann. Mit dem Auto, aus der Wohnung meiner Partnerin.",1,"1","1",NA,"231","1","1",3,16,1,1,1,231,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"RG08MR","LL","2023-08-30 14:02:17",1,3,2,"Er stimmt zu und auf einmal sitze ich im Auto meines Freundes. Während wir jetzt auf Straßen fahren, fühle ich mich erleichtert, dass er mir hilft das Geschrei zu finden.",1,"1","1",NA,"231","1","1",4,14,1,1,1,231,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
"RG08MR","LL","2023-08-30 14:02:17",1,3,3,"Ich Lotse ihn so als ob ich wüsste wohin und sage dabei Sachen wie  am Waschbecken links , obwohl wir auf der Straße fahren.",1,"1","1",NA,"231","1","1",3,14,1,1,1,231,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"RG08MR","LL","2023-08-30 14:02:17",1,3,4,"Er redet währenddessen üner Tattoos. Also ergibt das Gespräch keinen Sinn, was ich auch im Traum merke, …",1,"231","1","1","1","1",NA,3,4,231,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"RG08MR","LL","2023-08-30 14:02:17",1,3,5,"… mich daraufhin umdrehe um zu sehen ob das Baby auf dem Rücksitz ist und mich erschrecke als ich es dort nicht sehe.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"RG08MR","LL","2023-08-30 14:02:17",1,4,1,"Auf einmal bekommt mich ein ungutes Gefühl und ich stehe im Wohnzimmer der Wohnung meiner Partnerin, die unser Baby auf dem Schoß sitzen hat (es ist das Baby eines anderen Freundes in der Realität).",1,"22, 213","1, 1","2, 4","1","1",NA,1,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
"RG08MR","LL","2023-08-30 14:02:17",1,4,2,"Auf dem Boden vor dem Fernseher sitzen ihre Mutter und Schwester und schauen mich vorwurfsvoll an.",1,"214","2","2","1","1",NA,3,2,214,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"RG08MR","LL","2023-08-30 14:02:17",1,4,3,"Meine Freundin schaut zu mir auf, säufzt und sagt  Ich glaube es ist besser wenn wir Schluss machen.  In diesem Moment überkommt mich eine solche innere Unruhe und Angst, dass ich von ihr aufwache.",1,"22","1","2","1","1",NA,3,32,22,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
"RG08MR","LL","2023-08-31 09:12:24",1,1,1,"Diese Nacht hatte ich einen Sextraum, daher würde ich nicht zu sehr ins Detail gehen. Ich war in der Wohnung meiner Partnerin, es war Nacht ich lag neben ihr im Bett und initiierte das Vorspiel.",1,"1","1",NA,"22","1","2",3,13,1,1,1,22,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
"RG08MR","LL","2023-08-31 09:12:24",1,1,2,"Nach etwas hin und her gingen wir dann zum Sex über. Der Traum fühlte sich gut und natürlich an, als wäre es die Realität.",1,"1","1",NA,"22","1","2",4,13,1,1,1,22,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"RG08MR","LL","2023-09-02 03:49:33",1,1,0,"Diese Nacht hatte ich eine komische Mischung aus Wachtraum und Realität. Ich habe immer wieder zwischendurch geträumt (während ich zwischendurch locker 5 mal kurz wach war) …",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"RG08MR","LL","2023-09-02 03:49:33",1,1,1,"… wie ich im Bett neben meiner Parterin liege, sie schläft, und ich habe miterlebt wie z.B eine der Katzen in das Schlafzimmer kam.",1,"22","1","2","1","1",NA,1,NA,22,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"RG08MR","LL","2023-09-02 03:49:33",1,1,2,"Dann würde ich kurz wach und die Katze war im Schlafzimmer.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"RG08MR","LL","2023-09-02 03:49:33",1,1,3,"Als ich wieder eingeschlafen war, legte ich mich im Traum andersherum hin und meine Partnerinbauch…",1,"22","1","2","1","1",NA,1,NA,22,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"RG08MR","LL","2023-09-02 03:49:33",1,1,999,"…  und als ich wach wurde lag sie auch genauso anders. Daher war der Traum heute Nacht wieder positiv noch negativ konnotiert, sondern hatte mich die Nacht über eher verwirrt, so dass ich mich manchmal im Traum und auch in der Realität gefragt habe ob ich nun schlafe oder nicht.    Es hatte teilweise etwas von einem Luziden Traum, aber nicht ganz, da es eher, wie gesagt, verwirrend war ob ich schlafe oder nicht und nicht, dass ich mir bewusst bin, dass ich schlafe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83
"RG08MR","LL","2023-09-04 10:49:58",1,1,1,"Im ersten Teil meines Traums war ich bei Sonnenschein mittags mit einer Freundin spazieren. (Die Freundin habe ich in der Realität länger nicht mehr gesehen, aber letztens habe ich sie auf einem Konzert wiedergetroffen) Wie sind eine Straße lang gelaufen, welche in der Nähe meines Zuhauses liegt. Sie war unnatürlich lang, als würde sie kein Ende nehmen und ewig weiter geradeaus gehen. Wir unterhielten uns über frühere Zeiten wie wir Party gemacht haben, über ihren toten Opa geredet haben und was sonst so bei ihr passiert ist (war größtenteils Nonsens wie Fliegen in der Atlantis, etc.)",1,"1","1",NA,"231","1","2",4,4,1,1,1,231,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,96
"RG08MR","LL","2023-09-04 10:49:58",1,1,2,"Irgendwann wies sie mich darauf hin, dass ich 10 Kilo zugenommen hätte seit dem letzten Mal als wir uns gesehen haben und ich wieder abnehmen sollte.",1,"231","1","2","1","1",NA,3,4,231,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
