"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"RZ12JN","LN","2023-07-15 18:36:42",1,1,1,"Ich weiß von meinem Traum noch dass ich mich zwischen zwei Sachen entscheiden musste, grundlegend waren sie beide positiv und geben mir ein gutes Gefühl, ich weis nicht mehr genau worum es ging …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
"RZ12JN","LN","2023-07-15 18:36:42",1,1,2,"… aber die Sachen wurden zu Situationen zwischen denen ich Stand. Ich erinnere mich an viele bunte Farben im Traum und Personen die ich kenne aber jetzt nicht mehr zuordnen kann wer das ist.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
"RZ12JN","LN","2023-07-18 06:22:05",1,1,0,"Der Ablauf in meinem Traum war etwas ohne richtige Reihenfolge, zumindest dass sie für mich ergeben würde so wie ich mich daran erinnere.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"RZ12JN","LN","2023-07-18 06:22:05",1,1,1,"Meine Schwester war da, sie machte mich darauf aufmerksam dass meine sich laden Zahnbürste kokelt, jedoch war hier kein Rauch zu sehen sondern es sprudelte auf ihr Zahnpasta.",1,"212","1","2","1","1",NA,3,4,212,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
"RZ12JN","LN","2023-07-18 06:22:05",1,1,2,"Ich nahm die Bürste und sagte dass es nicht sein kann, weil die nicht kaputt gehen kann.",1,"1","1",NA,"212","1","2",3,4,1,1,2,212,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"RZ12JN","LN","2023-07-18 06:22:05",2,1,1,"Ich war in einer Wahl des Kurses der eine Prüfung war, ich wollte dass es so ist wie es ist und dann wurde es geändert. Aber für mich war es trotzdem so gut als wäre es nicht geändert worden.",1,"5","3","4","1","1",NA,5,4,5,3,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
"RZ12JN","LN","2023-07-18 06:22:05",2,1,999,"Hier wäre weitere Personen die ich im Traum kannte aber nicht weis wer sie sind.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"RZ12JN","LN","2023-07-18 06:22:05",2,2,1,"Ich bekomme eine Knirschiene und sitze beim Zahnarzt.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"RZ12JN","LN","2023-07-18 06:22:05",2,3,1,"Der Kurs muss gewählt werden, doch es ändert sich ständig.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"RZ12JN","LN","2023-07-20 06:25:37",1,1,1,"Es hatte irgendetwas mit der Uni / Schule zu tun. Ich sollte etwas in einem System abtragen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"RZ12JN","LN","2023-07-20 06:25:37",1,1,2,"Ich habe ein Motorrad wahrgenommen mit Brumm Geräuschen. Sies habe ich auch in das System abgetragen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"RZ12JN","LN","2023-07-20 06:25:37",1,1,3,"Meine Schwester und ein paar mir bekannte Personen waren im meinem Traum.",1,"212, 232","1, 2","2, 4","1","1",NA,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"RZ12JN","LN","2023-07-20 06:25:37",1,1,999,"Der Traum wirkt im Nachhinein etwas stressig auf mich, aber das Gefühl (beim Aufwachen) war positiv. Die Umgebung kam mir nicht bekannt vor.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"RZ12JN","LN","2023-07-21 06:10:38",1,1,1,"es war eine kirchliche Feier / Hochzeit meiner Oma, …",1,"214, 4","1, 2","2, 4","1","1",NA,1,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"RZ12JN","LN","2023-07-21 06:10:38",1,2,1,"… die zu einer Party wurde und dann nun nicht mehr in der Kirche war. Dort waren sehr viele meiner engsten Familienmitglieder meine Cousine, meine Schwester, mein Cousin, meine Mama, meine Tanten und Onkel und weitere Familienmitglieder. Die Feier hatte einem DJ der zunächst mit am Esstisch saß ...",1,"21","2","4","1","1",NA,1,NA,21,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
"RZ12JN","LN","2023-07-21 06:10:38",1,2,2,"… und in dem Moment als ich mich wunderte wieso die Musik ao schlecht ist und er nicht am Pult steht ist er dann folgend dahin Gegengen.",1,"3","1","1","1","1",NA,1,NA,3,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"RZ12JN","LN","2023-07-21 06:10:38",1,3,1,"Die Party wandelte sich und die Person die im Mittelpunkt der Party war war meine Cousine K. die dass Heiratete oder ähnliches?",1,"21","2","4","1","1",NA,1,NA,21,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"RZ12JN","LN","2023-07-21 06:10:38",1,4,1,"Dann kommen in den Raum Personen (2) die ich nicht kannte und sollten akrobatisch Tanzen …",1,"4","2","1","1","1",NA,1,NA,4,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"RZ12JN","LN","2023-07-21 06:10:38",1,4,2,"… was aber sehr schlecht aussah und nicht wirklich gelungen war.",1,"4","2","1","1","1",NA,1,NA,4,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"RZ12JN","LN","2023-07-21 06:10:38",1,5,1,"Es wurden in dem Raum Türen aufgestellt.",1,"5","3","4","1","1",NA,1,NA,5,3,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"RZ12JN","LN","2023-07-21 06:10:38",1,5,2,"Es kamen weitere Personen dazu die eine Show mit den Türen glaube ich veranstalten sollten",1,"4","2","1","1","1",NA,1,NA,4,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"RZ12JN","LN","2023-07-21 06:10:38",1,5,999,"Ich stand iwie mittendrin und beobachtete alles aus meiner Perspektive.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"RZ12JN","LN","2023-07-22 16:24:15",1,1,1,"ich hatte mich mit einer Schwester und Cusine im Hinterhof meiner ehemaligen Wohnung unterhalten. Es ging um den Balkon in der aktuellen Wohnung.",1,"1","1",NA,"212, 214","1","2",5,4,1,1,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"RZ12JN","LN","2023-07-22 16:24:15",1,1,2,"Die Vermieterin meinte man muss alles ansprechen, damit es gemacht wird.",1,"232","1","2","1","1",NA,3,4,232,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"RZ12JN","LN","2023-07-22 16:24:15",1,1,3,"Dort war meine Ehemalige Arbeitskollegin mit der ich im keinem hinten Verhältnis bin.",1,"232","1","2","1","1",NA,1,NA,232,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"RZ12JN","LN","2023-07-22 16:24:15",1,1,4,"Sie verwandelte ich zu meiner ehemaligen Klassenkameradin die ich nicht mag.",1,"232","1","2","1","1",NA,2,32,232,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"RZ12JN","LN","2023-07-22 16:24:15",1,1,5,"Ich verletzte ihre Nase mit einem Andy so dass die zu bluten Begann.",1,"1","1",NA,"232","1","2",3,21,1,1,2,232,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
