"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"SE01DT","LN","2023-10-21 08:10:43",1,1,1,"Ich war arbeiten (habe einen Nebenjob während der Uni) und es war sehr anstrengend, …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"SE01DT","LN","2023-10-21 08:10:43",1,1,2,"… dann bin ich während der Arbeit  eingeschlafen  …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"SE01DT","LN","2023-10-21 08:10:43",1,2,1,"… und in meinem alten Zimmer wieder aufgewacht (bei meinen Eltern, wohne seit 2 Jahren alleine). Mein Vater war da und hatte sich um meine Arbeit gekümmert.",1,211,1,2,"1",1,NA,3,14,211,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"SE01DT","LN","2023-10-21 08:10:43",1,2,999,"Dann bin ich aufgewacht. Der Traum war erst negativ (habe mich angestrengt, genervt gefühlt) und dann am Ende eher positiv, da ich mich wohl gefühlt habe. Ich denke, der Traum könnte damit zusammen hängen, dass ich heute morgen arbeiten bin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
"SE01DT","LN","2023-10-22 09:04:03",1,1,1,"Ich hatte Klavierunterricht bei einer mir unbekannten Person zusammen mit einem Kommilitonen, den ich noch nicht so lange kenne. Ans setting kann ich mich nicht mehr erinnern. Der Kommilitone war zwar besser als ich, also hat schneller gelernt, das war für mich aber nicht mit negativen Emotionen verknüpft. Es hat mir Spaß gemacht, Klavier zu spielen bzw es zu versuchen (ich habe früher lange Klavier gespielt aber seit 5/6 Jahren nicht mehr).",1,4,1,1,"1, 232",1,1,3,4,4,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72
"SE01DT","LN","2023-10-22 09:04:03",2,1,1,"Dann hat sich das setting geändert und ich war in einem Hörsaal mit 2 Kommilitonen, die ich schon länger kenne, die mir erzählt haben, dass ich eine Veranstaltung verpasst habe (keine Vorlesung sondern mehr eine Art Feier) und was dort passiert ist. Das war für mich aber auch nicht mit negativen Emotionen verbunden. Insgesamt hat sich der Traum sehr neutral angefühlt.",1,1,1,NA,"232",2,1,5,4,1,1,1,232,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
"SE01DT","LN","2023-10-25 07:30:32",1,1,0,"Ich hatte diese Nacht nur kurze, zusammenhangslose Traumfetzen.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"SE01DT","LN","2023-10-25 07:30:32",1,1,1,"Ich kann mich erinnern, wie ich im Fitnessstudio war.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"SE01DT","LN","2023-10-25 07:30:32",2,1,1,"Dann war ich mit meiner Exfreundin in einem mir unbekannten Haus, im Traum war ich mir jedoch sicher, das schonmal erlebt zu haben.",1,1,1,NA,"22X",1,2,4,4,1,1,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"SE01DT","LN","2023-10-25 07:30:32",3,1,1,"Dann war ich noch in einer Art Fantasy-Geschichte, allerdings nur als Beobachter und war nicht selbst beteiligt.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"SE01DT","LN","2023-10-25 07:30:32",4,1,1,"Zwischendurch dachte ich auch einmal, dass ich aufgewacht wäre, konnte mich aber nicht bewegen, wodurch ich gemerkt hab, dass ich doch noch schlafe.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"SE01DT","LN","2023-10-26 07:48:34",1,1,1,"Ich war erst in einem Fitnessstudio (es waren auch andere Leute da, aber ich habe nicht mit ihnen interagiert).",1,5,3,4,"1",1,NA,1,NA,5,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"SE01DT","LN","2023-10-26 07:48:34",1,2,1,"Dann hat sich das setting geändert und ich war mit meinem besten Freund in einem Lego-Store.",1,1,1,NA,"231",1,1,4,4,1,1,1,231,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"SE01DT","LN","2023-10-26 07:48:34",1,2,2,"Wir haben uns zusammen ein paar Sachen angeschaut, …",1,1,1,NA,"231",1,1,4,4,1,1,1,231,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"SE01DT","LN","2023-10-26 07:48:34",1,2,3,"… ich bin dann aber nach kurzer Zeit gegangen …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"SE01DT","LN","2023-10-26 07:48:34",1,3,1,"… und war dann wieder in diesem Fitnessstudio. Dort habe ich dann auf einmal an einer Art Wettbewerb teilgenommen (aus Versehen sozusagen) …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"SE01DT","LN","2023-10-26 07:48:34",1,3,2,"… und gewonnen. Dadurch waren dann einige Kinder um mich herum, die mich angefeuert haben.",1,4,2,1,"1",1,NA,3,12,4,2,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"SE01DT","LN","2023-10-26 07:48:34",1,4,1,"Ich bin dann wieder zurück in den Store gegangen, weil ich mich wieder mit meinem Freund treffen wollte, …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"SE01DT","LN","2023-10-26 07:48:34",1,4,2,"… der war dann allerdings weg.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"SE01DT","LN","2023-10-26 07:48:34",1,4,3,"Ich habe ihn dann angerufen und ihn gefragt wo er ist, und er meinte, dass er schon gegangen wäre, weil ich ja scheinbar besseres zu tun habe. Ich habe dann noch kurz mit ihm diskutiert und versucht ihn zu überzeugen, wiederzukommen, …",1,1,1,NA,"231",1,1,5,4,1,1,1,231,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"SE01DT","LN","2023-10-26 07:48:34",1,4,999,"… dann bin ich aufgewacht.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"SE01DT","LN","2023-10-28 09:01:00",1,1,1,"Ich war mit einem Kommilitonen in einem unbekannten futuristischen Gebäude. Ich kann mich allerdings nicht an den Zweck, Kontext o.ä. erinnern. Ich habe nur die Bilder noch vor Augen. Dort waren sehr viele andere Leute, wovon ich viele zumindest vom Sehen her auch kannte. Ich glaube ich war dort, um zu lernen.",1,1,1,NA,"232",1,1,4,4,1,1,1,232,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52
"SE01DT","LN","2023-10-28 09:01:00",1,2,1,"Das setting hat sich dann geändert und ich war in einem fiktiven Spielwaren/Bücherladen und ich wollte mir etwas kaufen, konnte mich aber nicht entscheiden. Im Traum habe ich gedacht  Als Kind wusste ich immer genau was ich haben will, aber hatte kein Geld um es mir zu kaufen, jetzt habe ich das Geld und weiß nicht, was ich will . Gleichzeitig war ich unter Zeitdruck, weil meine Mutter auf mich gewartet hat, ich glaube weil ich sie besuchen wollte, ...",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80
"SE01DT","LN","2023-10-28 09:01:00",1,2,2,"… ich bin aber trotzdem in dem Laden geblieben und durch die Gänge gelaufen auf der Suche nach etwas, was ich haben möchte.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"SE01DT","LN","2023-10-28 09:01:00",1,2,999,"Dann bin ich aufgewacht (vom Wecker)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"SE01DT","LN","2023-10-29 15:30:58",1,1,1,"Ich war auf einer Art Baustelle mit mehreren mir unbekannten Personen. Wir haben glaube ich eine Art Wasserversorgung o.ä. gebaut.",1,1,1,NA,"4",2,4,4,4,1,1,1,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
