"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"SE06HL","IN","2023-07-19 05:01:38",1,1,0,"Mein Traum spielte teilweise in der Universität, wo ich eine Klausur ablegen sollte.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"SE06HL","IN","2023-07-19 05:01:38",1,1,1,"Ich erinnere mich daran, dass ich mit einer Freundin danach zur Bahn lief und versuchte, diese zu erwischen. Auf mein Anraten hin liefen wir eine Station weiter als nötig, um eine Bahn zu erwischen, die wir sonst verpasst hätten.",1,1,1,NA,"231","1",2,4,4,1,1,1,231,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
"SE06HL","IN","2023-07-19 05:01:38",1,1,2,"Ich erinnere mich, wie ich mit meinem schweren Rucksack eine Straße rauf rannte und dennoch sehr langsam war.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"SE06HL","IN","2023-07-19 05:01:38",1,1,3,"Dies führte dazu, dass wir die Bahn verpassten …",1,1,1,NA,"231","1",2,4,4,1,1,1,231,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"SE06HL","IN","2023-07-19 05:01:38",1,1,4,"… und dann die Bahn nahmen, die wir ansonsten an der ersten Station genommen hätten.",1,1,1,NA,"231","1",2,4,4,1,1,1,231,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"SE06HL","IN","2023-07-19 05:01:38",2,1,1,"Zudem erinnere ich mich daran, dass ein Teammeeting meines Lehrstuhls, an welchem ich arbeite, stattfand auf welchem verkündet wurde, dassbeine Veranstaltung für die Protestanten stattfinden sollte.",1,5,3,4,"1.232","1.2",4,3,4,5,3,4,1,1,1,NA,NA,NA,232,2,4,NA,NA,NA,NA,NA,NA,NA,26
"SE06HL","IN","2023-07-19 05:01:38",3,1,1,"Abseits davon erinnere ich mich an Bruchstücke einer anderen Storyline. Ohne mich genau zu erinnern, worum es ging, war das gesamte Setting weniger real sondern eher fiktiv.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"SE06HL","IN","2023-07-19 05:01:38",3,1,2,"Es ging um einen Herrscher, der sein Reich verteidigte.",1,3,1,1,"1","1",NA,1,NA,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"SE06HL","IN","2023-07-19 05:01:38",3,1,3,"Außerdem war es wie bei einem Computerspiel möglich das Wetter vor dem Fenster zu ändern.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"SE06HL","IN","2023-07-19 05:01:38",4,1,1,"In einer anderen Szene, die aber in Verbindung zu der vorangegangenen stand, war ich in einer großen Drogerie. Aus irgendeinem Grund war ich gezwungen unter Druck und bei größter Geheimhaltung ein Parfüm zu kaufen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
