"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"SE07UF","LN","2023-10-31 08:43:50",1,1,1,"In meinem Traum habe ich quasi die gleiche Situation wieder erlebt, die ich abends erlebt habe. Mein Partner und ich haben uns Abendessen gekocht.",1,"1",NA,NA,22,1,1,4,4,1,NA,2,22,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"SE07UF","LN","2023-11-01 09:08:52",1,1,1,"Ich habe in einem fremden Haus ein Kind gebabysittet, was ganz schlimm war. Das Kind durfte scheinbar alles und hat meine ganzen Sachen (Tasche und so) kaputt gemacht.",1,"1",1,NA,4,1,1,5,32,1,1,2,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
"SE07UF","LN","2023-11-01 09:08:52",2,1,1,"Im nächsten Traum waren meine Arbeitskolleginnen zum Frühstück bei mir. Sie haben sich aber selber eingeladen und ich habe noch geschlafen. Als ich aufgestanden bin, saßen sie bei mir im Wohnzimmer und waren sauer auf mich und haben mir gesagt, dass das berufliche Konsequenzen haben wird.",1,"232",2,2,1,1,NA,3,22,232,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46
"SE07UF","LN","2023-11-03 08:34:07",1,1,0,"Ich habe wieder etwas geträumt, was ich selber letzte Woche erlebt habe. Ich bin letzte Woche aus unserer gemeinsamen Wohnung in ein gemeinsames Haus mit meinem Freund gezogen.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
"SE07UF","LN","2023-11-03 08:34:07",1,1,1,"In meinem Traum ist eine Freundin von mir in ein Haus gezogen und ich hatte keine Lust ihr zu helfen, weil sie mir auch nicht geholfen hat.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"SE07UF","LN","2023-11-03 08:34:07",1,2,1,"Im Endeffekt war der Umzug eher ein gemütliches quatschen und zusammen sitzen statt ein schleppen.",1,"1",1,NA,231,1,2,5,4,1,1,2,231,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"SE07UF","LN","2023-11-04 08:44:41",1,1,1,"Ich war ganz alleine am Flughafen und musste einen Flug bekommen. Ich habe mich total am Flughafen verlaufen, keiner hat deutsch gesprochen …",1,"1",1,NA,5,3,4,5,32,1,1,2,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23
"SE07UF","LN","2023-11-04 08:44:41",1,1,2,"… und eine Freundin, die ich dort getroffen habe, hat mich nicht erkannt.",1,"231",1,2,1,1,NA,3,26,231,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"SE07UF","LN","2023-11-04 08:44:41",1,2,1,"Ich habe dann meinen Flug verpasst und bin nicht nach Hause gekommen …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"SE07UF","LN","2023-11-04 08:44:41",1,3,1,"… und dadurch, dass ich dort so rumgeirrt bin, hat das Sicherheitspersonal mich für eine Gefahr gehalten und mich festgehalten",1,"3",2,4,1,1,NA,3,23,3,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"SE07UF","LN","2023-11-05 10:22:52",1,1,1,"Mein Freund und ich haben uns nach 6 Jahren Beziehung getrennt …",1,"1",1,NA,22,1,1,5,26,1,1,2,22,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"SE07UF","LN","2023-11-05 10:22:52",1,2,1,"… und er hat sich direkt mit einer anderen getroffen",1,"22X",1,1,1,1,NA,1,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"SE07UF","LN","2023-11-08 08:49:42",1,1,1,"Ich war mit meinem Partner im Sommerhaus der Stars. Dort saßen wir mit den anderen Kandidaten im Garten.",1,"1, 22",1,1,4,2,4,4,4,NA,1,1,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"SE07UF","LN","2023-11-08 08:49:42",1,1,2,"Ein Paar hat sich mit einem anderen Paar gestritten, wir waren aber nicht involviert.",1,"4",2,4,4,2,4,5,22,4,2,4,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"SE07UF","LN","2023-11-09 08:59:38",1,1,0,"Ich bin aktuell krank und wenn ich krank bin, baue ich sämtliche Geräusche um mich herum in meine Träume ein. Ich habe schon sehr früh geschlafen und mein Partner hat noch Fernsehen geguckt und alles was dort gesagt wurde, hat sich in meinen Träumen widergespiegelt.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45
"SE07UF","LN","2023-11-10 08:30:46",1,1,1,"Ich habe von meinem verstorbenen Hund geträumt, wie wir gemeinsam bei meinen Eltern sitzen und zusammen spielen.",1,"1",1,NA,211,2,3,4,4,1,1,2,211,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"SE07UF","LN","2023-11-10 08:30:46",1,1,999,"Außerdem bin ich mehrfach in der Nacht aufgewacht, weil ich dachte, dass ich etwas im Haus hören würde.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"SE07UF","LN","2023-11-11 11:03:35",1,1,0,"Ich habe wieder geträumt, dass ich im Sommerhaus war.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"SE07UF","LN","2023-11-11 11:03:35",1,1,1,"Wir mussten in ein anderes Sommerhaus umziehen und da eine Challenge absolvieren.",1,"1",1,NA,5,3,4,4,4,1,1,2,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"SE07UF","LN","2023-11-11 11:03:35",1,2,1,"In dem neuen Haus wurden wir dann allerdings von Hunden angegriffen, …",1,"1",1,NA,5,3,4,4,4,1,1,2,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"SE07UF","LN","2023-11-11 11:03:35",1,2,2,"… weshalb wir dort schnell wieder weg mussten.",1,"1",1,NA,5,3,4,4,4,1,1,2,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"SE07UF","LN","2023-11-12 10:00:12",1,1,0,"Ich hatte früher Freundinnen die mir nichts gutes wollten. In meinem Traum war ich wieder in der Schule und genau mit diesen Freundinnen wieder befreundet.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"SE07UF","LN","2023-11-12 10:00:12",1,1,1,"Sie haben direkt wieder angefangen schlecht über mich zu reden usw.",1,"231",2,3,1,1,NA,3,22,231,2,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"SE07UF","LN","2023-11-12 10:00:12",1,1,2,"Als ich sie darauf angesprochen habe, haben sie sich raus geredet.",1,"1",1,NA,231,2,3,5,4,1,1,2,231,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"SE07UF","LN","2023-11-13 09:14:43",1,1,0,"Ich habe geträumt, dass ich im Urlaub auf Gran Canaria war …",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"SE07UF","LN","2023-11-13 09:14:43",1,1,1,"… und mich dort ein Dackel angegriffen hat. Niemand hat mir geholfen.",1,"5",3,4,1,1,NA,3,26,5,3,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"SE07UF","LN","2023-11-13 09:14:43",1,1,2,"Als der Dackel mir in die Hand gebissen hat, hatte er keine Zähne, sondern nur Zahnfleisch. Er ließ aber nicht mehr von meiner Hand los und ich hatte panische Angst vor ihm.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
