"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"SL03HL","LN","2023-11-13 10:31:53",1,1,0,"Leider sind meine Erinnerungen an meine Träume heute Nacht nicht sehr gut.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"SL03HL","LN","2023-11-13 10:31:53",1,1,1,"Von 23 Uhr bis 1 Uhr:  Ich habe in einem kleinen Raum in einem Fitnessstudio mit der Kurzhantel trainiert. Das Fitnessstudio war zwar ein FitX, wo ich auch Mitglied bin, jedoch war mir dieses konkrete FitX unbekannt .",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
"SL03HL","LN","2023-11-13 10:31:53",2,1,1,"Von 1 Uhr bis 3:30 Uhr  Meine Erinnerung beginnt damit, dass ich in meinem Wohnzimmer auf der Couch liege. Das ist ein halbwegs großer Raum mit einer Seite als Fensterfront zum Garten hin. Hier steht eine Couch und an der Seite orthogonal hierzu steht ebenfalls eine Couch, sodass eine 'Couchecke' gebildet wird. Ich liege auf der Couch am Fenster und schaue auf mein Handy, da ich ein großes Event plane.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70
"SL03HL","LN","2023-11-15 07:17:13",1,1,1,"Meine Erinnerung beginnt mit einem kurzen Ausschnitt, in welchem meine Freundin und ich durch meine Siedlung spazieren …",1,"1","1",NA,22,1,2,4,4,1,1,1,22,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"SL03HL","LN","2023-11-15 07:17:13",1,1,2,"… und dort auf einmal einen Anhänger vom Formel1 Team  Haas  sehen, da an diesem Tag ein Formel 1 Rennen in meinem Heimatdorf ist. Beim Anblick des Anhängers habe ich mich sehr gefreut.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
"SL03HL","LN","2023-11-15 07:17:13",2,1,1,"Anschließend erinnere ich mich daran, in meinem Auto zu sitzen und mich auf der Spielstraße direkt vor meiner Haustür zu befinden.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"SL03HL","LN","2023-11-15 07:17:13",2,1,2,"Es gab eine Interaktion mit meinem Nachbarn, allerdings kann ich mich nicht genauer erinnern.",1,"1","1",NA,232,1,1,5,4,1,1,1,232,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"SL03HL","LN","2023-11-15 07:17:13",3,1,0,"Meine nächste Erinnerung beginnt damit, dass es Weihnachten ist und ich zusammen mit einigen Freunden bei meinem besten Freund ( S ) und seiner Familie, Weihnachten Feier. Auch meine Freundin ist mit dabei.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
"SL03HL","LN","2023-11-15 07:17:13",3,1,1,"Zunächst sitze aber nur ich mit S an seinem Wohnzimmertisch, …",1,"1","1",NA,231,1,1,4,4,1,1,1,231,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"SL03HL","LN","2023-11-15 07:17:13",3,1,2,"… während seine Familie umherwuselt, um das Fest vorzubereiten. Der Tisch wird gedeckt, es wird gekocht und geschmückt.",1,"232","2",4,1,1,NA,1,NA,232,2,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
