"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"SL03TO","LN","2023-07-17 19:05:23",1,1,1,"Ich habe heute Nacht davon geträumt, dass ich die Klausur die heute geschrieben wurde, verschlafen hätte und erst nach Beginn aufgewacht bin.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"SL03TO","LN","2023-07-17 19:05:23",1,1,2,"Ich bin dann schnell, noch im Schlafanzug nach draußen gerannt …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"SL03TO","LN","2023-07-17 19:05:23",1,1,3,"… und wollte mit einem Auto, es war nicht meins, ich weiß aber nicht mehr wem es gehört hat, zur Uni fahren.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"SL03TO","LN","2023-07-17 19:05:23",1,1,999,"In dem Traum war ich sehr verzweifelt und habe geweint, mich total geärgert, dass mich niemand geweckt hat.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"SL03TO","LN","2023-07-19 14:32:05",1,1,0,"Ich war mit verschiedenen Leuten auf einer Bus Reise.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"SL03TO","LN","2023-07-19 14:32:05",1,1,1,"Wir haben Pause an einer Raststätte gemacht. Da hab ich ein Mädchen aus meiner alten Stufe getroffen.",1,1,1,NA,"232",1,"2",3,4,1,1,2,232,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"SL03TO","LN","2023-07-19 14:32:05",1,1,2,"Wir sind in einen Tunnel gegangen …",1,1,1,NA,"232",1,"2",4,4,1,1,2,232,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"SL03TO","LN","2023-07-19 14:32:05",1,1,3,"… und ich wollte Amphetamin aus einem Dosierer ziehen. Als sie das gesehen hat, wollte sie das auch.",1,1,1,NA,"232",1,"2",1,NA,1,1,2,232,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"SL03TO","LN","2023-07-19 14:32:05",1,1,4,"Sie hat es aber nicht geschafft das Gerät zu benutzen, deshalb wollten wir auf Toilette gehen. Bis dahin war die Stimmung in meinem Traum noch amüsiert.",1,1,1,NA,"232",1,"2",4,4,1,1,2,232,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
"SL03TO","LN","2023-07-19 14:32:05",1,2,1,"Als wir uns auf dem Weg zu den Toiletten machen wollten kam ein junger Mann auf uns zu, der wohl ihr Freund war. Er wollte mit uns kommen.",1,4,1,1,"1, 232",1,"1, 2",3,4,4,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
"SL03TO","LN","2023-07-19 14:32:05",1,2,2,"Wir sind in einen langen Flur gegangen …",1,1,1,NA,"232, 4",1,"2, 1",4,4,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"SL03TO","LN","2023-07-19 14:32:05",1,2,3,"… und in eine Kabine. Die Wände waren nur ganz tief, sodass man in die Kabinen rein gucken konnte.",1,1,1,NA,"232, 4",1,"2, 1",4,4,1,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"SL03TO","LN","2023-07-19 14:32:05",1,2,4,"Ich habe dann auf meinem Handy etwas für sie fertig gemacht.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"SL03TO","LN","2023-07-19 14:32:05",1,2,5,"Das war sehr viel und der Junge wollte das Mädchen davon abhalten das alles zu konsumieren. Sie wollte sich aber nicht davon abhalten lassen.",1,4,1,1,"232",1,"2",3,14,4,1,1,232,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"SL03TO","LN","2023-07-19 14:32:05",1,2,6,"Weil der Junge so laut war, kam eine Frau in den Gang rein um nachzusehen was los ist. Ich bin dann sehr nervös geworden, wollte nicht, dass sie das sieht.",1,4,1,2,"1",1,NA,2,32,4,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30
"SL03TO","LN","2023-07-19 14:32:05",1,2,7,"Das Mädchen hat das dann einfach alles gezogen …",1,232,1,2,"1",1,NA,1,NA,232,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
