"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"SM06AD","LN","2023-11-16 05:58:54",1,1,1,"Mein Bruder macht abends Hausaufgaben im Wohnzimmer, während der Fernseher läuft.",1,"212","1",1,"1",1,NA,1,NA,212,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"SM06AD","LN","2023-11-16 05:58:54",1,1,2,"Unsere Großeltern machen sich über ihn lustig.",1,"214","2",3,"212",1,1,3,22,214,2,3,212,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"SM06AD","LN","2023-11-16 05:58:54",2,1,0,"Plötzlicher Ortswechsel in einen Flur (mir unbekannt). Beige Wand, braune Tür, relativ schmal, 2 Personen können gerade so nebeneinander stehen.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"SM06AD","LN","2023-11-16 05:58:54",2,1,1,"Dort schreit mich Oma an, weil sie Matheaufgaben anders löst als ich. Ich fühle mich zurückgewiesen und unfair behandelt.",1,"214","1",2,"1",1,NA,3,22,214,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"SM06AD","LN","2023-11-16 05:58:54",2,1,2,"Opa zeigt mir seine Matheaufzeichnungen aus seiner Schulzeit. Er ist im Gegensatz zu Oma nicht agressiv.",1,"214","1",1,"1",1,NA,3,4,214,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"SM06AD","LN","2023-11-16 05:58:54",2,2,1,"Verabschiedung von Großeltern mit Eltern, weil sie nach Hause gehen.",1,"1, 211","1, 2",3,"214",2,3,5,4,NA,NA,3,214,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"SM06AD","LN","2023-11-16 05:58:54",2,2,2,"Oma fragt noch warum ihre Narichten bei mir nicht ankommen. Ich ziehe mein Handy aus einem hellbraunen Papp-Bilderrahmen.",1,"214","1",2,"1",1,NA,3,4,214,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"SM06AD","LN","2023-11-16 05:58:54",3,1,1,"Ortswechsel nach draußen. Ich bin allein auf dem Weg zu meinen Großeltern.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"SM06AD","LN","2023-11-16 05:58:54",3,1,2,"Treffe Person an Wegrand. Er scheint auf einem schlammigen Feld zu leben. Präzise auf einer Matraze zwischen zwei dunkelbraunen Holzzäunen.",1,"1","1",NA,"4",1,1,3,4,1,1,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"SM06AD","LN","2023-11-16 05:58:54",3,1,3,"Ich helfe ihm einen Zaun etwas von der Matraze wegzuziehen.",1,"1","1",NA,"4",1,1,3,14,1,1,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"SM06AD","LN","2023-11-16 05:58:54",3,1,4,"Er sagt etwas wie  traust dich eh nicht . Erwiedere etwas.",1,"1","1",NA,"4",1,1,5,4,1,1,1,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"SM06AD","LN","2023-11-16 05:58:54",4,1,1,"Ortswechsel zum Boxring. Jener ist ein Viereck auf einer Runden Plattform. Alles hat einen metallisch-silbernen Farbton. Die Abtrennung des Ringes sind Gelb. Es gibt eine digitale Anzeige oben in der Mitte. Ich bin plötzlich ein Krokodil-Mensch-Hybrid, also ein Krokodil mit menschlicher Anatomie. Sehe alles ab hier alles aus 3rd-person-view. Ich bestreite Boxkampf gegen den Marvel Charakter Colossus, ...",1,"1","1",NA,"3",1,1,5,21,1,1,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58
"SM06AD","LN","2023-11-16 05:58:54",4,1,2,"… gewinne und irgendwo ist plötzlich Alan Walker.",1,"3","1",1,"1",1,NA,1,NA,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"SM06AD","LN","2023-11-16 05:58:54",4,2,1,"Gewinne mehrere Kämpfe, wo ich Gegner nicht wirklich erkenne, mehr in einer Abfolge von Best of Moments.",1,"1","1",NA,"3",1,1,5,4,1,1,1,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"SM06AD","LN","2023-11-16 05:58:54",4,3,1,"Gebe die Boxkarriere aber dierekt wieder auf.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"SM06AD","LN","2023-11-17 07:09:01",1,1,1,"Ich sitze im Bus, dierekt hinter der Fahrerkabine.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"SM06AD","LN","2023-11-17 07:09:01",1,1,2,"Ein Kontrolleur steigt ein und möchte die Text-Dateien auf meinem Handy sehen, um zu überprüfen, ob sie verfassungswiedrig sind.",1,"3","1",1,"1",1,NA,3,23,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"SM06AD","LN","2023-11-17 07:09:01",1,1,3,"Er findet meine Kurzgeschichte und meine Gedichte und lobt meinen Schreibstil, was mich glücklich macht.",1,"3","1",1,"1",1,NA,3,12,3,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
