"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"SN07SR","TJ",2023-07-20 03:46:25,1,1,0,"Also ich habe geträumt, dass ich mit meiner Cousine bei mir zu Hause war.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"SN07SR","TJ",2023-07-20 03:46:25,1,1,1,"Vom Zimmer meines Bruders konnte man draußen sehen, wie eine sehr laute Party mit richtig vielen Menschen stattfand.",1,5,2,4,"1","1",NA,1,4,5,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"SN07SR","TJ",2023-07-20 03:46:25,1,1,2,"Ich bat meine Cousine darum, das Fenster komplett zu öffnen, um ein Video von der coolen Stimmung machen zu können. Wir waren auch erst richtig gut drauf.",1,1,1,NA,"214","1","2",3,31,1,1,2,214,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"SN07SR","TJ",2023-07-20 03:46:25,1,2,1,"Dann als ich rein gehen wollte, sah ich wie ein paar Männer versuchten durch das Fenster in das Zimmer reinzukommen.",1,5,2,1,"1","1",NA,3,4,5,2,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"SN07SR","TJ",2023-07-20 03:46:25,1,2,2,"Meine Cousine versuchte alleine, das Fenster trotzdem zuzumachen. Schaute mich an & wollte Hilfe von mir. e.",1,214,1,2,"1","1",NA,3,16,214,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
"SN07SR","TJ",2023-07-20 03:46:25,1,2,3,"Ich lief aber rein ins Wohnzimmer, um meinen Hund zu rufen.",1,1,1,NA,"214","1","2",3,4,1,1,2,214,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"SN07SR","TJ",2023-07-20 03:46:25,1,2,4,"Der kam dann auch …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"SN07SR","TJ",2023-07-20 03:46:25,1,2,5,"… und schaffte es, die Männer zu verscheuchen. Fiel jedoch dabei aus dem Fenster (ca. 2,5m).",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"SN07SR","TJ",2023-07-20 03:46:25,1,3,1,"Draußen im Park saßen unsere Nachbarn (auch paar Hundebesitzer, die das mitbekamen & zu meinem Hund hin rannten).",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"SN07SR","TJ",2023-07-20 03:46:25,1,3,2,"Ich rannte ebenfalls dorthin und fing an zu weinen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
