"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"SS09MR","LN","2023-10-19 08:48:12",1,1,0,"Mein Traum handelte von einer Riesen Feier in einem Freibad aus unserer Umgebung. Es waren viele unbekannte Personen anwesend, aber auch viele mir bekannte Personen.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"SS09MR","LN","2023-10-19 08:48:12",1,1,1,"Meine Freunde (mit denen ich auch so immer feiern gehe) haben mich von meinem Hobby (Reitstall) abgeholt und mit zur Feier genommen.",1,"1","1",NA,"231",2,4,4,4,1,1,2,231,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"SS09MR","LN","2023-10-19 08:48:12",1,2,1,"Dort haben wir eine andere große Gruppe getroffen, die uns aus unserem letzten Urlaub bekannt war.",1,"1, 231","1, 2",4,"232",2,4,5,4,NA,NA,4,232,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"SS09MR","LN","2023-10-19 08:48:12",1,2,2,"Wir haben uns alles angeguckt …",1,"1","1",NA,"231, 232",2,4,4,4,1,1,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"SS09MR","LN","2023-10-19 08:48:12",1,3,1,"… und letztendlich kam es zu einer Art Wettbewerb zwischen unseren Gruppen, den alle lustig fanden. Was genau in diesem Wettbewerb passiert ist und was der Sinn war, weiß ich nicht mehr. Der Traum hat sich sehr kurz angefühlt.",1,"1","1",NA,"231, 232",2,4,5,31,1,1,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39
"SS09MR","LN","2023-10-21 22:04:52",1,1,1,"Ich habe geträumt, dass ich anstelle des Orientierungspraktikum in Psychologie ein Praktikum in der Pflege im Krankenhaus gemacht habe.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"SS09MR","LN","2023-10-21 22:04:52",1,1,999,"Während der Schulzeit habe ich tatsächlich schon ein Praktikum in der Krankenpflege in einem Krankenhaus gemacht. Die Umgebung im Traum war mir von da bekannt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"SS09MR","LN","2023-10-22 19:42:18",1,1,0,"Ich habe geträumt, dass ich im Urlaub war. In meinem Hotel gab es All-Iclusive und ich habe eine Woche lange Urlaub gemacht.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"SS09MR","LN","2023-10-22 19:42:18",1,1,1,"Es war sehr schönes Wetter und ich war hauptsächlich  im Meer Surfen …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"SS09MR","LN","2023-10-22 19:42:18",1,2,1,"… und am Abend zusammen am Strand feiern.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
