"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"TN10HL","LN","2023-07-19 06:24:47",1,1,0,"Ich sitze in einem Raum, der alle paar Minuten die Stimmung wechselt. Das Konzept dieses Ladens ist praktisch zu wechseln und alle Menschen machen mit.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"TN10HL","LN","2023-07-19 06:24:47",1,2,1,"Zum Beispiel ist der Raum in dem ich sitze für 2 Minuten eine Sauna, …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15
"TN10HL","LN","2023-07-19 06:24:47",1,3,1,"… dann ein Musikzimmer …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5
"TN10HL","LN","2023-07-19 06:24:47",1,4,1,"… und dann haben alle ""Freizeit"" und tanzen.",1,"5",3,"4","1","1",NA,4,4,5,3,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"TN10HL","LN","2023-07-19 06:24:47",1,1,1,"Meine Freunde waren eigentlich mit mir hier, sind aber alle gegangen. Ich fühle mich unwohl und sitze auf einer Art Tribüne, um auf die anderen Leute zu schauen. Ich bin die einzige Person auf der Tribüne.",1,"5",3,"4","1","1",NA,1,NA,5,3,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
"TN10HL","LN","2023-07-19 06:24:47",1,2,2,"Während der ""Sauna""-Phase rufe ich meinen Partner an und er erzählt mir, dass ein Freund von ihm plötzlich 6000€ Bargeld hatte und in einer Fernsehshow mitgemacht hat, bei der seine Kriminalität von anderen geschätzt wird. Dabei kam raus, dass er nur Gras geraucht hat und deshalb 18 Monate (oder 8 Jahre, bin mir nicht mehr sicher) ins Gefängnis muss.",1,"1",1,NA,"22","1","1",5,4,1,1,2,22,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59
"TN10HL","LN","2023-07-19 06:24:47",1,2,3,"Ich schaue auf mein Handy und sehe, dass eine ehemalige Freundin von mir in einer WhatsApp Gruppe gefragt hat, wo sie hinkommen soll. Jemand Fremdes antwortet darauf sowas wie ""Ihr bekommt echt nix auf die Reihe oder?""",1,"231",1,"2","4","1","4",5,4,231,1,2,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37
"TN10HL","LN","2023-07-20 05:31:21",1,1,1,"Ich kann mich nur an einen ganz kleinen Teil erinnern. Ich habe auf Eventim nach neuen Veranstaltungen geschaut und mit meiner Schwester darüber geredet.",1,"1",1,NA,"212","1","2",5,4,1,1,2,212,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"TN10HL","LN","2023-07-20 05:31:21",1,1,2,"Meine Mutter hat 30. Juli vorgeschlagen.",1,"211",1,"2","1","1",NA,3,4,211,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"TN10HL","LN","2023-07-23 22:14:19",1,1,1,"Ich habe geträumt, dass eine Fliege ihre Eier auf meiner Haut abgelegt hat …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"TN10HL","LN","2023-07-23 22:14:19",1,1,2,"… und Maden geschlüpft sind, die meine Haut gegessen haben.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"TN10HL","LN","2023-07-26 22:44:14",1,1,0,"Meine Stiefmutter war Türsteherin bei einem Festival.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"TN10HL","LN","2023-07-26 22:44:14",1,1,1,"Ich und mein Freund wollten auf das Festival gehen und sie hat ihn abgetastet. Dabei war sie davon überzeugt, dass er ""Medis"" dabei hatte. Damit meinte Sie Drogen. Er hatte aber keine dabei.",1,"211",1,"2","22","1","1",3,4,211,1,2,22,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
"TN10HL","LN","2023-07-26 22:44:14",1,1,2,"Sie ist dann im Vertrauen zu mir gekommen und hat gesagt ""Er hat was dabei, weil du's bist lass ich ihn trotzdem rein. Wir reden aber nochmal darüber"".",1,"211",1,"2","1","1",NA,3,14,211,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
"TN10HL","LN","2023-07-26 22:44:14",1,2,1,"Dann haben wir uns aufgeregt, dass sie so tut, als wäre sie nett, obwohl er keine Drogen dabei hatte.",1,"1",1,NA,"22","1","1",5,4,1,1,2,22,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"TN10HL","LN","2023-07-26 22:44:14",1,3,1,"Ein Jahr später habe ich dieses Vorkommnis auf Social Media geteilt und es ist viral gegangen.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"TN10HL","LN","2023-07-26 22:44:14",1,4,1,"Dann hat sie ein ""Es tut mir leid""- Video gepostet, in dem sie meinen kleinen Bruder gezeigt hat und erzählt hat, dass er auch ständig ""Medis"" nimmt und sie überhaupt nicht von Drogen geredet hätte.",1,"211",1,"2","1, 5","1, 3","4",3,4,211,1,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
"TN10HL","LN","2023-08-05 21:09:10",1,1,1,"Ich laufe zum Auto.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"TN10HL","LN","2023-08-05 21:09:10",1,1,3,"In dem Auto sitzt mein Stiefvater, eine ehemalige Schulfreundin und ihre Mutter (die ich eigentlich nicht kenne).",1,"211, 232, 4",1,"1, 2, 2","1","1",NA,1,NA,NA,1,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17
