"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"TN10PS","IN","2023-07-16 07:40:33",1,1,1,"Ich war mit meiner Familie am Strand. Das Wetter war sehr schön und das Meer ruhig.",1,21,2,3,"1","1",NA,4,4,21,2,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"TN10PS","IN","2023-07-16 07:40:33",1,1,2,"Mir ging es gut, ich war sehr entspannt und habe den Sonnenuntergang mit meinem Bruder angeschaut.",1,212,1,1,"1","1",NA,4,4,212,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"TN10PS","IN","2023-07-17 05:52:46",1,1,1,"Ich weiß nicht in welchem Kontext aber wir befanden uns in einem Krieg und mein Bruder hat sich als Soldat gestellt. Mir ging es sehr schlecht damit und ich hatte generell existenzielle Ängste bedingt durch den Krieg. Jeder um mich herum schien entspannt damit zu sein, was mich sehr frustriert hat.",1,212.5,1.2,1.4,"1","1",NA,2,32,212,1,1,1,1,2,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51
"TN10PS","IN","2023-07-18 07:33:19",1,1,1,"Meine Umgebung war mir bekannt, es war unser Ferienhaus in der Heimat. Die anwesenden Personen waren meine Schwester, meine Cousins und meine Tante. Ich sollte etwas zu meinen Cousins bringen …",1,1,1,NA,"214","2",1,3,14,1,1,2,214,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
"TN10PS","IN","2023-07-18 07:33:19",1,1,2,"… und habe einen gedeckten Tisch voll mit Essen vorgefunden. Der Traum war schön für mich, weil wir in diesem Haus einen Großteil unserer Kindheit verbracht haben",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"TN10PS","IN","2023-07-20 07:33:38",1,1,1,"Ich hab im Prinzip von den Statistik Inhalten geträumt …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"TN10PS","IN","2023-07-20 07:33:38",1,1,2,"… und im Laufe des Traums auch von der Klausur, wie ich sie geschrieben habe. das Setting war einer der Uni Räume und die Charaktere meine Kommilitonen & meine Statistik Professorin. Soweit war alles entspannt und nicht wirklich negativ behaftet",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40
"TN10PS","IN","2023-07-21 13:19:54",1,1,1,"Ich habe geträumt dass ich die Klausur geschrieben habe …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"TN10PS","IN","2023-07-21 13:19:54",1,1,2,"… und dann ist mir eingefallen dass ich einen Aufgabenteil nicht bearbeitet habe",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"TN10PS","IN","2023-07-22 05:59:32",1,1,1,"Ich war krank und hatte Migräne, das ist etwas wofür ich anfällig bin. Ich lag im Wohnzimmer und wollte mich ausruhen, …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"TN10PS","IN","2023-07-22 05:59:32",1,1,2,"… bis meine Schwester mich in mein Bett geschickt hat.",1,212,1,2,"1","1",NA,3,14,212,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"TN10PS","IN","2023-07-22 05:59:32",1,1,3,"Ich musste mich übergeben und hatte das Gefühl keine Luft zu bekommen. Trotzdem hat es sich nicht angefühlt wie ein Alptraum und mir ging es danach besser von der Übelkeit her",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31
"TN10PS","IN","2023-07-23 09:30:56",1,1,1,"Einige Häuser in der Nachbarschaft haben gebrannt …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"TN10PS","IN","2023-07-23 09:30:56",1,1,3,"… und dann mussten wir schnell unsere Sachen packen und in unsere ehemalige Wohnung, weil wir dort sicher sein würden.",1,5,3,4,"1","1",NA,4,25,5,3,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"TN10PS","IN","2023-07-23 09:30:56",1,2,1,"Irgendwann war ich dann alleine in der Wohnung, als dann verkündet wurde dass das Feuer nun ungefährlich sei.",1,5,3,4,"1","1",NA,1,NA,5,3,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"TN10PS","IN","2023-07-23 09:30:56",1,2,2,"Komischerweise war die alte Wohnung noch voll mit unseren Möbeln und unserer Kleidung, welche ich dann so gut wie möglich einpacken wollte.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
