"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"UA12TO","IN","2023-07-18 08:32:44",1,1,1,"Wieder im Schwimmbad (aber eins wo ich noch nie war) mit der Mannschaft zu deutschen Meisterschaften. Wir waren wieder erfolgreich, an mehr kann ich mich nicht erinnern",1,"232",2,4,"1",1,NA,4,4,232,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27
"UA12TO","IN","2023-07-19 05:58:20",1,1,0,"Ich war mit einer guten Freundin erst auf einer Party, wo zufällig auch sehr viele andere Schwimmer waren, die ich kannte und mit denen ich teils auch befreundet bin.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"UA12TO","IN","2023-07-19 05:58:20",1,1,1,"Wir haben uns dann etwas unterhalten Tee n …",1,"231.232",2.2,3.4,"1",1,NA,5,4,231,2,3,1,1,2,232,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9
"UA12TO","IN","2023-07-19 05:58:20",1,2,1,"… und sind dann aber als recht große Gruppe aufgebrochen, um uns ein Konzert von meiner Lieblingsbands anzuschauen.",1,"231.232",2.2,3.4,"1",1,NA,4,4,231,2,3,1,1,2,232,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"UA12TO","IN","2023-07-19 05:58:20",1,2,2,"Am Verantstaltungsort mussten wir dann noch einen halben Marathon laufen …",1,"231.232",2.2,3.4,"1",1,NA,4,4,231,2,3,1,1,2,232,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"UA12TO","IN","2023-07-19 05:58:20",1,2,3,"… und sogar Schwebebahn fahren …",1,"231.232",2.2,3.4,"1",1,NA,4,4,231,2,3,1,1,2,232,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"UA12TO","IN","2023-07-19 05:58:20",1,2,4,"… und haben letztlich trotzdem die Halle nicht gefunden und vor dem Konzert bin ich aufgewacht",1,"231.232",2.2,3.4,"1",1,NA,4,4,231,2,3,1,1,2,232,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"UA12TO","IN","2023-07-23 07:41:04",1,1,1,"Ich war mit meiner Familie im Urlaub und wir standen an einem Aussichtspunkt von dem man bis zum Meer schauen konnte.",1,"21",2,3,"1",1,NA,4,4,21,2,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"UA12TO","IN","2023-07-23 07:41:04",1,2,1,"Dann gab es einen Tsunami …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
"UA12TO","IN","2023-07-23 07:41:04",1,2,2,"… und ich hab versucht meinen kleinen Bruder und sein Wasser Spielzeug zu retten",1,"1",1,NA,"212",1,1,3,14,1,1,2,212,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"UA12TO","IN","2023-08-02 08:31:00",1,1,0,"Es war eine dystopisches Setting und ich Musste mich und meine kleine Schwester in Sicherheit bringen (ich hab keine kleine Schwester). In dieser Welt gab es Monster wie aus Quiet Place, die mit Geräuschen angelockt wurden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36
"UA12TO","IN","2023-08-02 08:31:00",1,1,1,"Wir waren erst entspannt mit einem Bus unterwegs, um aus unserer Heimatstadt zu fliehen, weil die bereits zerstört wurde.",1,"212",1,2,"1",1,NA,4,25,212,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"UA12TO","IN","2023-08-02 08:31:00",1,2,1,"Daraufhin haben wir uns zunächst in einem fremden Haus verstecken wollen …",1,"212",1,2,"1",1,NA,4,25,212,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"UA12TO","IN","2023-08-02 08:31:00",1,2,2,"… und wurde dort in einen Hinterhalt gelockt.",1,"5",3,4,"212.1",1.1,2,3,21,5,3,4,212,1,2,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,8
"UA12TO","IN","2023-08-02 08:31:00",1,3,0,"Dann gab es im Traum eine Art character Wechsel, aber die Story bzw. das Setting blieb gleich.  Edward aus twilight war da und ich war Bella.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
