"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"UE06UR","IN","2023-07-27 08:55:16",1,1,1,"Ich saß bei gutem Wetter im Vorgarten einer Freundin von mir. Da saßen wir zusammen mit ein paar anderen Freunden wir haben geredet und gegessen.",1,231,2,3,1,1,NA,4,4,231,2,3,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"UE06UR","IN","2023-07-27 08:55:16",1,1,2,"Dann kamen unangekündigt Gäste, die die Stimmung zerstört haben. Ich kann mich nicht mehr genau daran erinner wer diese Gäste waren",1,5,2,4,231.1,2.1,2,3,2,5,2,4,231,2,2,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,21
"UE06UR","IN","2023-07-29 07:52:38",1,1,1,"Ich war mit drei Freunden von mir in einer Großstadt feiern. Es war Sommer und wir alle dünn gekleidet.",1,231,2,4,1,1,NA,4,4,231,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"UE06UR","IN","2023-07-29 07:52:38",1,1,2,"Wir sind raus gegangen vor den Club, um frische Luft zu schnappen und haben andere Leute kennengelernt und uns mit denen unterhalten.",1,231.1,2.1,4,4,2,4,5,15,231,2,4,4,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"UE06UR","IN","2023-07-29 07:52:38",1,2,1,"Später sind wir alle zusammen nach Hause gelaufen.",1,231.1,2.1,4,4,2,4,4,4,231,2,4,4,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"UE06UR","IN","2023-07-31 06:33:14",1,1,1,"Es gab plötzlich noch mehr Klausuren und ich wusste nicht mehr wo ich mit dem Lernen anfangen sollte. Ich war extrem gestresst und überfordert. An mehr Details erinnere ich mich leider nicht.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
"UE06UR","IN","2023-08-02 06:31:28",1,1,0,"Ich war mit zwei sehr engen Freunden unterwegs.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"UE06UR","IN","2023-08-02 06:31:28",1,1,1,"Die beiden hatten eine verbale Auseinandersetzung und ich stand so unangenehm daneben aber hatte auch keine Lust mich einzumischen.",1,231,1,4,231,1,4,5,22,231,1,4,231,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"UE06UR","IN","2023-08-02 06:31:28",1,1,2,"Sie konnten sich bis zum Schluss nicht einigen, die Stimmung war sehr schlecht und ich genervt von beiden.",1,231,2,4,1,1,NA,2,32,231,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"UE06UR","IN","2023-08-03 05:35:59",1,1,0,"Zuerst war ich in einer großen mir unbekannten Mensa und wollte mich dort auf Prüfungen vorbereiten.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"UE06UR","IN","2023-08-03 05:35:59",1,1,1,"Ich habe mich an einen Tisch alleine gesetzt.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"UE06UR","IN","2023-08-03 05:35:59",1,2,1,"Dann hat mich plötzlich ein Kommilitone von hinten angetippt. Ich hab mich sehr erschrocken, weil ich ihn vorher nicht gesehen habe.",1,232,1,1,1,1,NA,3,4,232,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"UE06UR","IN","2023-08-03 05:35:59",1,2,2,"Dann habe ich mich zu ihm und noch einer weiteren Person gesetzt.",1,1,1,NA,232.5,1.1,1.4,3,15,1,1,2,232,1,1,NA,NA,NA,5,1,4,NA,NA,NA,NA,NA,NA,NA,12
"UE06UR","IN","2023-08-03 05:35:59",1,3,1,"Später kam ich zu spät zu einer Vorlesung, komischerweise war aber auch kaum jemand anders da und der Raum war auch nur für so 10 Leute geeignet, die Dozentinnen kamen mir unbekannt vor.",1,4,2,2,1,1,NA,1,NA,4,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33
"UE06UR","IN","2023-08-04 06:23:48",1,1,1,"Meine Kommilitonen und ich waren endlich mit unseren ersten Prüfungen durch.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"UE06UR","IN","2023-08-04 06:23:48",1,1,2,"Um uns zu feiern sind wir danach alle gemeinsam los gegangen.",1,231,2,4,1,1,NA,4,1,231,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"UE06UR","IN","2023-08-04 06:23:48",1,1,3,"Ich hab viele ungewöhnliche Menschen dabei getroffen, die ich aus ganz anderen Kontexte kenne oder auch gar nicht kenne. Unter anderen Leute aus meiner alten Klasse.",1,232.4,2.2,4.4,1,1,NA,4,4,232,2,4,1,1,2,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
"UE06UR","IN","2023-08-04 06:23:48",1,1,4,"Ich war sehr stark betrunken und irgendwann auch nicht mehr wirklich zurechnungsfähig.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"UE06UR","IN","2023-08-04 06:23:48",1,1,5,"Der Trip erschien mir endlos und ich konnte irgendwann nicht mehr, aber die anderen haben auf mich aufgepasst.",1,232,2,4,1,1,NA,3,14,232,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"UE06UR","IN","2023-08-05 05:53:11",1,1,1,"Ich hab mit meiner Lerngruppe für die Prüfungen gelernt. Wir waren alle recht gestresst, an mehr erinnere ich mich nicht.",1,232,2,4,1,1,NA,4,32,232,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"UE06UR","IN","2023-08-07 05:40:18",1,1,0,"Ich habe an einer Studie teilgenommen mit ein paar meiner Freunden.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11
"UE06UR","IN","2023-08-07 05:40:18",1,1,1,"Wir hatten eine Diskussion darüber, wo wir uns auf den Skalen einordnen sollen.",1,231,2,4,1,1,NA,5,4,231,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13
"UE06UR","IN","2023-08-07 05:40:18",2,1,1,"Später hab ich geträumt dass ich in meinem Zimmer war, das aber gar nicht aussah, wie mein Zimmer.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18
"UE06UR","IN","2023-08-07 05:40:18",2,1,2,"Ich hab versucht ein Foto zu machen aber irgendwie ging es nicht.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12
"UE06UR","IN","2023-08-08 05:17:15",1,1,1,"Eine Kommilitonin von mir hat mir geholfen mich auf die Mündliche Prüfung vorzubereiten und mir Tipps gegeben. Wir waren beide sehr angespannt.   An mehr erinnere ich mich nicht :(",1,232,1,2,1,1,NA,3,14,232,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29
"UE06UR","IN","2023-08-09 06:52:29",1,1,1,"Ich habe geträumt, dass ich eine Gartenparty ausgerichtet habe in einem Garten der nicht meiner war. Wir saßen gemeinsam an einer Bierzeltgarnitur und es waren einige Freunde aus unterschiedlichen Freundesgruppe von mir da. Wir haben uns besonders intensiv über einen vergangenen Abend unterhalten in der eine Freundin von mir von Männer angesprochen wurde. Die Stimmung war insgesamt sehr gut.",1,231,2,4,1,1,NA,5,4,231,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59
"UE06UR","IN","2023-08-10 05:13:47",1,1,1,"Ich habe für die Mündliche Prüfung zwei Studien gelernt …",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10
"UE06UR","IN","2023-08-10 05:13:47",1,1,2,"… und es hat sich im Nachhinein herausgestellt, dass die Studien selbst einfach komplett falsch konstruiert waren und letztendlich keinerlei Sinn oder Aussagekraft hatten.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"UE06UR","IN","2023-08-10 05:13:47",2,1,1,"Dann war ich in einer anderen Szene: ich saß in der Uni in einem Vorlesungsraum und meine Freunde und ich haben darüber philosophiert wie alt unsere Dozentin ist, da dies sehr schwer einzuschätzen ist. Irgendwie sieht sie weder alt noch jung aus.",1,231,2,4,1,1,NA,5,4,231,2,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
