"id","rater","date","episode","event","situation","content","social","init-char","init-no","init-gender","reci-char","reci-no","reci-gender","type","quality","init_char_1","init_no_1","init_gender_1","reci_char_1","reci_no_1","reci_gender_1","init_char_2","init_no_2","init_gender_2","reci_char_2","reci_no_2","reci_gender_2","init_char_3","init_no_3","init_gender_3","reci_char_3","reci_no_3","reci_gender_3","quality_2","wordcount"
"UR12TR","LN","2023-09-06 14:59:48",1,1,0,"In meinem Traum waren meine Mutter und ich verabredet um morgens sehr früh zu ihrer Arbeit zu fahren, wo ich aushelfen wollte. Der Traum hat sich morgens in einem unbekannten Haus abgespielt…",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32
"UR12TR","LN","2023-09-06 14:59:48",1,1,1,"…  und mein Freund, zwei Freunde, die ich aber nicht erkannt habe, und ich haben versucht uns schnell fertig zu machen, um pünktlich loszufahren …",1,"1","1",NA,"22, 231","1, 2",1,4,4,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25
"UR12TR","LN","2023-09-06 14:59:48",1,1,2,"… und meine Mutter hat mir ständig zugerufen, dass ich es eh nicht pünktlich schaffen würde. Dadurch war ich im Traum genervt und frustriert.",1,"211","1",2,"1","1",NA,3,32,211,1,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24
"UR12TR","LN","2023-09-07 07:09:24",1,1,1,"An meinen Traum in der Nacht kann ich mich an kaum etwas richtig erinnern aber ich habe mit einem Mädchen gesprochen und es ging um Müllentsorgung.",1,"1","1",NA,"4","1",2,5,4,1,1,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
"UR12TR","LN","2023-09-07 07:09:24",2,1,1,"Ich habe außerdem in meinem Traum gedacht, dass ich mir die Trauminhalte für den Traumbericht dieser Studie merken soll und bin dann die Ereignisse während des Traums noch mehrmals durchgegangen, um sie mir besser einzuprägen, allerdings wusste ich dann kaum noch etwas als ich morgens aufgewacht bin.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47
"UR12TR","LN","2023-09-07 07:09:24",3,1,1,"Nach einer halben Stunde bin ich nochmal eingeschlafen und dann habe ich geträumt, dass ich auf einer größeren Veranstaltung war und beim DRK helfen sollte, …",1,"5","3",4,"1","1",NA,1,NA,5,3,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
"UR12TR","LN","2023-09-07 07:09:24",3,1,2,"… allerdings haben sie mich gefragt, ob ich eine Schülerpraktikantin wäre, worauf ich geantwortet habe, dass ich schon lange beim DRK bin.",1,"5","3",4,"1","1",NA,5,4,5,3,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22
"UR12TR","LN","2023-09-07 07:09:24",3,2,1,"Plötzlich haben sie ein Spiel angefangen zu spielen, was für mich erst wie Staffellauf aussah, …",1,"5","3",4,"1","1",NA,1,NA,5,3,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16
"UR12TR","LN","2023-09-07 07:09:24",3,2,2,"… dann aber doch anders funktioniert hat.",1,"5","3",4,"1","1",NA,1,NA,5,3,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
"UR12TR","LN","2023-09-07 07:09:24",3,2,3,"Dadurch dass ich das Spiel nicht kannte, habe ich es dann falsch gemacht und zwei Frauen haben mir gemeine Dinge zugerufen.",1,"4","2",2,"1","1",NA,3,22,4,2,2,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21
"UR12TR","LN","2023-09-07 07:09:24",3,2,4,"Ich habe mich sehr schlecht gefühlt und habe in meinem Traum angefangen zu weinen und bin dann davon aufgewacht, dass ich auch in Echt geweint habe.",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26
"UR12TR","LN","2023-09-08 14:27:33",1,1,0,"Ich habe geträumt, dass ich in einer unbekannten Institution mit mehreren unbekannten Personen war, die einer Universität oder Schule ähnelte.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"UR12TR","LN","2023-09-08 14:27:33",1,1,1,"Aus irgendeinem Grund waren eine Gruppe und ich sauer auf einen Mann, weswegen wir ein Haus in Brand gesetzt haben.",1,"1, 4","1, 2",4,"4","1",1,3,21,NA,NA,4,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20
"UR12TR","LN","2023-09-08 14:27:33",1,1,2,"Danach waren viele Menschen sauer auf uns …",1,"5","3",4,"1","1",NA,1,NA,5,3,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
"UR12TR","LN","2023-09-08 14:27:33",1,1,3,"… und ich habe mit jemandem telefoniert, der mir ins Gewissen geredet hat. Ich hatte starke Schuldgefühle und konnte nicht verstehen und mich auch nicht richtig erinnern, warum ich bei einer solchen Sache mitgemacht hatte.",1,"1","1",NA,"5","1",4,5,32,1,1,2,5,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35
