"id","date","dayCounter","rses_1","rses_2","rses_3","rses_4","socSit","socInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance"
"AD09PT",2023-08-21,1,7,6,1,1.6,39.8,40.6,6,3.9,0,2.23606797749979,0,0.894427190999916,36.6905982507781,34.7821793451762,1.22474487139159,0.675462804305315,0.714285714285714
"AD09PT",2023-08-22,2,6.8,7,1,1.4,51.8,41.6,6.8,4.05,0.447213595499958,0,0,0.547722557505166,41.6136996672971,37.2598980138164,0.447213595499958,0.111803398874989,0.714285714285714
"AD09PT",2023-08-23,3,7,7,1,1,33.3333333333333,14.6666666666667,6,4,0,0,0,0,57.7350269189626,16.8027775481714,1.73205080756888,0,0.428571428571429
"AD09PT",2023-08-24,4,7,7,1,1.33333333333333,35.6666666666667,49.3333333333333,6.66666666666667,4.08333333333333,0,0,0,0.577350269189626,30.8922859842604,42.453896562428,0.577350269189626,0.144337567297406,0.428571428571429
"AD09PT",2023-08-25,5,5.75,6.5,2,2.25,72.75,50.25,6.75,4.125,2.5,1,2,2.5,48.6852133609374,26.5502667908755,0.5,0.25,0.571428571428571
"AD09PT",2023-08-26,6,5,5,3,5,39,37,5,4.5,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"AD09PT",2023-08-27,7,6,6,1,2,100,64,7,3.75,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"AD09PT",2023-08-28,8,6.8,7,1,1.4,80,40,7,4.05,0.447213595499958,0,0,0.547722557505166,44.7213595499958,36.5581728208618,0,0.111803398874989,0.714285714285714
"AD09PT",2023-08-29,9,7,7,1,1,67.75,58.25,6.5,4,0,0,0,0,37.5088878356406,36.5547534528685,0.577350269189626,0,0.571428571428571
"AD09PT",2023-08-30,10,7,7,1,1.25,77.75,28.75,6.25,4.0625,0,0,0,0.5,44.5,11.6726175299288,0.5,0.125,0.571428571428571
"AD09PT",2023-08-31,11,7,7,1,1,45,21,7,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"AD09PT",2023-09-01,12,6.66666666666667,7,1,1.66666666666667,79.3333333333333,50.6666666666667,6.66666666666667,4.08333333333333,0.577350269189626,0,0,0.577350269189626,23.6924741918891,25.6969518296107,0.577350269189626,0.144337567297406,0.428571428571429
"AD09PT",2023-09-02,13,7,7,1,1,100,73,7,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"AD09PT",2023-09-03,14,6,7,1,2,83,65,6,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
