"id","date","dayCounter","rses_1","rses_2","rses_3","rses_4","socSit","socInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance"
"AS05MH",2023-10-20,1,6,7,1,1,30.5,33,4,3.75,0,0,0,0,43.1335136523794,26.8700576850888,0,0,0.285714285714286
"AS05MH",2023-10-21,2,6,7,1,1,0,0,7,3.75,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"AS05MH",2023-10-22,3,7,5,3.33333333333333,1,32.3333333333333,33.3333333333333,5,4.08333333333333,0,3.46410161513775,3.21455025366432,0,56.0029761113937,57.7350269189626,1.73205080756888,0.144337567297406,0.428571428571429
"AS05MH",2023-10-23,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AS05MH",2023-10-24,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AS05MH",2023-10-25,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AS05MH",2023-10-26,7,7,7,1,2,0,0,4,4.25,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"AS05MH",2023-10-27,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AS05MH",2023-10-28,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AS05MH",2023-10-29,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AS05MH",2023-10-30,11,6,7,2,2,0,0,4,4.25,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"AS05MH",2023-10-31,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AS05MH",2023-11-01,13,7,7,2,2,100,100,2,4.5,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"AS05MH",2023-11-02,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AS05MH",2023-11-03,15,7,7,1,1,0,0,3,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"AS05MH",2023-11-04,16,7,6,1,2,0,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
