"id","date","dayCounter","rses_1","rses_2","rses_3","rses_4","socSit","socInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance"
"AT09OI",2023-07-30,1,6.66666666666667,7,2.16666666666667,1.33333333333333,98.8333333333333,100,5.66666666666667,4.29166666666667,0.516397779494322,0,2.40138848724372,0.816496580927726,2.85773803324704,0,2.33809038890002,0.640637703126086,0.857142857142857
"AT09OI",2023-07-31,2,7,7,1,1,0,30,4,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"AT09OI",2023-08-01,3,7,7,1,1,100,100,7,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"AT09OI",2023-08-02,4,7,7,1,1,100,100,7,4,0,0,0,0,0,0,0,0,0.285714285714286
"AT09OI",2023-08-03,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AT09OI",2023-08-04,6,7,5,1,1,100,100,7,3.5,0,3.46410161513775,0,0,0,0,0,0.866025403784439,0.428571428571429
"AT09OI",2023-08-05,7,7,7,1,1,100,100,7,4,0,0,0,0,0,0,0,0,0.285714285714286
"AT09OI",2023-08-06,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AT09OI",2023-08-07,9,7,7,1,1,100,100,7,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"AT09OI",2023-08-08,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AT09OI",2023-08-09,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AT09OI",2023-08-10,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AT09OI",2023-08-11,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AT09OI",2023-08-12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"AT09OI",2023-08-13,15,7,7,1,1,100,100,7,4,0,0,0,0,0,0,0,0,0.285714285714286
"AT09OI",2023-08-14,16,7,7,1,1.5,100,98.5,7,4.125,0,0,0,0.707106781186548,0,2.12132034355964,0,0.176776695296637,0.285714285714286
