"id","date","dayCounter","rses_1","rses_2","rses_3","rses_4","socSit","socInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance"
"BB11JH",2023-11-04,1,6.33333333333333,7,1.16666666666667,1.66666666666667,69.8333333333333,42.5,6,4.04166666666667,0.816496580927726,0,0.408248290463863,0.816496580927726,41.6193064174148,46.2331050222673,1.09544511501033,0.102062072615966,0.857142857142857
"BB11JH",2023-11-05,2,6.4,6.8,1.2,1.4,31,12,6.2,3.95,0.894427190999916,0.447213595499958,0.447213595499958,0.547722557505166,44.4634681508314,21.9431082574917,1.30384048104053,0.111803398874989,0.714285714285714
"BB11JH",2023-11-06,3,6.5,6.5,1,1.25,62.5,11.75,6.75,3.8125,0.577350269189626,0.577350269189626,0,0.5,43.3704968844029,10.7819293264239,0.5,0.239356776939085,0.571428571428571
"BB11JH",2023-11-07,4,6.75,7,1,1.25,41.5,24.25,7,4,0.5,0,0,0.5,41.097445176069,25.460754112948,0,0,0.571428571428571
"BB11JH",2023-11-08,5,6.71428571428571,6.14285714285714,1,1.14285714285714,79.8571428571429,23.1428571428571,6.57142857142857,3.75,0.487950036474267,2.26778683805536,0,0.377964473009227,38.3858853027541,25.0760747289029,0.534522483824849,0.559016994374947,1
"BB11JH",2023-11-09,6,7,7,1,1,71.8333333333333,19.8333333333333,6.83333333333333,4,0,0,0,0,42.0019840801202,17.8372269892679,0.408248290463863,0,0.857142857142857
"BB11JH",2023-11-10,7,6.2,7,1,1.4,65.2,44.6,5.6,3.9,1.09544511501033,0,0,0.547722557505166,48.5304028419299,46.741844208375,1.14017542509914,0.136930639376292,0.714285714285714
"BB11JH",2023-11-11,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"BB11JH",2023-11-12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"BB11JH",2023-11-13,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"BB11JH",2023-11-14,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"BB11JH",2023-11-15,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"BB11JH",2023-11-16,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"BB11JH",2023-11-17,14,6.6,7,1.2,1.4,37.2,6.6,5.6,4.05,0.547722557505166,0,0.447213595499958,0.547722557505166,43.1821722473523,7.89303490426845,1.14017542509914,0.273861278752583,0.714285714285714
