"id","date","dayCounter","rses_1","rses_2","rses_3","rses_4","socSit","socInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance"
"BR02HR",2023-10-19,1,4.66666666666667,6.16666666666667,1.5,2.66666666666667,41.5,39.3333333333333,4.83333333333333,3.75,1.03279555898864,0.408248290463863,0.547722557505166,0.516397779494322,25.4145627544524,28.3525425079774,0.983192080250175,0.273861278752583,0.857142857142857
"BR02HR",2023-10-20,2,5.83333333333333,6.66666666666667,1.33333333333333,3,60,61.8333333333333,5.66666666666667,4.20833333333333,0.408248290463863,0.516397779494322,0.516397779494322,0,25.8147244804201,27.3891706093242,1.03279555898864,0.245798020062544,0.857142857142857
"BR02HR",2023-10-21,3,5.6,7,1.2,3,62,59.8,5.8,4.2,0.894427190999916,0,0.447213595499958,0,35.0356960827097,33.7075659162746,1.09544511501033,0.273861278752583,0.714285714285714
"BR02HR",2023-10-22,4,5.57142857142857,6.57142857142857,1.42857142857143,2.85714285714286,52.5714285714286,53.8571428571429,5.42857142857143,4.10714285714286,0.534522483824849,0.534522483824849,0.534522483824849,0.377964473009227,26.3998556994613,27.7574528816351,0.534522483824849,0.133630620956212,1
"BR02HR",2023-10-23,5,4.71428571428571,6.85714285714286,1.42857142857143,3,64,61.1428571428571,5,4,0.487950036474267,0.377964473009227,0.534522483824849,0,29.7040962382856,28.2750099995772,0.816496580927726,0.144337567297406,1
"BR02HR",2023-10-24,6,4.8,6.8,1.4,3,73.4,65.8,5.4,4,0.447213595499958,0.447213595499958,0.547722557505166,0,11.9079805172834,8.46758525200662,0.547722557505166,0.176776695296637,0.714285714285714
"BR02HR",2023-10-25,7,5,7,3.25,3,43.75,42,5.25,4.5625,0.816496580927726,0,2.06155281280883,0,23.2576152403179,22.6715680975093,0.5,0.515388203202208,0.571428571428571
"BR02HR",2023-10-26,8,5.16666666666667,6.66666666666667,1.5,3.16666666666667,61.5,51.3333333333333,5.16666666666667,4.125,0.408248290463863,0.516397779494322,0.547722557505166,0.408248290463863,28.6129341382529,24.3283099837754,0.752772652709081,0.209165006633519,0.857142857142857
"BR02HR",2023-10-27,9,5,6.6,1.4,3,58.4,43.2,5.2,4,0,0.547722557505166,0.547722557505166,0,31.6117066922999,28.9948271248511,0.447213595499958,0.176776695296637,0.714285714285714
"BR02HR",2023-10-28,10,5,6.2,1.4,2.4,51.6,35.6,5,3.75,0,0.447213595499958,0.547722557505166,0.894427190999916,35.1326059380741,23.7760383579771,0.707106781186548,0.176776695296637,0.714285714285714
"BR02HR",2023-10-29,11,4.5,6.5,1.5,3.5,37.5,25.5,5,4,0.707106781186548,0.707106781186548,0.707106781186548,0.707106781186548,0.707106781186548,3.53553390593274,0,0,0.285714285714286
"BR02HR",2023-10-30,12,5,6.5,1.75,3,38,27.5,4.75,4.0625,0,0.577350269189626,0.5,0,24.2899156029822,21.9772609758359,0.5,0.125,0.571428571428571
"BR02HR",2023-10-31,13,5,6.5,1.5,3,64.75,55,5,4,0,0.577350269189626,0.577350269189626,0,11.6153633893506,12.3558353285671,0,0.204124145231932,0.571428571428571
"BR02HR",2023-11-01,14,5,6,2.4,3.2,61.4,52.2,5,4.15,0,0,1.51657508881031,0.447213595499958,8.38450952650183,8.92748564826626,0,0.379143772202578,0.714285714285714
