"id","date","dayCounter","rses_1","rses_2","rses_3","rses_4","socSit","socInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance"
"CR07HL",2023-10-20,1,4.33333333333333,3.66666666666667,3.66666666666667,4,68.3333333333333,63,5.33333333333333,3.91666666666667,1.15470053837925,1.52752523165195,1.15470053837925,1,54.8482755730144,46.8721665810319,1.52752523165195,0.288675134594813,0.428571428571429
"CR07HL",2023-10-21,2,5.25,4.75,3,2.75,96.5,78.5,4.75,3.9375,0.5,0.5,0,0.5,7,14.4798710859823,0.957427107756338,0.125,0.571428571428571
"CR07HL",2023-10-22,3,5,5.16666666666667,2.5,3.16666666666667,82.1666666666667,70.1666666666667,5,3.95833333333333,0.632455532033676,0.752772652709081,0.547722557505166,0.752772652709081,22.6752434753558,21.8212434720542,0.632455532033676,0.18819316317727,0.857142857142857
"CR07HL",2023-10-23,4,4.66666666666667,5.66666666666667,2.33333333333333,3,81,58.3333333333333,4.66666666666667,3.91666666666667,0.577350269189626,0.577350269189626,0.577350269189626,0,10.5830052442584,31.5330514434194,1.15470053837925,0.144337567297406,0.428571428571429
"CR07HL",2023-10-24,5,5,4.5,3.25,3,63,35.75,4.75,3.9375,0.816496580927726,0.577350269189626,0.5,0,24.6711707599511,13.2256064763272,0.957427107756338,0.239356776939085,0.571428571428571
"CR07HL",2023-10-25,6,5,5.5,2.5,3,85.75,62.5,5,4,0,0.577350269189626,0.577350269189626,0,23.9774199334846,30.4795013082563,0.816496580927726,0,0.571428571428571
"CR07HL",2023-10-26,7,5.5,5.75,2.25,2.75,61.5,48.25,5,4.0625,0.577350269189626,0.5,0.5,0.5,32.6036807738022,41.5321160870316,1.15470053837925,0.125,0.571428571428571
"CR07HL",2023-10-27,8,4.33333333333333,4.33333333333333,3.66666666666667,3.66666666666667,41.6666666666667,25,4.66666666666667,4,0.577350269189626,1.15470053837925,1.15470053837925,1.15470053837925,18.7705443004015,24.2487113059643,0.577350269189626,0.25,0.428571428571429
"CR07HL",2023-10-28,9,3,4,4,5,24,11,4,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"CR07HL",2023-10-29,10,5,4,4,3,100,92,5,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"CR07HL",2023-10-30,11,4.66666666666667,5,3,4,66.3333333333333,28,4.33333333333333,4.16666666666667,0.577350269189626,0,0,0,29.1604755333882,5.29150262212918,0.577350269189626,0.144337567297406,0.428571428571429
"CR07HL",2023-10-31,12,5.6,5.4,2.2,2.8,48.4,36.6,5.2,4,0.547722557505166,0.547722557505166,0.836660026534076,0.447213595499958,18.5687910214963,19.7306867594618,0.447213595499958,0.176776695296637,0.714285714285714
"CR07HL",2023-11-01,13,4.6,4.6,3.4,4.2,60.2,28.6,4.4,4.2,1.14017542509914,1.14017542509914,1.14017542509914,0.836660026534076,38.5642321328974,18.528356645963,0.547722557505166,0.111803398874989,0.714285714285714
"CR07HL",2023-11-02,14,5.33333333333333,4.66666666666667,3,3,66,48.6666666666667,5,4,0.577350269189626,1.52752523165195,1,0,29.4618397253125,22.9419557434264,1,0,0.428571428571429
