"id","date","dayCounter","rses_1","rses_2","rses_3","rses_4","socSit","socInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance"
"GL07NB",2023-10-18,1,4.71428571428571,4,3,3.57142857142857,58.7142857142857,34.7142857142857,4.85714285714286,3.82142857142857,0.487950036474267,1,1.15470053837925,0.534522483824849,40.7419287946062,26.606479697712,1.77281052085584,0.278174320132093,1
"GL07NB",2023-10-19,2,5.14285714285714,5.57142857142857,2.28571428571429,2.71428571428571,75.7142857142857,48.7142857142857,5.85714285714286,3.92857142857143,0.377964473009227,0.534522483824849,0.487950036474267,0.487950036474267,37.0886967763958,28.8543138641595,0.899735410842437,0.188982236504614,1
"GL07NB",2023-10-20,3,5.14285714285714,5.42857142857143,2.42857142857143,3,59,17.7142857142857,4.57142857142857,4,0.377964473009227,0.534522483824849,0.786795792469443,0,49.6789693934969,32.8365359811003,1.51185789203691,0.144337567297406,1
"GL07NB",2023-10-21,4,5.28571428571429,5.28571428571429,2.28571428571429,2.71428571428571,70,37.2857142857143,4.57142857142857,3.89285714285714,0.487950036474267,0.487950036474267,0.755928946018454,0.755928946018454,35.7024742373224,25.5585229471129,0.975900072948533,0.28347335475692,1
"GL07NB",2023-10-22,5,5.4,6,2,2.4,26.4,19.4,4.4,3.95,0.547722557505166,0,0,0.547722557505166,18.5553226864962,15.8839541676498,0.547722557505166,0.111803398874989,0.714285714285714
"GL07NB",2023-10-23,6,5.14285714285714,5.85714285714286,2,2.57142857142857,71.8571428571429,48,5.14285714285714,3.89285714285714,0.377964473009227,0.377964473009227,0,0.534522483824849,35.2771341023642,33.9411254969543,0.690065559342354,0.243975018237133,1
"GL07NB",2023-10-24,7,5,6,2,2.42857142857143,68.7142857142857,42,5,3.85714285714286,0,0,0,0.534522483824849,47.3874606681074,39.2470805708314,0.816496580927726,0.133630620956212,1
"GL07NB",2023-10-25,8,5.85714285714286,6,2,2.57142857142857,63.1428571428571,16,4.85714285714286,4.10714285714286,0.377964473009227,0,0,0.534522483824849,37.4896811199587,18.7527775720469,0.377964473009227,0.133630620956212,1
"GL07NB",2023-10-26,9,5.5,5.83333333333333,2.5,2.5,49.3333333333333,16,4.5,4.08333333333333,0.547722557505166,0.408248290463863,1.22474487139159,0.547722557505166,42.0840428983085,9.71596624119289,0.547722557505166,0.204124145231932,0.857142857142857
"GL07NB",2023-10-27,10,5.28571428571429,6,2,2.57142857142857,81.2857142857143,59.8571428571429,5.28571428571429,3.96428571428571,0.487950036474267,0,0,0.534522483824849,34.7597194355492,35.5360313457978,0.755928946018454,0.0944911182523068,1
"GL07NB",2023-10-28,11,5.28571428571429,6,2,2.14285714285714,18.5714285714286,11.8571428571429,4.14285714285714,3.85714285714286,0.487950036474267,0,0,0.377964473009227,19.8817935379511,16.1495982553599,0.377964473009227,0.133630620956212,1
"GL07NB",2023-10-29,12,6,6,2,2,68.2,60.8,5.2,4,0,0,0,0,34.8166626775169,34.8166626775169,0.836660026534076,0,0.714285714285714
"GL07NB",2023-10-30,13,6,6,2,2,69.4285714285714,35,4.42857142857143,4,0,0,0,0,40.8568931061298,32.8785644455472,0.534522483824849,0,1
"GL07NB",2023-10-31,14,5.71428571428571,6,2.14285714285714,2.14285714285714,54.7142857142857,25.7142857142857,4.42857142857143,4,0.487950036474267,0,0.377964473009227,0.377964473009227,46.4029966191635,28.2590061497468,0.534522483824849,0.144337567297406,1
