"id","date","dayCounter","rses_1","rses_2","rses_3","rses_4","socSit","socInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance"
"KR09SE",2023-07-31,1,3,5,3,5.5,15,8.5,1.5,4.125,0,0,0,0.707106781186548,7.07106781186548,2.12132034355964,0.707106781186548,0.176776695296637,0.285714285714286
"KR09SE",2023-08-01,2,4,4,5,4,10,0,1,4.25,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"KR09SE",2023-08-02,3,4,4,4,3,0,0,2.5,3.75,1.4142135623731,0,0,0,0,0,0.707106781186548,0.353553390593274,0.285714285714286
"KR09SE",2023-08-03,4,4.33333333333333,4.66666666666667,4.66666666666667,3.66666666666667,25,26.6666666666667,4,4.33333333333333,0.577350269189626,1.15470053837925,1.15470053837925,0.577350269189626,43.3012701892219,46.1880215351701,1.73205080756888,0.577350269189626,0.428571428571429
"KR09SE",2023-08-04,5,5,4,4,3,0,0,4,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"KR09SE",2023-08-05,6,5,5,2.5,3,25,25,4,3.875,0,0,0.707106781186548,0,35.3553390593274,35.3553390593274,2.82842712474619,0.176776695296637,0.285714285714286
"KR09SE",2023-08-06,7,5,5,3,3,75,75,5,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"KR09SE",2023-08-07,8,5,5,3,3,11.25,11.75,5,4,0,0,0,0,10.3077640640442,10.9048918686371,0,0,0.571428571428571
"KR09SE",2023-08-08,9,5.33333333333333,5.66666666666667,2,2.33333333333333,66.6666666666667,67.3333333333333,5.66666666666667,3.83333333333333,0.577350269189626,0.577350269189626,0,0.577350269189626,14.4337567297406,15.0443787951957,0.577350269189626,0.144337567297406,0.428571428571429
"KR09SE",2023-08-09,10,5,5.33333333333333,2.33333333333333,2.33333333333333,6.66666666666667,7.33333333333333,5.33333333333333,3.75,0,0.577350269189626,0.577350269189626,0.577350269189626,11.5470053837925,12.7017059221718,0.577350269189626,0.25,0.428571428571429
"KR09SE",2023-08-10,11,6,6,2,2,76,75,6,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"KR09SE",2023-08-11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KR09SE",2023-08-12,13,6.5,6.5,1.5,1.5,93.5,82.5,6.5,4,0.707106781186548,0.707106781186548,0.707106781186548,0.707106781186548,4.94974746830583,10.6066017177982,0.707106781186548,0,0.285714285714286
"KR09SE",2023-08-13,14,6,6,1,1,100,90,7,3.5,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
