"id","date","dayCounter","rses_1","rses_2","rses_3","rses_4","socSit","socInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance"
"KT12EI",2023-10-20,1,5.83333333333333,5.33333333333333,1.66666666666667,2.16666666666667,71.6666666666667,71.8333333333333,6,3.75,0.408248290463863,1.63299316185545,0.516397779494322,0.408248290463863,44.9073119510249,44.723222901158,1.09544511501033,0.387298334620742,0.857142857142857
"KT12EI",2023-10-21,2,6,6.6,1,2,100,100,7,3.9,0,0.547722557505166,0,0,0,0,0,0.136930639376292,0.714285714285714
"KT12EI",2023-10-22,3,6,6.57142857142857,1.42857142857143,2,75.8571428571429,69.1428571428571,5.57142857142857,4,0.577350269189626,0.534522483824849,0.534522483824849,0.577350269189626,24.9026676712126,24.0446014136824,1.2724180205607,0,1
"KT12EI",2023-10-23,4,5.85714285714286,6.14285714285714,1.85714285714286,2.14285714285714,78.7142857142857,71.7142857142857,5.57142857142857,4,0.377964473009227,0.377964473009227,0.377964473009227,0.377964473009227,39.2203785708156,38.0031327029509,0.786795792469443,0,1
"KT12EI",2023-10-24,5,5.57142857142857,6,2,2.42857142857143,93,87.7142857142857,6,4,0.534522483824849,0,0,0.534522483824849,18.5202591774521,21.2658904172408,0.816496580927726,0,1
"KT12EI",2023-10-25,6,5,6,2,2.71428571428571,75.2857142857143,69.5714285714286,5.28571428571429,3.92857142857143,0,0,0,0.487950036474267,20.3200581176522,18.3471809174883,0.755928946018454,0.121987509118567,1
"KT12EI",2023-10-26,7,5.28571428571429,6,2,2.42857142857143,57.8571428571429,55,5.28571428571429,3.92857142857143,0.487950036474267,0,0,0.534522483824849,23.9960314179142,23.4591844132172,0.755928946018454,0.121987509118567,1
"KT12EI",2023-10-27,8,4.71428571428571,6,2,3.28571428571429,56.2857142857143,56.7142857142857,5,4,0.487950036474267,0,0,0.487950036474267,18.2182535360764,18.0158660233537,0.577350269189626,0,1
"KT12EI",2023-10-28,9,5,6,2,2.57142857142857,56.2857142857143,55.4285714285714,5.14285714285714,3.89285714285714,0,0,0,0.534522483824849,12.9706628681072,16.751687903583,0.690065559342354,0.133630620956212,1
"KT12EI",2023-10-29,10,5,6,2,3.16666666666667,60.6666666666667,63.8333333333333,5,4.04166666666667,0,0,0,0.408248290463863,8.06639117986889,12.1887926664894,0,0.102062072615966,0.857142857142857
"KT12EI",2023-10-30,11,5,5.85714285714286,2,3,25.2857142857143,25.2857142857143,3,3.96428571428571,0,0.377964473009227,0,0,26.0941518717272,26.3104179981637,2.08166599946613,0.0944911182523068,1
"KT12EI",2023-10-31,12,4.85714285714286,6,2,3.14285714285714,49.4285714285714,49.5714285714286,4.85714285714286,4,0.377964473009227,0,0,0.377964473009227,8.48247493084306,9.25305612319776,0.377964473009227,0,1
"KT12EI",2023-11-01,13,4.57142857142857,6,2,3.28571428571429,53.2857142857143,54.7142857142857,5.14285714285714,3.96428571428571,0.534522483824849,0,0,0.487950036474267,3.98807746975431,4.46147530585589,0.377964473009227,0.0944911182523068,1
"KT12EI",2023-11-02,14,5.42857142857143,6,2,2.71428571428571,65.2857142857143,65.7142857142857,5.14285714285714,4.03571428571429,0.534522483824849,0,0,0.487950036474267,23.9075600714801,23.7817457006719,0.377964473009227,0.172516389835589,1
