"id","date","dayCounter","rses_1","rses_2","rses_3","rses_4","socSit","socInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance"
"KT12NR",2023-10-10,1,2.5,4.5,2.5,5,80.5,92.5,5,3.625,0.707106781186548,0.707106781186548,0.707106781186548,0,6.36396103067893,10.6066017177982,0,0.176776695296637,0.285714285714286
"KT12NR",2023-10-11,2,4,6,3,4,100,59,5,4.25,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"KT12NR",2023-10-12,3,5,6,3,3,90,100,5,4.25,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"KT12NR",2023-10-13,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KT12NR",2023-10-14,5,5,5,1,5,14,8,6,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"KT12NR",2023-10-15,6,3,6,1,6,8,6,5,4,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"KT12NR",2023-10-16,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"KT12NR",2023-10-17,8,3,6,2,3,100,100,6,3.5,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"KT12NR",2023-10-18,9,6,6,1,2,93,85,7,3.75,NA,NA,NA,NA,NA,NA,NA,NA,0.142857142857143
"KT12NR",2023-10-19,10,2.5,5.5,3,5,95.5,65,4,4,0.707106781186548,0.707106781186548,0,0,6.36396103067893,25.4558441227157,1.4142135623731,0.353553390593274,0.285714285714286
